id,headword,current_level,nikl_grade,nikl_cefr,delta,confidence,category,proposed_level,example_korean,reason
vocab_a1_0011,나이,A1,2,A2,1,high,too_hard_or_survival_review,A2,나이가 어떻게 되세요?,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0026,핸드폰,A1,2,A2,1,high,too_hard_or_survival_review,A2,핸드폰이 있어요?,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0034,아빠,A1,2,A2,1,high,too_hard_or_survival_review,A2,아빠 사랑해요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0035,엄마,A1,2,A2,1,high,too_hard_or_survival_review,A2,엄마 어디 있어요?,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0053,빨간색,A1,2,A2,1,high,too_hard_or_survival_review,A2,저는 빨간색을 제일 좋아해요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0054,파란색,A1,2,A2,1,high,too_hard_or_survival_review,A2,오늘 하늘이 정말 파래요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0055,초록색,A1,2,A2,1,high,too_hard_or_survival_review,A2,이 초록색 옷이 예뻐요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0056,노란색,A1,2,A2,1,high,too_hard_or_survival_review,A2,노란색 우산을 새로 샀어요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0057,흰색,A1,2,A2,1,high,too_hard_or_survival_review,A2,흰색 옷을 입어요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0058,검은색,A1,2,A2,1,high,too_hard_or_survival_review,A2,검은색 가방이에요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0060,생선,A1,2,A2,1,high,too_hard_or_survival_review,A2,생선을 좋아해요?,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0061,채소,A1,2,A2,1,high,too_hard_or_survival_review,A2,채소를 많이 먹어요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0066,계란,A1,2,A2,1,high,too_hard_or_survival_review,A2,아침에 계란 두 개 먹었어요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0067,차,A1,2,A2,1,high,too_hard_or_survival_review,A2,자기 전에 따뜻한 차 마셔요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0084,항상,A1,2,A2,1,high,too_hard_or_survival_review,A2,항상 도와주셔서 감사해요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0085,가끔,A1,2,A2,1,high,too_hard_or_survival_review,A2,가끔 영화를 봐요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0110,서다,A1,2,A2,1,high,too_hard_or_survival_review,A2,여기 잠깐 서 있어요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0122,귀엽다,A1,2,A2,1,high,too_hard_or_survival_review,A2,강아지가 귀여워요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0124,시끄럽다,A1,2,A2,1,high,too_hard_or_survival_review,A2,밖이 시끄러워요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0129,짧다,A1,2,A2,1,high,too_hard_or_survival_review,A2,치마가 짧아요.,"NIKL 2급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0239,윗목,A2,6,C2,4,low,too_hard_or_survival_review,C2,윗목이 서늘해서 아랫목에 앉았어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0240,아랫목,A2,6,C2,4,low,too_hard_or_survival_review,C2,아랫목이 따뜻해서 할머니가 앉으시는 자리예요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0350,밤참,A2,6,C2,4,low,too_hard_or_survival_review,C2,밤참으로 과일만 부탁했는데 라면이 나왔어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0399,근력,A2,6,C2,4,high,too_hard_or_survival_review,C2,근력 운동은 주 이 번만 해요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0096,매콤하다,A2,5,C1,3,high,too_hard_or_survival_review,C1,이 떡볶이 딱 매콤해요.,"NIKL 5급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0243,왕자,A2,5,C1,3,high,too_hard_or_survival_review,C1,동화에 왕자가 나와요.,"NIKL 5급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0306,사진 전송,A2,5,C1,3,high,too_hard_or_survival_review,C1,사진 전송 전에 현우에게 먼저 보여 줬어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_a2_0218,땅콩,A2,4,B2,2,high,too_hard_or_survival_review,B2,땅콩 알레르기가 있어요?,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0324,일회용 밴드,A2,4,B2,2,high,too_hard_or_survival_review,B2,일회용 밴드를 작은 걸로 주세요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_a1_0329,무처방,A2,4,B2,2,medium,too_hard_or_survival_review,B2,이 약은 무처방으로 살 수 있어요.,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0366,필기하다,A2,4,B2,2,medium,too_hard_or_survival_review,B2,중요한 문장을 빨리 필기하면 손이 아파요.,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0391,겹쳐 입다,A2,4,B2,2,high,too_hard_or_survival_review,B2,일교차가 클 때는 옷을 겹쳐 입어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_a2_0400,유산소,A2,4,B2,2,medium,too_hard_or_survival_review,B2,유산소 후에 숨이 고르게 돌아와요.,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0403,염색,A2,4,B2,2,high,too_hard_or_survival_review,B2,염색은 너무 어둡지 않게 해 주세요.,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0412,손질,A2,4,B2,2,high,too_hard_or_survival_review,B2,출근 전에 간단한 손질만 해요.,"NIKL 4급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0001,회사,A2,1,A1,-1,high,too_easy_move_down,A1,요즘 회사 일이 좀 많아요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_a2_0002,직업,A2,1,A1,-1,high,too_easy_move_down,A1,직업이 어떻게 되세요?,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_a2_0003,취미,A2,1,A1,-1,high,too_easy_move_down,A1,저는 취미가 사진 찍는 거예요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_a2_0004,날씨,A2,1,A1,-1,high,too_easy_move_down,A1,오늘 날씨 진짜 좋네요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_a2_0005,계절,A2,1,A1,-1,high,too_easy_move_down,A1,어떤 계절을 좋아해요?,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b1_0079,식단,B1,6,C2,3,high,too_hard_or_survival_review,C2,요즘 식단 관리를 좀 하고 있어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0250,세입자,B1,6,C2,3,low,too_hard_or_survival_review,C2,세입자가 바뀌면 관리인에게 알려야 해요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
