id,level,ko,de,en,field_notes,상태,jin_memo
satz_b2_0066,B2,두 사람은 서로 한 걸음씩 양보해 현실적인 방안으로 타협했어요.,Beide Seiten gaben etwas nach und einigten sich auf eine realistische Lösung.,Both sides gave a little and reached a realistic compromise.,Batch 03; vocab=타협하다; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0067,B2,주관이 다르다고 해서 상대의 판단이 틀린 것은 아니에요.,"Nur weil sich subjektive Sichtweisen unterscheiden, ist die Einschätzung der anderen Person nicht falsch.",A different subjective view does not make the other person's judgment wrong.,Batch 03; vocab=주관; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0068,B2,이번 결정에서는 빠른 결과보다 오래 지킬 수 있는 기준을 우선시하려고 해요.,"Bei dieser Entscheidung möchte ich einen Maßstab priorisieren, den ich langfristig einhalten kann.","For this decision, I want to prioritize a standard I can uphold over time.",Batch 03; vocab=우선시하다; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0069,B2,의견 차이를 줄이려면 서로가 받아들일 수 있는 양보가 필요해요.,"Um unterschiedliche Meinungen einander anzunähern, braucht es Zugeständnisse, die beide Seiten akzeptieren können.","To narrow a difference of opinion, both sides need concessions they can accept.",Batch 03; vocab=양보; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0070,B2,그는 어려운 상황에서도 남을 성급히 판단하지 않겠다는 신념을 지켰어요.,"Auch in schwierigen Situationen hielt er an seiner Überzeugung fest, andere nicht vorschnell zu beurteilen.","Even in difficult situations, he held on to his conviction not to judge others too quickly.",Batch 03; vocab=신념; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0071,B2,무엇이 중요한지에 대한 기준이 다르면 같은 선택도 다르게 보일 수 있어요.,"Wenn sich die Maßstäbe dafür unterscheiden, was wichtig ist, kann dieselbe Wahl unterschiedlich wirken.","When people use different criteria for what matters, the same choice can look different.",Batch 03; vocab=기준; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0072,B2,회의에서는 비용보다 안전을 우선해야 한다는 이견이 제기됐어요.,"In der Sitzung wurde die abweichende Meinung vorgebracht, Sicherheit müsse vor Kosten stehen.","At the meeting, someone raised the view that safety should come before cost.",Batch 03; vocab=이견; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0073,B2,두 제안의 장점을 살린 절충안을 찾으면 갈등을 줄일 수 있어요.,"Eine Kompromisslösung, die die Stärken beider Vorschläge aufgreift, kann Konflikte verringern.",A compromise that keeps the strengths of both proposals can reduce conflict.,Batch 03; vocab=절충안; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0074,B2,관리자는 결정의 결과를 설명할 책무가 있어요.,"Leitende Personen haben die Verantwortung, die Folgen ihrer Entscheidungen zu erklären.",Leaders have a responsibility to explain the consequences of their decisions.,Batch 03; vocab=책무; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0075,B2,정보가 충분하지 않아도 어느 순간에는 결단을 내려야 할 때가 있어요.,"Auch wenn Informationen fehlen, kommt der Moment, in dem man eine Entscheidung treffen muss.","Even without complete information, there comes a time when you have to make a decision.",Batch 03; vocab=결단; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0076,B2,모두가 반대해도 자신의 소신을 차분히 설명했어요.,"Obwohl alle anderer Meinung waren, erklärte sie ihre eigene Überzeugung ruhig.","Even though everyone disagreed, she calmly explained her own conviction.",Batch 03; vocab=소신; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0077,B2,그 선택이 남긴 영향을 되돌아보며 다음 기준을 세웠어요.,Im Rückblick auf die Folgen dieser Wahl habe ich einen neuen Maßstab für die nächste Entscheidung gesetzt.,"Reflecting on the effects of that choice, I set a new criterion for my next decision.",Batch 03; vocab=되돌아보다; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0078,B2,짧은 문장이었지만 읽고 난 뒤에도 긴 여운이 남았어요.,"Der Satz war kurz, aber er klang noch lange nach, nachdem ich ihn gelesen hatte.","It was a short sentence, but it stayed with me long after I had read it.",Batch 03; vocab=여운; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0079,B2,작가는 직접 말하지 않고 한 장면에 여러 감정을 함축했어요.,"Die Autorin sprach es nicht direkt aus, sondern verdichtete mehrere Gefühle in einer Szene.",The author did not say it directly but condensed several feelings into one scene.,Batch 03; vocab=함축; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0080,B2,비가 그친 거리의 묘사가 장면을 눈앞에 그리게 했어요.,Die Beschreibung der Straße nach dem Regen ließ die Szene vor meinem inneren Auge entstehen.,The description of the street after the rain brought the scene to life.,Batch 03; vocab=묘사; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0081,B2,낯선 사람을 바라보는 화자의 시선이 글 전체의 분위기를 만들어요.,Der Blickwinkel der erzählenden Person auf die Fremden prägt die Stimmung des ganzen Textes.,The narrator's perspective on the strangers shapes the mood of the whole text.,Batch 03; vocab=시선; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0082,B2,저는 주인공이 말하지 못한 불안에 더 공감했어요.,"Ich konnte besonders mit der Angst mitfühlen, die die Hauptfigur nicht aussprechen konnte.",I especially empathized with the anxiety the main character could not put into words.,Batch 03; vocab=공감하다; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0083,B2,같은 문장도 독자의 경험에 따라 여러 방식으로 해석될 수 있어요.,Derselbe Satz kann je nach Erfahrung der lesenden Person unterschiedlich interpretiert werden.,The same sentence can be interpreted in different ways depending on the reader's experience.,Batch 03; vocab=해석; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0084,B2,첫 문단의 차분한 인상이 마지막의 긴장과 대조됐어요.,Der ruhige Eindruck des ersten Abschnitts stand im Kontrast zur Spannung am Ende.,The calm impression of the first paragraph contrasted with the tension at the end.,Batch 03; vocab=인상; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0085,B2,반복해서 나오는 창문은 인물의 망설임을 보여 주는 상징처럼 느껴졌어요.,Das wiederkehrende Fenster wirkte wie ein Symbol für das Zögern der Figur.,The recurring window felt like a symbol of the character's hesitation.,Batch 03; vocab=상징; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0086,B2,시간 순서를 바꾼 서술 덕분에 결말의 의미가 더 또렷해졌어요.,Durch die veränderte zeitliche Erzählweise wurde die Bedeutung des Endes deutlicher.,Changing the order of time in the narration made the ending clearer.,Batch 03; vocab=서술; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0087,B2,누군가를 용서하는 장면이 제게 가장 큰 울림을 줬어요.,"Die Szene, in der jemand vergeben wird, hat mich am stärksten berührt.",The scene in which someone is forgiven resonated with me the most.,Batch 03; vocab=울림; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0088,B2,밝은 배경과 무거운 대사의 대조가 인물의 외로움을 드러냈어요.,Der Gegensatz zwischen hellem Hintergrund und schweren Worten machte die Einsamkeit der Figur sichtbar.,The contrast between the bright setting and the heavy dialogue revealed the character's loneliness.,Batch 03; vocab=대조; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0089,B2,글을 읽고 난 뒤 제 행동을 돌아보는 성찰의 시간이 필요했어요.,"Nach der Lektüre brauchte ich Zeit, um über mein eigenes Verhalten nachzudenken.","After reading the text, I needed time to reflect on my own actions.",Batch 03; vocab=성찰; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0090,B2,같은 뜻이라도 '부탁'과 '요구'는 어감이 달라요.,"Auch wenn beide Wörter Ähnliches bedeuten, haben 부탁 und 요구 eine andere Klangwirkung.","Even though they have a similar meaning, 부탁 and 요구 carry different connotations.",Batch 03; vocab=어감; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0091,B2,답변의 내용보다 차가운 말투가 더 불편하게 느껴졌어요.,Mehr als der Inhalt der Antwort wirkte der kühle Sprechton unangenehm.,"More than the content of the reply, its cold tone felt uncomfortable.",Batch 03; vocab=말투; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0092,B2,사전의 용례를 보면 이 표현이 어떤 상황에서 쓰이는지 알 수 있어요.,"An den Verwendungsbeispielen im Wörterbuch erkennt man, in welchen Situationen dieser Ausdruck gebraucht wird.",Dictionary usage examples show the situations in which this expression is used.,Batch 03; vocab=용례; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0093,B2,관용어는 낱말을 그대로 번역하면 뜻이 잘 전달되지 않을 수 있어요.,"Bei Redewendungen geht die Bedeutung leicht verloren, wenn man die einzelnen Wörter wörtlich übersetzt.","With idiomatic expressions, the meaning can be lost when the words are translated literally.",Batch 03; vocab=관용어; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0094,B2,공식 안내문에서는 상황에 맞는 격식을 지키는 것이 중요해요.,"In einer offiziellen Mitteilung ist es wichtig, ein zur Situation passendes Maß an Formellheit zu wahren.","In an official notice, it is important to use a level of formality that fits the situation.",Batch 03; vocab=격식; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0095,B2,비속어는 가까운 사이에서도 상대에 따라 무례하게 들릴 수 있어요.,Auch unter vertrauten Menschen kann derbe Sprache je nach Gegenüber unhöflich wirken.,"Even among close people, slang can sound rude depending on who hears it.",Batch 03; vocab=비속어; rights: original; exact canonical vocab example in draft,draft,
satz_b2_0096,B2,거절할 때는 이유를 덧붙이면 표현이 더 완곡해져요.,"Wenn man bei einer Ablehnung einen Grund ergänzt, wirkt die Formulierung indirekter und schonender.",Adding a reason when you decline makes the wording more indirect and considerate.,Batch 03; vocab=완곡하다; rights: original; exact canonical vocab example in draft,draft,
