id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0436,A1,수업,Unterricht,"class, lesson",rights: original_clean_room; pack=a1_first_class_1; order=1; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0437,A1,처음,das erste Mal,first time,rights: original_clean_room; pack=a1_first_class_1; order=2; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0438,A1,전화번호,Telefonnummer,phone number,rights: original_clean_room; pack=a1_first_class_1; order=3; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0439,A1,대학,"Universität, Hochschule","university, college",rights: original_clean_room; pack=a1_first_class_1; order=4; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0440,A1,책상,Schreibtisch,desk,rights: original_clean_room; pack=a1_first_class_1; order=5; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0441,A1,연필,Bleistift,pencil,rights: original_clean_room; pack=a1_first_class_1; order=6; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0442,A1,공부,"das Lernen, Studium",study,rights: original_clean_room; pack=a1_first_class_1; order=7; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0443,A1,연습,Übung,practice,rights: original_clean_room; pack=a1_first_class_1; order=8; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_a1_0444,A1,시작하다,"anfangen, beginnen",to start,rights: original_clean_room; pack=a1_first_class_1; order=9; boss=false; seed: NIKL 1급 목록(KOGL 1유형) 표제어 선택만,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_b2_0060,A1,전공,Hauptfach / Studienfach,major / field of study,"rights: original_clean_room; pack=a1_first_class_1; order=10; boss=false; relevel_batch_005 이동(B1/B2→A1, id 불변); 예문 교체(제 전공은 음악이에요.)",approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_b1_0214,A1,사귀다,sich anfreunden,to make friends,"rights: original_clean_room; pack=a1_first_class_1; order=11; boss=true; relevel_batch_005 이동(B1/B2→A1, id 불변); 예문 불변",approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
vocab_b1_0242,A1,졸업하다,den Abschluss machen,to graduate,"rights: original_clean_room; pack=a1_first_class_1; order=12; boss=true; relevel_batch_005 이동(B1/B2→A1, id 불변); 예문 불변",approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
