id,level,ko,de,en,field_notes,상태,jin_memo
b1_leak_report,B1,누수 신고하기,Ein Wasserleck melden,Reporting a water leak,rights: original; listening dialog; course b1_05_complaint_resolution; grammar grammar_b1_tendency,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_move_in_handover,B1,입주 전 열쇠 받기,Schlüsselübergabe vor dem Einzug,Picking up keys before moving in,rights: original; listening dialog; course b1_06_life_capstone; grammar grammar_b1_prepared_state,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_contract_appointment,B1,계약 약속 다시 확인하기,Den Vertragstermin noch einmal prüfen,Confirming a contract appointment,rights: original; listening dialog; course b1_05_complaint_resolution; grammar grammar_b1_near_miss,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_heating_safety_call,B1,난방을 켠 채로 외출했을 때,Wenn die Heizung beim Weggehen anbleibt,When the heating was left on,rights: original; listening dialog; course b1_05_complaint_resolution; grammar grammar_b1_state_while,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_team_meeting_coordination,B1,정해진 회의 역할 조율하기,Rollen für ein geplantes Meeting abstimmen,Coordinating roles for a scheduled meeting,rights: original; listening dialog; course b1_03_work_softening; grammar grammar_b1_scheduled_arrangement,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_attendance_followup,B1,참석 답변이 오는 대로,Sobald die Zusagen eintreffen,As soon as attendance replies arrive,rights: original; listening dialog; course b1_03_work_softening; grammar grammar_b1_as_soon_as,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_covering_absence,B1,부재중인 동료 대신 업무 맡기,Eine abwesende Kollegin vertreten,Covering for an absent coworker,rights: original; listening dialog; course b1_03_work_softening; grammar grammar_b1_planned_future,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b1_reschedule_request,B1,회의 일정 부드럽게 바꾸기,Einen Meetingtermin höflich verschieben,Rescheduling a meeting politely,rights: original; listening dialog; course b1_03_work_softening; grammar grammar_b1_soft_request,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_contract_clause_inquiry,B2,계약 조항을 공식적으로 문의하기,Eine Vertragsklausel formell klären,Clarifying a contract clause formally,rights: original; listening dialog; course b2_03_precise_requests; grammar grammar_b2_formal_reason,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_deadline_deferral_request,B2,제출 기한 유예 요청하기,Eine Fristverlängerung beantragen,Requesting a deadline deferral,rights: original; listening dialog; course b2_03_precise_requests; grammar grammar_b2_formal_arrangement,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_signature_scope_confirmation,B2,서명 대상 범위 확인하기,Den Kreis der Unterzeichnenden bestätigen,Confirming who must sign,rights: original; listening dialog; course b2_03_precise_requests; grammar grammar_b2_inclusion,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_remedy_plan_request,B2,시정 계획을 서면으로 요청하기,Einen schriftlichen Abhilfeplan verlangen,Requesting a written remedy plan,rights: original; listening dialog; course b2_04_complaint_resolution; grammar grammar_b2_formal_written_request,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_objection_status_request,B2,이의 제기 처리 상황 문의,Den Stand eines Einspruchs erfragen,Asking about the status of an objection,rights: original; listening dialog; course b2_04_complaint_resolution; grammar grammar_b2_formal_regarding,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_decision_criteria_workshop,B2,결정 기준을 설명하고 절충안 찾기,Entscheidungskriterien erklären und einen Kompromiss finden,Explaining decision criteria and finding a compromise,rights: original; listening dialog; course b2_02_professional_opinion; grammar grammar_b2_reasoned_perspective,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_reading_circle_response,B2,읽은 글의 여운과 해석 나누기,Nachklang und Deutung eines Texts teilen,Sharing a response to a text,rights: original; listening dialog; course b2_06_advanced_capstone; grammar grammar_b2_impression_appearance,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
b2_public_wording_feedback,B2,안내문 말투를 함께 다듬기,Den Ton eines öffentlichen Hinweises überarbeiten,Refining the wording of a public notice,rights: original; listening dialog; course b2_02_professional_opinion; grammar grammar_b2_topic_debate,approved,"Jin explicit scenario, listening, TTS, and main-integration approval (2026-08-15)."
