id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0567,a1,"미안해요, 버스가 늦었어요.","Entschuldigung, der Bus hatte Verspätung.","Sorry, the bus was late.",rights: original_clean_room; vocabKo=늦다; unit=a1_09_home_daily_life; source vocab_a1_0652,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0568,a1,선생님한테 다시 물어요.,Ich frage den Lehrer noch einmal.,I ask the teacher again.,rights: original_clean_room; vocabKo=묻다; unit=a1_08_clarify_repair; source vocab_a1_0653,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0569,a1,제 대답이 맞아요?,Ist meine Antwort richtig?,Is my answer right?,rights: original_clean_room; vocabKo=맞다; unit=a1_08_clarify_repair; source vocab_a1_0654,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0570,a1,아침에 샤워해요.,Ich dusche am Morgen.,I take a shower in the morning.,rights: original_clean_room; vocabKo=샤워; unit=a1_09_home_daily_life; source vocab_a1_0655,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0571,a1,매일 세수해요.,Ich wasche mir jeden Tag das Gesicht.,I wash my face every day.,rights: original_clean_room; vocabKo=세수; unit=a1_09_home_daily_life; source vocab_a1_0656,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0572,a1,제가 집을 청소해요.,Ich putze das Haus.,I clean the house.,rights: original_clean_room; vocabKo=청소; unit=a1_09_home_daily_life; source vocab_a1_0657,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0573,a1,내일 여행을 준비해요.,Ich bereite morgen die Reise vor.,I prepare for the trip tomorrow.,rights: original_clean_room; vocabKo=준비; unit=a1_09_home_daily_life; source vocab_a1_0658,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0574,a1,기숙사 생활이 재미있어요.,Das Wohnheimleben macht Spaß.,Dormitory life is fun.,rights: original_clean_room; vocabKo=생활; unit=a1_09_home_daily_life; source vocab_a1_0659,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0575,a1,잠을 못 잤어요.,Ich konnte nicht schlafen.,I couldn't sleep.,rights: original_clean_room; vocabKo=잠; unit=a1_09_home_daily_life; source vocab_a1_0660,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0576,a1,오늘 저녁은 제가 요리해요!,Heute Abend koche ich!,"Tonight, I'm cooking!",rights: original_clean_room; vocabKo=요리; unit=a1_09_home_daily_life; source vocab_a1_0661,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
