app_form,lexicon_form,note
핸드폰,휴대폰,구어 별칭
엄마,어머니,동급
아빠,아버지,동급
화이팅,,"감탄 표현, A1 유지 예외"
잘 자요,자다,
안녕히 가세요,안녕히,
안녕히 계세요,안녕히,
처음 뵙겠습니다,뵙다,
만나서 반가워요,반갑다,
잘 부탁드려요,부탁하다,
별말씀을요,,관용 표현 A1
천만에요,,관용 표현 A1
실례합니다,실례하다,
잠시만요,잠시,
잠깐만요,잠깐,
남자친구,남자 친구,
여자친구,여자 친구,
핸드폰 번호,휴대폰,
진지,,"존대 기초 명사, 세종 회화 1급 10과 -- R7 item10: kiiq에 高급/C1 동형이의어(食)뿐이라 A1 예외"
약주,,"존대 기초 명사, 세종 회화 1급 10과 -- R7 item10: basic2023 grade5(C2)뿐이라 A1 예외"
드시다,,"존대 기초 동사(먹다/마시다의 높임말) -- R7 item10: 두 사전 모두 headword 없어 unknown, A1 예외"
드세요,,"존대 기초 동사 활용형(들다/드시다의 높임말 청유형) -- T2.4a B1: 어간 '드'가 실재 형용사 '드세다'(6급, 고집이 드세다)와 충돌해 그쪽으로 오판정됨, A1 예외"
드셨어요,,"존대 기초 동사 과거 활용형(들다/드시다의 높임말) -- T2.4a B1: 동일 충돌 방지, A1 예외"
드실,,"존대 기초 동사 관형형(들다/드시다의 높임말, -실 거예요) -- T2.4a B1: 동일 충돌 방지, A1 예외"
여세요,열다,ㄹ 탈락 활용(입을 여세요) — 판정기가 잇다(3급)로 오독
