id,level,ko,de,en,field_notes,상태,jin_memo
vocab_b1_0260,B1,조율하다,abstimmen,to coordinate,Batch 02; pack=b1_work_coordination_1; order=1; boss=false; sense=coordinate a work schedule; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0261,B1,참석 여부,Teilnahme oder Absage,attendance status,Batch 02; pack=b1_work_coordination_1; order=2; boss=false; sense=whether attendance is possible; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0262,B1,우선순위,Priorität,priority,Batch 02; pack=b1_work_coordination_1; order=3; boss=false; sense=priority among work tasks; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0263,B1,회의실,Besprechungsraum,meeting room,Batch 02; pack=b1_work_coordination_1; order=4; boss=false; sense=bookable meeting room; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0264,B1,대신하다,vertretungsweise übernehmen,to take over temporarily,Batch 02; pack=b1_work_coordination_1; order=5; boss=false; sense=temporarily take over an absent person's work; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0265,B1,지연되다,sich verzögern,to be delayed,Batch 02; pack=b1_work_coordination_1; order=6; boss=false; sense=schedule or meeting delayed; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0266,B1,업무 분담,Aufgabenverteilung,division of tasks,Batch 02; pack=b1_work_coordination_1; order=7; boss=false; sense=allocation of work responsibilities; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0267,B1,마감일,Abgabefrist,deadline,Batch 02; pack=b1_work_coordination_1; order=8; boss=false; sense=report submission deadline; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0268,B1,미루다,verschieben,to postpone,Batch 02; pack=b1_work_coordination_1; order=9; boss=false; sense=postpone a meeting; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0269,B1,확정하다,endgültig festlegen,to finalize,Batch 02; pack=b1_work_coordination_1; order=10; boss=true; sense=finalize a schedule; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0270,B1,부재중,abwesend,unavailable,Batch 02; pack=b1_work_coordination_1; order=11; boss=true; sense=person not available at work; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b1_0271,B1,협조하다,mitwirken,to cooperate,Batch 02; pack=b1_work_coordination_1; order=12; boss=true; sense=cooperate with a schedule change; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0217,B2,민원,Beschwerde,complaint,Batch 02; pack=b2_formal_complaint_1; order=1; boss=false; sense=formal service complaint; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0218,B2,결함,Mangel,defect,Batch 02; pack=b2_formal_complaint_1; order=2; boss=false; sense=confirmed product defect; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0219,B2,보상,Entschädigung,compensation,Batch 02; pack=b2_formal_complaint_1; order=3; boss=false; sense=compensation for inconvenience; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0220,B2,시정하다,korrigieren,to correct,Batch 02; pack=b2_formal_complaint_1; order=4; boss=false; sense=correct a procedure; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0221,B2,재발,erneutes Auftreten,recurrence,Batch 02; pack=b2_formal_complaint_1; order=5; boss=false; sense=recurrence of a problem; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0222,B2,접수하다,entgegennehmen,to receive officially,Batch 02; pack=b2_formal_complaint_1; order=6; boss=false; sense=officially receive a submitted objection; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0223,B2,처리하다,bearbeiten,to process,Batch 02; pack=b2_formal_complaint_1; order=7; boss=false; sense=process a complaint; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0224,B2,담당 부서,zuständige Abteilung,responsible department,Batch 02; pack=b2_formal_complaint_1; order=8; boss=false; sense=department responsible for handling a case; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0225,B2,이의 제기,Einspruch,objection,Batch 02; pack=b2_formal_complaint_1; order=9; boss=false; sense=formal objection to a result; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0226,B2,서면 답변,schriftliche Antwort,written response,Batch 02; pack=b2_formal_complaint_1; order=10; boss=true; sense=written response after review; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0227,B2,조치,Maßnahme,corrective action,Batch 02; pack=b2_formal_complaint_1; order=11; boss=true; sense=necessary corrective action; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
vocab_b2_0228,B2,보완하다,ergänzen,to supplement,Batch 02; pack=b2_formal_complaint_1; order=12; boss=true; sense=supplement missing information; canonical KO DE EN example in draft,approved,Jin explicit app-integration approval (2026-08-15).
