id,level,ko,de,en,field_notes,상태,jin_memo
pronunciation_a1_0009,A1,우체국 위치는 역 앞이에요.,Das Postamt liegt vor dem Bahnhof.,The post office is in front of the station.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_a1_0010,A1,결제 뒤에 영수증 확인을 해요.,Nach der Zahlung prüfe ich den Kassenbon.,I check the receipt after paying.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_a2_0009,A2,선납금이 필요한지 계약 전에 물어봤어요.,"Vor Vertragsabschluss habe ich gefragt, ob eine Vorauszahlung nötig ist.",I asked whether an advance payment was required before signing.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_a2_0010,A2,공과금 내역에서 전기와 가스 요금을 확인해요.,In der Kostenaufstellung prüfe ich Strom und Gas.,I check electricity and gas in the utility-bill breakdown.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_b1_0009,B1,채용 공고에서 근무 시간과 업무를 확인했어요.,In der Stellenanzeige habe ich Arbeitszeit und Aufgaben geprüft.,I checked the hours and duties in the job posting.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_b1_0010,B1,담당자에게 업무와 체류 자격의 관계를 문의했어요.,"Ich habe die zuständige Stelle gefragt, wie die Tätigkeit mit meinem Aufenthaltsstatus zusammenhängt.",I asked the responsible office how the job relates to my residence status.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_b2_0017,B2,주거비가 소득에서 차지하는 비중을 따로 살펴봤습니다.,Wir haben den Anteil der Wohnkosten am Einkommen gesondert betrachtet.,We examined the share of income spent on housing separately.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_b2_0018,B2,공급 부족만으로 지역별 임대료 차이를 모두 설명하기는 어렵습니다.,Alle regionalen Mietunterschiede lassen sich nicht allein mit Angebotsmangel erklären.,Supply shortage alone cannot explain every regional difference in rent.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_c1_0017,C1,투명성 의무가 실제 이용자의 이해로 이어지는지 점검해야 합니다.,"Es ist zu prüfen, ob die Transparenzpflicht tatsächlich zum Verständnis der Nutzenden beiträgt.",We need to check whether the transparency obligation actually helps users understand.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_c1_0018,C1,데이터 대표성이 낮으면 전체 집단에 대한 결론을 제한해야 합니다.,Bei geringer Repräsentativität der Daten müssen Aussagen über die Gesamtgruppe begrenzt werden.,"When data representativeness is low, claims about the whole population must be limited.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_c2_0017,C2,인구 구조의 변화는 출생뿐 아니라 이동과 기대수명을 함께 봐야 해석할 수 있습니다.,"Veränderungen der Bevölkerungsstruktur lassen sich nur unter Einbezug von Geburten, Migration und Lebenserwartung deuten.","Changes in population structure require considering births, migration, and life expectancy together.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
pronunciation_c2_0018,C2,자동화가 개입해도 설계와 운영의 책임 주체를 분리해 기록해야 합니다.,Auch bei Automatisierung müssen die verantwortlichen Stellen für Entwicklung und Betrieb getrennt dokumentiert werden.,"Even with automation, the responsible actors for design and operation must be documented separately.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
