id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0292,A1,아침에 선생님께 안녕하세요라고 인사해요.,Am Morgen begrüße ich die Lehrerin höflich.,I greet the teacher politely in the morning.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0293,A1,친구를 만나서 반가워라고 말해요.,"Ich sage einem Freund, dass ich mich freue, ihn zu sehen.",I tell a friend I'm glad to see them.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0294,A1,처음 만난 분께 처음 뵙겠습니다라고 해요.,"Bei der ersten Begegnung sage ich höflich, dass ich mich freue.","At a first meeting, I use a formal greeting.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0295,A1,집에 가는 친구에게 잘 가라고 말해요.,"Zu einem Freund, der geht, sage ich: Mach's gut.",I say take care to a friend who is leaving.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0296,A1,가게를 나가는 손님께 안녕히 가세요라고 해요.,"Zu einem Gast, der geht, sage ich höflich auf Wiedersehen.",I politely say goodbye to a guest who is leaving.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0297,A1,제가 먼저 나갈 때 안녕히 계세요라고 말해요.,"Wenn ich zuerst gehe, verabschiede ich mich von der Person, die bleibt.","When I leave first, I say goodbye to the person staying.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0298,A1,손님이 들어오면 어서 오세요라고 인사해요.,"Wenn ein Gast hereinkommt, heiße ich ihn willkommen.","When a guest enters, I welcome them.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0299,A1,도움을 받은 뒤 감사합니다라고 말해요.,Nach der Hilfe bedanke ich mich höflich.,"After receiving help, I say thank you politely.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0300,A1,약속에 늦어서 죄송합니다라고 말해요.,"Weil ich zu spät bin, entschuldige ich mich höflich.","Because I'm late, I apologize politely.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0301,A1,제 이름은 수진이에요.,Mein Name ist Sujin.,My name is Sujin.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0302,A1,저는 한국어 학생이에요.,Ich bin Koreanischlernende.,I am a Korean learner.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0303,A1,제 국적은 독일이에요.,Meine Staatsangehörigkeit ist deutsch.,My nationality is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0304,A1,제 모국어는 독일어예요.,Meine Muttersprache ist Deutsch.,My first language is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
cloze_a1_0305,A1,제 고향은 함부르크예요.,Meine Heimatstadt ist Hamburg.,My hometown is Hamburg.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
