id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_a1_0083,A1,배달비도 카드로 결제해요?,Bezahle ich die Liefergebühr auch mit Karte?,Do I also pay the delivery fee by card?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_a1_0084,A1,도착 시간은 어디에서 봐요?,Wo sehe ich die Ankunftszeit?,Where can I see the arrival time?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_a2_0076,A2,토요일 오후에 시간이 되면 만날까요?,"Sollen wir uns am Samstagnachmittag treffen, wenn du Zeit hast?",Shall we meet Saturday afternoon if you're free?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_a2_0077,A2,비가 오면 약속 장소를 바꿀까요?,"Sollen wir den Treffpunkt ändern, wenn es regnet?",Shall we change the meeting place if it rains?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0045,C1,폭염 대책의 효과를 평균 기온만으로 판단해도 될까요?,"Reicht die Durchschnittstemperatur aus, um die Wirkung von Hitzeschutzmaßnahmen zu beurteilen?",Is average temperature enough to judge whether heat protections work?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0046,C1,집중호우 경보가 모든 주민에게 같은 방식으로 전달됐나요?,Wurde die Starkregenwarnung allen Einwohnern auf dieselbe Weise zugänglich gemacht?,Was the heavy-rain warning made accessible to all residents in the same way?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0047,C1,번아웃 설문에서 업무량과 통제감을 따로 물었나요?,Wurden Arbeitsmenge und Handlungsspielraum in der Burn-out-Befragung getrennt erfasst?,Did the burnout survey ask separately about workload and control?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0048,C1,‘회복탄력성’이 개인에게만 책임을 돌리는 말로 쓰이지 않았나요?,"Wurde Resilienz so verwendet, dass die Verantwortung nur beim Einzelnen liegt?",Was resilience used in a way that places responsibility only on individuals?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0049,C1,주말 행사의 무료 입장이 실제 접근성을 보장하나요?,Garantiert freier Eintritt tatsächlich den Zugang zur Wochenendveranstaltung?,Does free admission actually guarantee access to the weekend event?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0050,C1,공공 공간의 주말 이용률은 누구의 생활 패턴을 반영하나요?,Wessen Lebensrhythmus bildet die Wochenendnutzung öffentlicher Räume ab?,Whose routine is reflected in weekend use of public spaces?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0051,C1,외식 물가 지수에 배달비와 최소 주문 금액도 포함됐나요?,Enthält der Preisindex für Restaurantessen auch Liefergebühren und Mindestbestellwerte?,Does the eating-out price index include delivery fees and minimum orders?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0052,C1,지역 음식의 ‘전통성’을 누가 정의했는지 자료에 나와 있나요?,"Geht aus dem Material hervor, wer die Tradition eines regionalen Gerichts definiert hat?",Does the material say who defined the authenticity of the regional dish?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0053,C1,스트리밍 순위가 실제 청취 취향을 얼마나 보여 주나요?,Wie gut bildet ein Streaming-Ranking tatsächliche Hörvorlieben ab?,How well does a streaming chart reflect actual listening preferences?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0054,C1,해외 팬의 번역 노동이 캠페인 성과에 포함됐나요?,Wurde die Übersetzungsarbeit internationaler Fans als Teil der Kampagnenleistung erfasst?,Was international fans' translation work counted as part of the campaign's results?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0055,C1,관광객 수가 늘었다는 사실만으로 지역 경제 효과를 말할 수 있을까요?,Lässt sich aus mehr Gästen allein auf einen lokalen Wirtschaftseffekt schließen?,Can more visitors alone establish a local economic benefit?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0056,C1,혼잡 대책이 주민의 이동권을 제한하지 않는지도 검토했나요?,"Wurde geprüft, ob die Maßnahmen gegen Überfüllung die Mobilität der Anwohnenden einschränken?",Did the review check whether crowd-control measures restrict residents' mobility?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0057,C1,돌봄 지원의 이용률이 낮은 이유를 신청자에게 물었나요?,"Wurden Antragstellende gefragt, warum die Betreuungsleistung wenig genutzt wird?",Were applicants asked why the care support has low uptake?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0058,C1,저출생 논의에서 주거와 노동 시간의 영향도 함께 다뤘나요?,Wurden in der Debatte über niedrige Geburtenzahlen auch Wohnen und Arbeitszeiten berücksichtigt?,Did the low-birth-rate discussion also address housing and working hours?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0059,C1,면접 평가표의 ‘문화 적합성’은 어떤 행동으로 측정하나요?,An welchen Verhaltensweisen wird kulturelle Passung im Interviewbogen gemessen?,What behaviors does the interview rubric use to measure cultural fit?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0060,C1,AI 면접 점수의 집단별 오류율도 공개됐나요?,Wurden auch die Fehlerquoten des KI-Interviews nach Gruppen veröffentlicht?,Were the AI interview's error rates across groups published?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0061,C1,경력 공백을 자동 선별이 어떻게 해석하는지 확인할 수 있나요?,"Lässt sich nachvollziehen, wie die automatische Vorauswahl Erwerbslücken deutet?",Can applicants see how automated screening interprets career gaps?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0062,C1,평균 월세 자료에 신규 계약이 충분히 포함됐나요?,Enthalten die Durchschnittsmieten genügend Neuverträge?,Do the average-rent data include enough new leases?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
smalltalk_c1_0063,C1,예약 대기 시간은 진료과별로 따로 공개됐나요?,Wurden Wartezeiten getrennt nach Fachgebiet veröffentlicht?,Were wait times published separately by specialty?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
