id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0416,A1,우체국 위치는 역 앞이에요.,Das Postamt liegt vor dem Bahnhof.,The post office is in front of the station.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0417,A1,약국에서 감기약을 사요.,Ich kaufe Erkältungsmedizin in der Apotheke.,I buy cold medicine at the pharmacy.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0418,A1,버스 정류장은 어디예요?,Wo ist die Bushaltestelle?,Where is the bus stop?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0419,A1,지하철역까지 걸어가요.,Ich gehe zu Fuß bis zur U-Bahn-Station.,I walk to the subway station.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0420,A1,앱에서 환승 안내를 확인해요.,Ich prüfe den Umstiegshinweis in der App.,I check the transfer directions in the app.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0421,A1,교통카드 잔액은 만 원이에요.,Das Guthaben der Fahrkarte beträgt 10.000 Won.,"The transit-card balance is 10,000 won.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0422,A1,결제 뒤에 영수증 확인을 해요.,Nach der Zahlung prüfe ich den Kassenbon.,I check the receipt after paying.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0423,A1,이 가게는 현금 결제도 가능해요.,In diesem Geschäft ist auch Barzahlung möglich.,This shop also accepts cash payment.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0424,A1,오후 세 시에 예약이 있어요.,Ich habe um drei Uhr nachmittags einen Termin.,I have an appointment at three in the afternoon.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
vocab_a1_0425,A1,제 순서는 다섯 번째예요.,Ich bin als Fünfte an der Reihe.,My turn is fifth.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
