id,level,ko,de,en,field_notes,상태,jin_memo
grammar_b2_include_total_scope,B2,N까지 포함해서 보면,Gesamtrahmen einbeziehen,Including the full scope,rights: original_clean_room; focus_de=auch die Heizkosten einbezieht; focus_en=heating costs are included,approved,Jin explicit app-integration approval (2026-08-22).
grammar_b2_verify_human_review,B2,V-는지 다시 확인하다,"erneut überprüfen, ob",Checking again whether,"rights: original_clean_room; focus_de=erneut prüfen, ob; focus_en=check again whether",approved,Jin explicit app-integration approval (2026-08-22).
grammar_b2_not_by_one_metric,B2,N만으로 판단하기 어렵다,nicht anhand eines Wertes urteilen,Hard to judge by one metric,rights: original_clean_room; focus_de=allein lässt sich; focus_en=alone cannot,approved,Jin explicit app-integration approval (2026-08-22).
grammar_b2_instead_supplement,B2,V-는 대신 N을/를 보완하다,stattdessen ergänzen,Supplementing instead,rights: original_clean_room; focus_de=Statt nur Aufrufe zu zählen; focus_en=Instead of counting views alone,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c1_even_accounting_for,C1,N을/를 감안하더라도,selbst unter Berücksichtigung,Even allowing for,rights: original_clean_room; focus_de=Auch unter Berücksichtigung; focus_en=Even allowing for,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c1_while_also_consider,C1,"V-는 한편, N도 고려해야 한다",zwei Wirkungen zugleich abwägen,While also considering,rights: original_clean_room; focus_de=müssen wir auch berücksichtigen; focus_en=also need to consider,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c1_effect_varies_by,C1,N에 따라 효과가 달라질 수 있다,gruppenabhängige Wirkung,Effects may vary by,rights: original_clean_room; focus_de=je nach Aufenthaltsstatus; focus_en=may vary by residence status,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c1_excluded_in_process,C1,V-는 과정에서 N이 배제되다,Ausschluss im Verfahren,Excluded in the process,rights: original_clean_room; focus_de=können Deutungen lokaler Fans ausgeschlossen werden; focus_en=can be excluded in the process,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c2_take_as_premise,C2,N을/를 전제로 삼다,eine Prämisse setzen,Taking as a premise,rights: original_clean_room; focus_de=setzt voraus; focus_en=assumes that,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c2_definition_by_viewpoint,C2,N을/를 누구의 관점에서 정의하느냐에 따라,Definition und Perspektive,Definition by viewpoint,"rights: original_clean_room; focus_de=Je nachdem, aus wessen Sicht; focus_en=Depending on whose perspective",approved,Jin explicit app-integration approval (2026-08-22).
grammar_c2_responsibility_remains,C2,V-았/었다고 해서 책임이 사라지는 것은 아니다,fortbestehende Verantwortung,Responsibility still remains,rights: original_clean_room; focus_de=lässt die öffentliche Verantwortung nicht entfallen; focus_en=does not make public responsibility disappear,approved,Jin explicit app-integration approval (2026-08-22).
grammar_c2_cannot_reduce_to,C2,N으로 환원할 수 없다,nicht auf einen Faktor reduzieren,Cannot be reduced to,rights: original_clean_room; focus_de=lässt sich nicht auf; focus_en=cannot be reduced to,approved,Jin explicit app-integration approval (2026-08-22).
