id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0100,A1,우표를 세 장 주세요.,Bitte geben Sie mir drei Briefmarken.,Please give me three stamps.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0101,A1,이 소포를 독일로 보내고 싶어요.,Ich möchte dieses Paket nach Deutschland schicken.,I want to send this parcel to Germany.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0102,A1,중요한 서류는 등기로 보내요.,Wichtige Unterlagen schicke ich per Einschreiben.,I send important papers by registered mail.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0103,A1,편지는 아래 우편함에 넣어 주세요.,Bitte legen Sie den Brief in den Briefkasten unten.,Please put the letter in the mailbox downstairs.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0104,A1,소포를 부치다 전에 주소를 확인해요.,"Bevor ich das Paket aufgebe, prüfe ich die Adresse.","Before I mail the parcel, I check the address.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0105,A1,무게가 이 킬로그램을 넘어요.,Das Gewicht liegt über zwei Kilogramm.,The weight is over two kilograms.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0106,A1,받는 사람 주소를 여기에 써 주세요.,Bitte schreiben Sie die Empfängeradresse hierhin.,Please write the recipient address here.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0107,A1,보내는 사람 이름을 크게 썼어요.,Ich habe den Absendernamen groß geschrieben.,I wrote the sender name in large letters.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0108,A1,받는 사람 전화번호를 적어 주세요.,Bitte notieren Sie die Telefonnummer des Empfängers.,Please write the recipient's phone number.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0109,A1,도착 문자가 오면 알려 주세요.,"Sagen Sie mir Bescheid, wenn die Zustellnachricht kommt.",Tell me when the delivery text arrives.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0110,A1,깨지기 쉬운 컵은 포장지로 감싸요.,Zerbrechliche Tassen wickle ich in Packpapier.,I wrap fragile cups in wrapping paper.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0111,A1,세 번 창구에서 기다리세요.,Bitte warten Sie am Schalter drei.,Please wait at counter number three.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0112,A1,이 연고를 하루에 두 번 발라요.,Ich trage diese Salbe zweimal am Tag auf.,I apply this ointment twice a day.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0113,A1,약국에서 마스크를 한 통 샀어요.,In der Apotheke habe ich eine Packung Masken gekauft.,I bought a pack of masks at the pharmacy.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0114,A1,계산대 앞에서 카드를 꺼냈어요.,Vor der Kasse habe ich meine Karte herausgenommen.,I took out my card in front of the checkout.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0115,A1,복용 시간을 종이에 적어 주세요.,Bitte schreiben Sie die Einnahmezeiten auf Papier.,Please write the dose times on paper.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0116,A1,일회용 밴드를 작은 걸로 주세요.,Bitte geben Sie mir ein kleines Pflaster.,Please give me a small adhesive bandage.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0117,A1,체온계가 어디에 있어요?,Wo ist das Fieberthermometer?,Where is the thermometer?,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0118,A1,목이 아파서 가글액을 찾고 있어요.,"Mein Hals tut weh, deshalb suche ich Mundspülung.","My throat hurts, so I am looking for mouthwash.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0119,A1,비타민제를 식후에 먹어요.,Ich nehme das Vitaminpräparat nach dem Essen.,I take the vitamin supplement after meals.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0120,A1,이 약에 알레르기가 있는지 확인해요.,"Ich prüfe, ob ich gegen dieses Mittel eine Allergie habe.",I check whether I have an allergy to this medicine.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0121,A1,이 약은 무처방으로 살 수 있어요.,Dieses Mittel gibt es rezeptfrei.,You can buy this medicine over the counter.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0122,A1,허리가 아파서 파스를 붙였어요.,"Mein Rücken tut weh, deshalb habe ich ein Schmerzpflaster aufgeklebt.","My back hurts, so I put on a pain relief patch.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0123,A1,속이 쓰려서 제산제를 샀어요.,"Mir ist übel, deshalb habe ich ein Antazidum gekauft.","I have heartburn, so I bought an antacid.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0124,A1,일요일에는 늦잠을 자고 싶어요.,Am Sonntag möchte ich ausschlafen.,On Sunday I want to sleep in.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0125,A1,약속 시간을 세 시로 바꿀까요?,Sollen wir die Terminzeit auf drei Uhr ändern?,Shall we change the meeting time to three?,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0126,A1,약속 장소는 역 앞이에요.,Der Treffpunkt ist vor dem Bahnhof.,The meeting place is in front of the station.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0127,A1,비가 오면 산책을 취소하다 결정해요.,"Wenn es regnet, entscheide ich, den Spaziergang abzusagen.","If it rains, I decide to cancel the walk.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0128,A1,늦으면 미리 연락해 주세요.,"Wenn Sie sich verspäten, sagen Sie bitte vorher Bescheid.","If you will be late, please give advance notice.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0129,A1,내일 오후에 시간 맞추다 문자를 보냈어요.,"Morgen Nachmittag habe ich geschrieben, um die Zeit abzustimmen.",I texted tomorrow afternoon to match the time.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0130,A1,오늘은 여기까지 하고 다음에 봐요.,"Für heute reicht es, bis zum nächsten Mal.","That's enough for today, see you next time.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0131,A1,지금 나와서 바로 갈게요.,Ich gehe jetzt raus und komme gleich.,I'm heading out now and I'll come right away.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0132,A1,주말 계획을 같이 세워 봐요.,Lassen Sie uns den Wochenendplan gemeinsam machen.,Let's make the weekend plan together.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0133,A1,버스가 막혀서 늦을 것 같다 연락했어요.,"Der Bus steckt fest, deshalb habe ich geschrieben, dass ich wahrscheinlich zu spät bin.","The bus is stuck, so I wrote that it looks like I'll be late.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0134,A1,한강에서 같이 걷다 제안했어요.,"Ich habe vorgeschlagen, am Hangang zusammen zu gehen.",I suggested that we walk together at the Hangang.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0135,A1,저는 먼저 가다 자리를 잡을게요.,Ich gehe schon voraus und sichere uns Plätze.,I'll go ahead first and hold seats.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0136,A1,초인종을 두 번 눌렀어요.,Ich habe zweimal an der Klingel gedrückt.,I pressed the doorbell twice.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0137,A1,복도에 신발을 두지 마세요.,Bitte stellen Sie keine Schuhe in den Flur.,Please do not leave shoes in the hallway.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0138,A1,이웃집에 택배가 잘못 왔어요.,Ein Paket wurde falsch an die Nachbarwohnung geliefert.,A parcel was delivered to the neighbor's place by mistake.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0139,A1,저희 층수는 다섯 층이에요.,Unser Stockwerk ist der fünfte.,Our floor number is the fifth.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0140,A1,플라스틱은 분리배출하세요.,Bitte entsorgen Sie Plastik getrennt.,Please use sorted disposal for plastic.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0141,A1,문패에 이름을 새로 붙였어요.,Ich habe ein neues Namensschild an die Tür geklebt.,I put a new nameplate on the door.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0142,A1,공동현관 비밀번호가 바뀌었어요.,Das Passwort am Hauseingang hat sich geändert.,The shared entrance password changed.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0143,A1,밤에는 층간소음을 조심해요.,Nachts achte ich auf Lärm zwischen den Etagen.,At night I am careful about noise between floors.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0144,A1,택배함에 비밀번호를 넣어요.,Ich gebe das Passwort in den Paketkasten ein.,I enter the password on the parcel locker.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0145,A1,엘리베이터에 공지문이 있어요.,Am Aufzug hängt ein Aushang.,There is a notice on the elevator.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0146,A1,입구 앞 무단주차는 안 돼요.,Unerlaubtes Parken vor der Einfahrt ist nicht erlaubt.,Unauthorized parking in front of the entrance is not allowed.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0147,A1,아침에 이웃 인사를 했어요.,Heute Morgen habe ich den Nachbarsgruß gesagt.,This morning I gave a neighbor greeting.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0148,A1,필통 안에 펜이 세 자루 있어요.,Im Federmäppchen sind drei Stifte.,There are three pens in the pencil case.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0149,A1,연필 실수를 지우개로 지워요.,Ich radiere den Bleistiftfehler mit dem Radiergummi weg.,I erase the pencil mistake with an eraser.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0150,A1,이 종이를 가위로 잘라 주세요.,Bitte schneiden Sie dieses Papier mit der Schere.,Please cut this paper with scissors.,rights: original; derived from same-batch vocab example,draft,
