id,level,ko,de,en,field_notes,상태,jin_memo
vocab_b2_0229,B2,타협하다,einen Kompromiss schließen,to compromise,Batch 03; pack=b2_decisions_perspectives_1; order=1; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0230,B2,주관,subjektive Sicht,subjective perspective,Batch 03; pack=b2_decisions_perspectives_1; order=2; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0231,B2,우선시하다,priorisieren,to prioritize,Batch 03; pack=b2_decisions_perspectives_1; order=3; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0232,B2,양보,Zugeständnis,concession,Batch 03; pack=b2_decisions_perspectives_1; order=4; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0233,B2,신념,Überzeugung,conviction,Batch 03; pack=b2_decisions_perspectives_1; order=5; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0234,B2,기준,Maßstab,criterion,Batch 03; pack=b2_decisions_perspectives_1; order=6; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0235,B2,이견,abweichende Meinung,differing opinion,Batch 03; pack=b2_decisions_perspectives_1; order=7; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0236,B2,절충안,Kompromisslösung,compromise solution,Batch 03; pack=b2_decisions_perspectives_1; order=8; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0237,B2,책무,Verantwortungspflicht,responsibility,Batch 03; pack=b2_decisions_perspectives_1; order=9; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0238,B2,결단,Entschlusskraft,decisive decision,Batch 03; pack=b2_decisions_perspectives_1; order=10; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0239,B2,소신,eigene Überzeugung,personal conviction,Batch 03; pack=b2_decisions_perspectives_1; order=11; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0240,B2,되돌아보다,rückblickend betrachten,to reflect on,Batch 03; pack=b2_decisions_perspectives_1; order=12; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0241,B2,여운,Nachklang,lingering impression,Batch 03; pack=b2_reading_response_1; order=1; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0242,B2,함축,implizite Bedeutung,implication,Batch 03; pack=b2_reading_response_1; order=2; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0243,B2,묘사,Beschreibung,description,Batch 03; pack=b2_reading_response_1; order=3; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0244,B2,시선,Blickwinkel,perspective,Batch 03; pack=b2_reading_response_1; order=4; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0245,B2,공감하다,mitfühlen,to empathize,Batch 03; pack=b2_reading_response_1; order=5; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0246,B2,해석,Interpretation,interpretation,Batch 03; pack=b2_reading_response_1; order=6; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0247,B2,인상,Eindruck,impression,Batch 03; pack=b2_reading_response_1; order=7; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0248,B2,상징,Symbol,symbol,Batch 03; pack=b2_reading_response_1; order=8; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0249,B2,서술,Erzählweise,narration,Batch 03; pack=b2_reading_response_1; order=9; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0250,B2,울림,Resonanz,resonance,Batch 03; pack=b2_reading_response_1; order=10; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0251,B2,대조,Gegensatz,contrast,Batch 03; pack=b2_reading_response_1; order=11; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0252,B2,성찰,Selbstreflexion,self-reflection,Batch 03; pack=b2_reading_response_1; order=12; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0253,B2,어감,Klangwirkung,connotation,Batch 03; pack=b2_language_society_1; order=1; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0254,B2,말투,Sprechton,tone of voice,Batch 03; pack=b2_language_society_1; order=2; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0255,B2,용례,Verwendungsbeispiel,usage example,Batch 03; pack=b2_language_society_1; order=3; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0256,B2,관용어,Redewendung,idiomatic expression,Batch 03; pack=b2_language_society_1; order=4; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0257,B2,격식,Formellheit,formality,Batch 03; pack=b2_language_society_1; order=5; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0258,B2,비속어,derbe Sprache,slang,Batch 03; pack=b2_language_society_1; order=6; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0259,B2,완곡하다,indirekt formuliert sein,to be indirect,Batch 03; pack=b2_language_society_1; order=7; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0260,B2,통용되다,allgemein gebräuchlich sein,to be widely used,Batch 03; pack=b2_language_society_1; order=8; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0261,B2,정착하다,sich etablieren,to become established,Batch 03; pack=b2_language_society_1; order=9; boss=false; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0262,B2,오해를 낳다,Missverständnisse hervorrufen,to cause misunderstanding,Batch 03; pack=b2_language_society_1; order=10; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0263,B2,표현 방식,Art der Formulierung,way of phrasing,Batch 03; pack=b2_language_society_1; order=11; boss=true; rights: original; canonical KO DE EN example in draft,draft,
vocab_b2_0264,B2,언어 감각,Sprachgefühl,feel for language,Batch 03; pack=b2_language_society_1; order=12; boss=true; rights: original; canonical KO DE EN example in draft,draft,
