id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0445,A1,자동차,Auto,car,rights: original_clean_room; pack=a1_transport; order=5; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0446,A1,역,"Bahnhof, Station",station,rights: original_clean_room; pack=a1_transport; order=6; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0447,A1,공항,Flughafen,airport,rights: original_clean_room; pack=a1_transport; order=7; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0448,A1,출발,Abfahrt,departure,rights: original_clean_room; pack=a1_transport; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0449,A1,도착,Ankunft,arrival,rights: original_clean_room; pack=a1_transport; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0450,A1,타다,einsteigen; fahren mit,"to ride, to take (transport)",rights: original_clean_room; pack=a1_transport; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0451,A1,내리다,aussteigen,to get off,rights: original_clean_room; pack=a1_transport; order=11; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0452,A1,돈,Geld,money,rights: original_clean_room; pack=a1_payment_delivery_1; order=5; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0453,A1,원,Won (Währung),won (currency),rights: original_clean_room; pack=a1_payment_delivery_1; order=6; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0454,A1,번호,Nummer,number,rights: original_clean_room; pack=a1_payment_delivery_1; order=7; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0455,A1,기다리다,warten,to wait,rights: original_clean_room; pack=a1_payment_delivery_1; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0456,A1,다시,"noch einmal, wieder","again, once more",rights: original_clean_room; pack=a1_repair_language_1; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0457,A1,단어,"Wort, Vokabel","word, vocabulary",rights: original_clean_room; pack=a1_repair_language_1; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a1_0458,A1,사전,Wörterbuch,dictionary,rights: original_clean_room; pack=a1_repair_language_1; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0477,A2,학년,Schuljahr; Studienjahr,"school year, grade",rights: original_clean_room; pack=a2_education; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0478,A2,복습,Wiederholung (des Gelernten),review (of a lesson),rights: original_clean_room; pack=a2_education; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0479,A2,예습,Vorbereitung auf den Unterricht,preparation (before a lesson),rights: original_clean_room; pack=a2_education; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0480,A2,국,Suppe,soup,rights: original_clean_room; pack=a2_food_1; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0481,A2,접시,Teller,plate,rights: original_clean_room; pack=a2_food_1; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0482,A2,설탕,Zucker,sugar,rights: original_clean_room; pack=a2_food_1; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0483,A2,끓이다,"kochen (Wasser, Suppe)",to boil,rights: original_clean_room; pack=a2_food_2; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0484,A2,볶다,"anbraten, pfannenrühren",to stir-fry,rights: original_clean_room; pack=a2_food_2; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0485,A2,굽다,grillen; backen,"to grill, to bake",rights: original_clean_room; pack=a2_food_2; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0486,A2,마트,Supermarkt,supermarket,rights: original_clean_room; pack=a2_shopping_1; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0487,A2,상자,"Karton, Kiste",box,rights: original_clean_room; pack=a2_shopping_1; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0488,A2,디자인,Design,design,rights: original_clean_room; pack=a2_shopping_1; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0489,A2,반바지,kurze Hose,shorts,rights: original_clean_room; pack=a2_shopping_2; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0490,A2,단추,Knopf,button,rights: original_clean_room; pack=a2_shopping_2; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0491,A2,모양,Form,shape,rights: original_clean_room; pack=a2_shopping_2; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0492,A2,심심하다,sich langweilen,to be bored,rights: original_clean_room; pack=a2_feelings_2; order=8; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0493,A2,편하다,bequem; angenehm,to be comfortable,rights: original_clean_room; pack=a2_feelings_2; order=9; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0494,A2,즐겁다,"vergnüglich, fröhlich",to be enjoyable,rights: original_clean_room; pack=a2_feelings_2; order=10; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0495,A2,약속,Verabredung; Versprechen,appointment; promise,rights: original_clean_room; pack=a2_plans_proposals_1; order=5; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0496,A2,계획,Plan,plan,rights: original_clean_room; pack=a2_plans_proposals_1; order=6; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
vocab_a2_0497,A2,시간표,Stundenplan; Fahrplan,timetable,rights: original_clean_room; pack=a2_plans_proposals_1; order=7; boss=false; seed: NIKL 등급 목록(KOGL 1유형) 표제어 선택만; 소형 팩(<8단어) 보충,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
