id,level,ko,de,en,field_notes,상태,jin_memo
grammar_a1_service_location_question,A1,약국은 어디에 있어요?,Wo ist die Apotheke?,Where is the pharmacy?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_a1_service_request,A1,영수증을 주세요.,Bitte geben Sie mir den Kassenbon.,Please give me the receipt.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_a2_permission_check_batch20,A2,계약서를 사진으로 찍어도 괜찮아요?,"Ist es in Ordnung, wenn ich den Vertrag fotografiere?",Is it okay if I photograph the contract?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_a2_preference_soft_batch20,A2,관리비가 계약서에 따로 적혀 있으면 좋겠어요.,"Ich fände es gut, wenn die Nebenkosten im Vertrag getrennt aufgeführt wären.",I would prefer the maintenance fee to be listed separately in the contract.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_b1_tentative_plan_batch20,B1,조건을 더 확인한 뒤에 지원할까 합니다.,"Ich denke darüber nach, mich nach Klärung der Bedingungen zu bewerben.",I'm thinking of applying after clarifying the conditions.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_b1_conceded_context_batch20,B1,근무지는 가깝기는 한데 출근 시간이 너무 빨라요.,"Der Arbeitsort ist zwar nah, aber der Arbeitsbeginn ist sehr früh.","The workplace is close, but the start time is very early.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_b2_criterion_view_batch20,B2,임대료만을 기준으로 보면 실제 주거 부담을 놓칠 수 있습니다.,"Betrachtet man nur die Miete als Maßstab, kann die tatsächliche Wohnbelastung übersehen werden.","If rent alone is the criterion, the actual housing burden may be missed.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_b2_considering_fact_batch20,B2,생활비 부담이 가구마다 다르다는 점을 고려하면 지원 기준도 세분화해야 합니다.,"Da die Belastung durch Lebenshaltungskosten je nach Haushalt variiert, sollten auch die Förderkriterien differenziert werden.","Considering that living-cost burdens vary by household, support criteria should be more specific.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_c1_difficult_to_conclude_batch20,C1,표시가 있다는 이유만으로 이용자가 충분히 이해했다고 단정하기 어렵습니다.,"Allein aus einer Kennzeichnung lässt sich schwer schließen, dass Nutzende alles ausreichend verstanden haben.",A label alone is not enough to conclude that users understood adequately.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_c1_burden_recipient_batch20,C1,번역과 검수의 부담이 누구에게 돌아가는지 따져봐야 합니다.,"Es ist zu prüfen, wer die Last von Übersetzung und Prüfung trägt.",We need to examine who bears the burden of translation and review.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_c2_no_reduction_batch20,C2,저출산 문제를 개인의 가치관으로 환원해서는 안 됩니다.,Das Problem niedriger Geburtenraten darf nicht auf individuelle Wertvorstellungen reduziert werden.,Low birth rates should not be reduced to individual values.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
grammar_c2_premise_review_batch20,C2,해당 지표가 돌봄 접근성을 반영한다는 전제하에 정책 효과를 검토했습니다.,"Die Politikwirkung wurde unter der Annahme geprüft, dass der Indikator den Zugang zu Betreuung abbildet.",We reviewed the policy effect under the premise that the indicator reflects access to care.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
