path,group,role,source,visual_review,decision,priority,width,height,mode,size_kb,alpha_coverage_pct,alpha_bbox,sat_mean,value_mean,evaluation,implementation
assets/illustrations/personal_hanok_v2/map/site_base_light.png,개인 한옥 지도,대지·담장·마당 베이스,production_bundle,direct,재구성,P0,1536,1152,RGB,2825.8,100,"0,0,1536,1152",0.365,0.601,"한지·석축·토질 재질과 카메라는 정본에 가깝다. 그러나 식생·돌·오솔길이 이미 전면에 구워져 있어 마당이 비지 않고, 향후 중문·작업마당·사당 경계를 넣을 여백이 없다.",원본은 보존하고 site_base_v2를 새로 합성한다. 담·기단·마당 면은 살리고 자잘한 초목/돌은 60~70% 제거하며 사랑마당·행랑마당·안마당·작업마당 소켓을 명시한다.
assets/illustrations/personal_hanok_v2/map/landscape/rear_garden.png,개인 한옥 지도,후원 메가 레이어,production_bundle,direct,런타임 퇴역·분해,P0,1536,1152,RGBA,1228.5,25.43,"201,051,515,628",0.138,0.102,"연못 2개, 다리, 정자, 수목, 괴석, 꽃, 장독대가 한 장에 묶여 후원이 건축보다 더 큰 주인공이 된다. 종갓집보다 판타지 정원 리조트처럼 읽히는 핵심 원인이다.","단일 레이어 사용을 중단한다. 화계/석축, 영웅 수목, 보조 수목, 작은 연못, 정자, 계절 오버레이로 분해한다. 장독대는 안채 뒤 또는 작업영역으로 이동한다."
assets/illustrations/personal_hanok_v2/map/structures/sarangchae.png,개인 한옥 지도,사랑채 완성형,production_bundle,direct,정본 유지,P0,1536,1152,RGBA,393.8,12.14,"1,596,141,012,923",0.04,0.057,"현재 세트에서 가장 강한 영웅 건축물이다. 처마선, 목재, 창호, 한지 질감이 한글소리의 고급 Faceted Minhwa 감각을 가장 잘 보존한다.",재생성 금지. masterplan V2에서 위치·축척·z만 조정한다. 사랑대청/누마루 개방감은 내부 진입과 포커스 연출로 보강한다.
assets/illustrations/personal_hanok_v2/map/structures/anchae.png,개인 한옥 지도,안채 완성형,production_bundle,direct,유지·재배치,P0,1536,1152,RGBA,340.5,7.74,"4,022,971,101,636",0.023,0.032,ㄷ/U자 안마당을 형성하는 실루엣이 좋고 사랑채와 같은 재질군이다. 다만 현재는 중문 없이 바로 노출되어 사적 영역의 위계가 약하다.,"재생성하지 않는다. 중문·담장과 함께 뒤쪽 생활권으로 재배치하고, 안마당 중앙은 비운다."
assets/illustrations/personal_hanok_v2/map/structures/haengrangchae.png,개인 한옥 지도,행랑채 완성형,production_bundle,direct,유지·확장 재사용,P0,1536,1152,RGBA,142.8,3.52,"2,518,566,771,034",0.013,0.015,낮고 긴 서비스 건물로 적절하다. 현재는 사랑채·대문 사이에 눌려 하나의 작은 띠처럼 보인다.,정본 유지. 위치를 전면 작업영역으로 분리하고 필요하면 동일 기하에서 곳간/광 wing을 파생한다.
assets/illustrations/personal_hanok_v2/map/structures/sotdaeulmun.png,개인 한옥 지도,솟을대문 완성형,production_bundle,direct,정본 유지,P0,1536,1152,RGBA,112.3,2.77,"5,988,749,411,081",0.01,0.012,크기와 재질은 좋고 입구 위계를 읽힌다. 지금은 주변 담·행랑과의 접속이 약해 독립 아이콘처럼 보인다.,"재생성 금지. 문턱, 좌우 담 접속부, 열린 문 상태를 추가하고 행랑마당 진입축을 정리한다."
assets/illustrations/personal_hanok_v2/map/structures/sadang.png,개인 한옥 지도,사당 완성형,production_bundle,direct,유지·영역 재설계,P0,1536,1152,RGBA,93,1.99,"11,963,431,397,577",0.005,0.008,맞배에 가까운 절제된 작은 채로 쓸 수 있다. 다만 현재 사당담과 일각문이 불완전하고 주변 식생이 많아 의례 영역의 비움이 약하다.,건물은 유지한다. 별도 사당담·일각문·빈 사당마당을 새 인프라 레이어로 더한다.
assets/illustrations/personal_hanok_v2/map/structures/daecheongmaru.png,개인 한옥 지도,독립 대청마루,production_bundle,direct,세계지도에서 제거·재분류,P0,1536,1152,RGBA,54.9,1.06,"689,349,863,493",0.004,0.004,"너무 작아 정자/부스처럼 보이며, 대청을 사랑채·안채와 동급의 독립 건물로 만드는 구조적 오류를 강화한다.","세계지도 건물 목록에서 뺀다. 사랑대청/안대청 내부 venue의 진입 마커로만 쓰거나, 완전히 새롭고 간결한 정자 자산의 임시 기하 참고로만 보관한다."
assets/illustrations/personal_hanok_v2/map/stages/anchae_s1_platform.png,지도 축약 시공,지도 시공 단계: 안채 기단,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,24.5,0.34,"4,154,511,089,634",0.002,0.002,완성형과 정렬이 안정적이다.,B1 축약 시공 1단계로 렌더러에 연결한다.
assets/illustrations/personal_hanok_v2/map/stages/anchae_s2_frame.png,지도 축약 시공,지도 시공 단계: 안채 골조,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,268.1,5.98,"4,133,171,091,634",0.04,0.035,기단에서 골조로의 변화가 명확하고 카메라가 고정된다.,B1 2단계로 연결한다.
