id,level,ko,de,en,field_notes,상태,jin_memo
c1_conflict_interest_disclose_stake,C1,먼저 밝힐 것이 있습니다,Ich muss zuerst etwas offenlegen,There is something I should disclose first,rights: original; shelf=c1_conflict_interest; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_conflict_interest_recuse_request,C1,이 건에서는 빠지겠습니다,Bei diesem Fall trete ich zurück,I'll step back from this one,rights: original; shelf=c1_conflict_interest; grammar=V-지 않는 한; gap answer=않는 한,draft,
c1_conflict_interest_sponsored_talk,C1,협찬 강연은 어디까지 괜찮을까요,Wie weit sind gesponserte Vorträge in Ordnung,How far are sponsored talks acceptable,rights: original; shelf=c1_conflict_interest; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_conflict_interest_dual_role,C1,두 역할이 겹칩니다,Zwei Rollen überschneiden sich,Two roles overlap here,rights: original; shelf=c1_conflict_interest; grammar=A/V-는 한편; gap answer=한편,draft,
c1_policy_pilot_before_rollout,C1,먼저 좁게 해 보는 건 어떻습니까,Sollten wir es nicht erst klein testen,Should we not try it narrowly first,rights: original; shelf=c1_policy; grammar=V-는 마당에; gap answer=마당에,draft,
c1_policy_who_bears_cost,C1,부담은 누가 지게 됩니까,Wer trägt am Ende die Last,Who ends up carrying the burden,rights: original; shelf=c1_policy; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_policy_sunset_clause,C1,끝나는 날짜를 넣읍시다,Legen wir ein Enddatum fest,Let's set an end date,rights: original; shelf=c1_policy; grammar=V-지 않는 한; gap answer=않는 한,draft,
c1_policy_exemption_edge,C1,예외가 넓게 읽힐 수 있습니다,Die Ausnahme lässt sich weit auslegen,The exemption can be read broadly,rights: original; shelf=c1_policy; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_clinical_informed_consent,C1,서명 전에 확인하고 싶습니다,Vor der Unterschrift möchte ich etwas klären,I want to check before I sign,rights: original; shelf=c1_clinical; grammar=V-는 한이 있어도; gap answer=한이 있어도,draft,
c1_clinical_second_opinion,C1,다른 의견도 들어 보고 싶습니다,Ich möchte eine zweite Meinung,I would like a second opinion,rights: original; shelf=c1_clinical; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_clinical_trial_withdrawal,C1,중간에 그만두면 어떻게 됩니까,Was passiert bei einem Abbruch,What happens if I stop partway,rights: original; shelf=c1_clinical; grammar=V-지 않는 한; gap answer=않는 한,draft,
c1_clinical_data_reuse,C1,다음 연구에도 쓰입니까,Wird es auch für weitere Studien genutzt,Will it be used for later studies too,rights: original; shelf=c1_clinical; grammar=A/V-는 한편; gap answer=한편,draft,
c1_critique_work_not_person,C1,작업과 사람을 나눠서 말하겠습니다,Ich trenne Arbeit und Person,I'll separate the work from the person,rights: original; shelf=c1_critique; grammar=A/V-는 한편; gap answer=한편,draft,
c1_critique_anonymous_limits,C1,익명 심사도 다 가리지는 못합니다,Auch anonyme Begutachtung verdeckt nicht alles,Blind review does not hide everything,rights: original; shelf=c1_critique; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_critique_metric_gaming,C1,숫자가 좋아진 이유가 다릅니다,Die Zahl steigt aus einem anderen Grund,The number improved for a different reason,rights: original; shelf=c1_critique; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_critique_public_wording,C1,공개 자리에서 어디까지 말할까요,Wie weit gehen wir öffentlich,How far do we go in public,rights: original; shelf=c1_critique; grammar=V-는 한이 있어도; gap answer=한이 있어도,draft,
c1_mediation_ground_rules,C1,시작 전에 규칙만 정합시다,Legen wir vorher die Regeln fest,Let us set the rules first,rights: original; shelf=c1_mediation; grammar=V-는 마당에; gap answer=마당에,draft,
c1_mediation_restate_position,C1,상대 말을 대신 정리해 보시겠습니까,Fassen Sie bitte die Gegenseite zusammen,Could you restate the other side,rights: original; shelf=c1_mediation; grammar=A/V-는 한편; gap answer=한편,draft,
