id,level,ko,de,en,field_notes,상태,jin_memo
a1_post_queue,A1,우체국 줄,In der Postschlange,In the post-office line,rights: original; independently authored dialog and quests,draft,
a1_stamp_ask,A1,우표 개수,Briefmarkenzahl,Stamp count,rights: original; independently authored dialog and quests,draft,
a1_parcel_weight,A1,소포 무게,Paketgewicht,Parcel weight,rights: original; independently authored dialog and quests,draft,
a1_pharmacy_ointment,A1,연고 위치,Salbenregal,Ointment shelf,rights: original; independently authored dialog and quests,draft,
a1_mask_pack,A1,마스크 한 통,Maskenpackung,A pack of masks,rights: original; independently authored dialog and quests,draft,
a1_weekend_rain,A1,주말 비,Wochenendregen,Weekend rain,rights: original; independently authored dialog and quests,draft,
a1_late_text,A1,늦는 문자,Verspätungsnachricht,Running-late text,rights: original; independently authored dialog and quests,draft,
a1_neighbor_box,A1,이웃 택배,Nachbarpaket,Neighbor parcel,rights: original; independently authored dialog and quests,draft,
a1_hall_shoes,A1,복도 신발,Schuhe im Flur,Hallway shoes,rights: original; independently authored dialog and quests,draft,
a1_class_pencil,A1,필통 빌리기,Mäppchen leihen,Borrowing a pencil case,rights: original; independently authored dialog and quests,draft,
a1_submit_name,A1,숙제 이름,Name auf der Aufgabe,Name on homework,rights: original; independently authored dialog and quests,draft,
a1_subway_exit,A1,사 번 출구,Ausgang vier,Exit four,rights: original; independently authored dialog and quests,draft,
a1_last_train,A1,막차 시간,Letzter Zug,Last train,rights: original; independently authored dialog and quests,draft,
a1_card_topup,A1,카드 충전,Karte laden,Card top-up,rights: original; independently authored dialog and quests,draft,
a1_weather_layer,A1,겉옷 챙기기,Überzieher mitnehmen,Bring a layer,rights: original; independently authored dialog and quests,draft,
a1_dust_mask,A1,미세먼지 마스크,Feinstaubmaske,Fine-dust mask,rights: original; independently authored dialog and quests,draft,
a1_sorry_late,A1,늦은 사과,Entschuldigung für Verspätung,Sorry for being late,rights: original; independently authored dialog and quests,draft,
a1_thanks_seat,A1,자리 양보,Platz überlassen,Giving up a seat,rights: original; independently authored dialog and quests,draft,
a1_slow_speech,A1,천천히 말하기,Langsames Sprechen,Speak slowly,rights: original; independently authored dialog and quests,draft,
a1_door_bell,A1,초인종,Klingel,Doorbell,rights: original; independently authored dialog and quests,draft,
a1_trash_sort,A1,분리배출,Trennen,Sorted trash,rights: original; independently authored dialog and quests,draft,
a1_gate_code,A1,공동현관 비번,Hauseingangscode,Entrance code,rights: original; independently authored dialog and quests,draft,
a1_whiteboard_word,A1,화이트보드 단어,Wort am Whiteboard,Whiteboard word,rights: original; independently authored dialog and quests,draft,
a1_platform_line,A1,노란 선,Gelbe Linie,Yellow line,rights: original; independently authored dialog and quests,draft,
