id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0303,A1,제 이름은 수진이에요.,Mein Name ist Sujin.,My name is Sujin.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0304,A1,저는 한국어 학생이에요.,Ich lerne Koreanisch.,I am a Korean learner.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0305,A1,우리 선생님은 부산에서 왔어요.,Unsere Lehrerin kommt aus Busan.,Our teacher is from Busan.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0306,A1,제 국적은 독일이에요.,Meine Staatsangehörigkeit ist deutsch.,My nationality is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0307,A1,제 모국어는 독일어예요.,Meine Muttersprache ist Deutsch.,My first language is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0308,A1,성은 박이고 이름은 수진이에요.,Mein Nachname ist Park und mein Vorname ist Sujin.,My family name is Park and my given name is Sujin.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0309,A1,제 고향은 함부르크예요.,Meine Heimatstadt ist Hamburg.,My hometown is Hamburg.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0310,A1,국적은 독일이고 고향은 베를린이에요.,Meine Staatsangehörigkeit ist deutsch und meine Heimatstadt ist Berlin.,My nationality is German and my hometown is Berlin.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0311,A1,모국어는 독일어지만 한국어도 공부해요.,"Meine Muttersprache ist Deutsch, aber ich lerne auch Koreanisch.","My first language is German, but I also study Korean.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0312,A1,제 성은 짧아서 쓰기 쉬워요.,Mein Nachname ist kurz und leicht zu schreiben.,My family name is short and easy to write.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0313,A1,고향은 멀지만 가족이 살아요.,"Meine Heimatstadt ist weit weg, aber meine Familie lebt dort.","My hometown is far away, but my family lives there.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0314,A1,물 한 병을 주세요.,Bitte geben Sie mir eine Flasche Wasser.,Please give me one bottle of water.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0315,A1,이 단어 발음을 다시 들려주세요.,Bitte spielen Sie die Aussprache dieses Wortes noch einmal ab.,Please play the pronunciation of this word again.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0316,A1,짧은 예문을 하나 적어 주세요.,Bitte schreiben Sie einen kurzen Beispielsatz auf.,Please write one short example sentence.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0317,A1,주소를 천천히 적어 주세요.,Bitte schreiben Sie die Adresse langsam auf.,Please write the address down slowly.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0318,A1,모르는 단어의 뜻을 물어요.,Ich frage nach der Bedeutung eines unbekannten Wortes.,I ask the meaning of an unfamiliar word.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0319,A1,발음을 듣고 천천히 따라 해요.,Ich höre die Aussprache und spreche langsam nach.,I listen to the pronunciation and repeat slowly.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0320,A1,예문을 보면 단어 뜻이 쉬워요.,Mit einem Beispielsatz ist die Wortbedeutung leichter.,An example sentence makes the word easier to understand.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0321,A1,이름을 종이에 적어 주세요.,Bitte schreiben Sie den Namen auf das Papier.,Please write the name on the paper.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0322,A1,수업에서 뜻을 묻고 메모해요.,Im Unterricht frage ich nach der Bedeutung und mache eine Notiz.,"In class, I ask the meaning and take a note.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0323,A1,카드로 결제할게요.,Ich bezahle mit Karte.,I'll pay by card.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0324,A1,배달비는 삼천 원이에요.,Die Liefergebühr beträgt 3.000 Won.,"The delivery fee is 3,000 won.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0325,A1,주문 전에 주소를 확인해요.,Vor der Bestellung prüfe ich die Adresse.,I check the address before ordering.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0326,A1,도착 시간은 여섯 시예요.,Die Ankunftszeit ist sechs Uhr.,The arrival time is six o'clock.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0327,A1,결제하고 영수증을 받아요.,Ich bezahle und bekomme den Kassenbon.,I pay and receive the receipt.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
satz_a1_0328,A1,배달비가 없어서 총액이 싸요.,Ohne Liefergebühr ist der Gesamtbetrag niedriger.,"With no delivery fee, the total is lower.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
