id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0345,A1,우체국 위치는 역 앞이에요.,Das Postamt liegt vor dem Bahnhof.,The post office is in front of the station.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a1_0346,A1,약국에서 감기약을 사요.,Ich kaufe Erkältungsmedizin in der Apotheke.,I buy cold medicine at the pharmacy.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a1_0347,A1,버스 정류장은 어디예요?,Wo ist die Bushaltestelle?,Where is the bus stop?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a1_0348,A1,지하철역까지 걸어가요.,Ich gehe zu Fuß bis zur U-Bahn-Station.,I walk to the subway station.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a1_0349,A1,앱에서 환승 안내를 확인해요.,Ich prüfe den Umstiegshinweis in der App.,I check the transfer directions in the app.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a1_0350,A1,교통카드 잔액은 만 원이에요.,Das Guthaben der Fahrkarte beträgt 10.000 Won.,"The transit-card balance is 10,000 won.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0278,A2,선납금이 필요한지 계약 전에 물어봤어요.,"Vor Vertragsabschluss habe ich gefragt, ob eine Vorauszahlung nötig ist.",I asked whether an advance payment was required before signing.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0279,A2,월세 납부일은 매달 말이에요.,Der Zahlungstermin für die Miete ist jeweils am Monatsende.,The rent payment is due at the end of each month.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0280,A2,관리비 내역에 인터넷이 포함돼요?,Ist Internet in der Aufstellung der Nebenkosten enthalten?,Is internet included in the maintenance-fee breakdown?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0281,A2,서명한 뒤에 계약서 사본을 받아요.,Nach der Unterschrift erhalte ich eine Vertragskopie.,I receive a copy of the contract after signing.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0282,A2,수리 문제를 임대인에게 알렸어요.,Ich habe die vermietende Person über das Reparaturproblem informiert.,I told the lessor about the repair problem.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_a2_0283,A2,부동산 중개를 통해 방 세 개를 봤어요.,Über eine Immobilienvermittlung habe ich drei Zimmer besichtigt.,I viewed three rooms through a real estate brokerage.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0276,B1,채용 공고에서 근무 시간과 업무를 확인했어요.,In der Stellenanzeige habe ich Arbeitszeit und Aufgaben geprüft.,I checked the hours and duties in the job posting.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0277,B1,지원 자격에 필요한 경력이 적혀 있어요.,In den Bewerbungsvoraussetzungen steht die nötige Berufserfahrung.,The required experience is listed in the eligibility requirements.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0278,B1,관련 경력을 자기소개서에 구체적으로 썼어요.,Ich habe die einschlägige Berufserfahrung im Anschreiben konkret beschrieben.,I described my relevant experience clearly in the cover letter.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0279,B1,면접 일정이 바뀌어서 새 시간을 확인했어요.,"Der Vorstellungstermin wurde geändert, deshalb habe ich die neue Zeit bestätigt.","The interview schedule changed, so I confirmed the new time.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0280,B1,계약 전에 급여와 휴가 같은 근무 조건을 물었어요.,Vor Vertragsabschluss habe ich nach Arbeitsbedingungen wie Gehalt und Urlaub gefragt.,"Before signing, I asked about working conditions such as pay and leave.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b1_0281,B1,수습 기간의 평가 기준을 미리 확인했어요.,Ich habe die Bewertungskriterien für die Probezeit vorab geklärt.,I checked the probation assessment criteria in advance.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0386,B2,주거비가 소득에서 차지하는 비중을 따로 살펴봤습니다.,Wir haben den Anteil der Wohnkosten am Einkommen gesondert betrachtet.,We examined the share of income spent on housing separately.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0387,B2,임대료 인상 통지에 계산 근거가 빠져 있었습니다.,In der Mitteilung zur Mieterhöhung fehlte die Berechnungsgrundlage.,The rent increase notice did not include the basis for the calculation.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0388,B2,물가를 반영하면 실질 소득의 변화가 다르게 보입니다.,Unter Berücksichtigung der Preise zeigt sich die Entwicklung des Realeinkommens anders.,"Once prices are considered, the change in real income looks different.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0389,B2,물가 상승이 모든 가구에 같은 부담을 주는 것은 아닙니다.,Preissteigerungen belasten nicht alle Haushalte gleich.,Price inflation does not burden every household equally.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0390,B2,교통비까지 포함하니 월 생활비가 예상보다 컸습니다.,Mit den Fahrtkosten lagen die monatlichen Lebenshaltungskosten über der Schätzung.,"Once transport was included, the monthly cost of living was higher than expected.","rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_b2_0391,B2,임대차 계약의 수리 책임 조항을 함께 확인했습니다.,Wir haben die Klausel zur Reparaturpflicht im Mietvertrag gemeinsam geprüft.,We reviewed the repair-responsibility clause in the lease agreement together.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_c1_0245,C1,투명성 의무가 실제 이용자의 이해로 이어지는지 점검해야 합니다.,"Es ist zu prüfen, ob die Transparenzpflicht tatsächlich zum Verständnis der Nutzenden beiträgt.",We need to check whether the transparency obligation actually helps users understand.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
cloze_c1_0246,C1,합성 콘텐츠에는 사람이 판단할 수 있는 표시가 필요합니다.,"Synthetische Inhalte brauchen eine Kennzeichnung, die Menschen einordnen können.",Synthetic content needs labeling that people can interpret.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
