id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0360,a1,저는 자동차로 회사에 가요.,Ich fahre mit dem Auto zur Arbeit.,I go to work by car.,vocabKo=자동차; unit=a1_06_transport_directions; source vocab_a1_0445,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0361,a1,역 앞에서 만나요.,Wir treffen uns vor dem Bahnhof.,Let's meet in front of the station.,vocabKo=역; unit=a1_06_transport_directions; source vocab_a1_0446,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0362,a1,공항까지 버스로 가요.,Zum Flughafen fahre ich mit dem Bus.,I take the bus to the airport.,vocabKo=공항; unit=a1_06_transport_directions; source vocab_a1_0447,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0363,a1,출발 시간이 몇 시예요?,Um wie viel Uhr ist die Abfahrt?,What time is the departure?,vocabKo=출발; unit=a1_06_transport_directions; source vocab_a1_0448,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0364,a1,서울에 도착 후에 전화해요.,Nach der Ankunft in Seoul rufe ich an.,"After arriving in Seoul, I'll call.",vocabKo=도착; unit=a1_06_transport_directions; source vocab_a1_0449,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0365,a1,버스를 타고 학교에 가요.,Ich fahre mit dem Bus zur Schule.,I take the bus to school.,vocabKo=타다; unit=a1_06_transport_directions; source vocab_a1_0450,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0366,a1,다음 역에서 내려요.,Ich steige an der nächsten Station aus.,I get off at the next station.,vocabKo=내리다; unit=a1_06_transport_directions; source vocab_a1_0451,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0367,a1,지금 돈이 없어요.,Ich habe gerade kein Geld.,I don't have money right now.,vocabKo=돈; unit=a1_14_payment_delivery; source vocab_a1_0452,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0368,a1,커피는 사천 원이에요.,Der Kaffee kostet viertausend Won.,The coffee is four thousand won.,vocabKo=원; unit=a1_14_payment_delivery; source vocab_a1_0453,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
satz_a1_0369,a1,제 번호는 십오 번이에요.,Meine Nummer ist die Fünfzehn.,My number is fifteen.,vocabKo=번호; unit=a1_14_payment_delivery; source vocab_a1_0454,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
