id,korean,old_level,new_level,target_pack,reason
vocab_a1_0282,명절 증후군,A2,B2,b2_partner_holiday_duty_1,"kiiq 6, Fable 룰링 2026-09-07"
vocab_a2_0283,세뱃돈 사양,A2,B2,b2_partner_family_money_1,"kiiq 6, Fable 룰링 2026-09-07"
vocab_a2_0284,한복 대여,A2,B1,b1_partner_holiday_plan_1,"kiiq 5, Fable 룰링 2026-09-07"
vocab_a2_0344,좌석 배정,A2,B1,b1_travel_change_1,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0275,유창하다,A2,B1,b1_partner_translating_1,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0280,분위기 파악,A2,B1,b1_partner_awkward_questions_1,"kiiq 5, Fable 룰링 2026-09-07"
vocab_a1_0325,체온계,A2,B1,b1_health_hospital_1,"kiiq 5, Fable 룰링 2026-09-07"
vocab_a1_0420,환승 안내,A1,A2,a2_subway_card_1,"kiiq 2, Fable 룰링 2026-09-07"
vocab_a1_0421,교통카드 잔액,A1,A2,a2_subway_card_1,"kiiq 2, Fable 룰링 2026-09-07"
vocab_a1_0211,덜,A1,B1,b1_daily_3,"kiiq 3, Fable 룰링 2026-09-07"
vocab_a1_0332,늦잠,A1,A2,a2_daily_1,"kiiq 3, Fable 룰링 2026-09-07"
vocab_a1_0405,모국어,A1,B1,b1_communication_lang_1,"kiiq 5, Fable 룰링 2026-09-07"
vocab_a2_0109,교차로,A2,B1,b1_travel_transport_1,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0123,상사,A2,B1,b1_work,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0149,보증금,A2,B1,b1_housing_contract_1,"kiiq 5, Fable 룰링 2026-09-07"
vocab_a2_0221,지구,A2,B2,b2_environment_1,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0222,태양,A2,B2,b2_environment_1,"kiiq 4, Fable 룰링 2026-09-07"
vocab_a2_0237,사원,A2,B1,b1_work,"kiiq 5, Fable 룰링 2026-09-07"
