id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0379,a1,저는 자동차로 회사에 가요.,Ich fahre mit dem Auto zur Arbeit.,I go to work by car.,answer=자동차; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0445,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0380,a1,역 앞에서 만나요.,Wir treffen uns vor dem Bahnhof.,Let's meet in front of the station.,answer=만나요; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0446,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0381,a1,공항까지 버스로 가요.,Zum Flughafen fahre ich mit dem Bus.,I take the bus to the airport.,answer=공항; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0447,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0382,a1,출발 시간이 몇 시예요?,Um wie viel Uhr ist die Abfahrt?,What time is the departure?,answer=출발; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0448,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0383,a1,서울에 도착 후에 전화해요.,Nach der Ankunft in Seoul rufe ich an.,"After arriving in Seoul, I'll call.",answer=도착; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0449,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0384,a1,버스를 타고 학교에 가요.,Ich fahre mit dem Bus zur Schule.,I take the bus to school.,answer=타고; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0450,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0385,a1,다음 역에서 내려요.,Ich steige an der nächsten Station aus.,I get off at the next station.,answer=내려요; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0451,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0386,a1,지금 돈이 없어요.,Ich habe gerade kein Geld.,I don't have money right now.,answer=없어요; topic=결제와 배달; unit=a1_14_payment_delivery; derived from vocab_a1_0452,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0387,a1,커피는 사천 원이에요.,Der Kaffee kostet viertausend Won.,The coffee is four thousand won.,answer=커피; topic=결제와 배달; unit=a1_14_payment_delivery; derived from vocab_a1_0453,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0388,a1,제 번호는 십오 번이에요.,Meine Nummer ist die Fünfzehn.,My number is fifteen.,answer=번호; topic=결제와 배달; unit=a1_14_payment_delivery; derived from vocab_a1_0454,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0389,a1,문 앞에서 기다려요.,Ich warte vor der Tür.,I'm waiting in front of the door.,answer=기다려요; topic=결제와 배달; unit=a1_14_payment_delivery; derived from vocab_a1_0455,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0390,a1,다시 한번 말해 주세요.,Bitte sagen Sie es noch einmal.,Please say it once more.,answer=다시; topic=다시 묻기; unit=a1_08_clarify_repair; derived from vocab_a1_0456,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
cloze_a1_0391,a1,이 단어는 무슨 뜻이에요?,Was bedeutet dieses Wort?,What does this word mean?,answer=단어; topic=다시 묻기; unit=a1_08_clarify_repair; derived from vocab_a1_0457,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 24 보충); Jin 10% 표본 대기
