id,level,ko,de,en,field_notes,상태,jin_memo
cloze_b2_0118,B2,이번 주에는 회의가 세 개나 겹쳐서 발표 준비 시간을 다시 잡아야 해요.,"Diese Woche überschneiden sich drei Termine, deshalb müssen wir die Zeit für die Präsentationsvorbereitung neu planen.","Three meetings overlap this week, so we need to reschedule our presentation prep.",rights: original; answer: 겹쳐서; source: vocab_b2_0265,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0119,B2,급한 요청이 들어와서 오늘 할 일의 우선순위를 조금 조정했어요.,Wegen einer dringenden Anfrage habe ich die Prioritäten für heute etwas angepasst.,"An urgent request came in, so I adjusted today's priorities a little.",rights: original; answer: 조정했어요; source: vocab_b2_0266,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0120,B2,선택지가 너무 많으니 두 안의 장단점을 비교해서 의견을 좁혀 봐요.,Es gibt zu viele Möglichkeiten. Vergleichen wir die Vor- und Nachteile der beiden Vorschläge und grenzen die Auswahl ein.,"There are too many options, so let's compare the two proposals and narrow down our choice.",rights: original; answer: 좁혀 봐요; source: vocab_b2_0267,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0121,B2,먼저 초안을 팀에 돌리고 빠진 내용이 있는지 확인할게요.,"Ich schicke den Entwurf zuerst ans Team und prüfe, ob noch etwas fehlt.",I'll circulate the draft to the team first and check whether anything is missing.,rights: original; answer: 돌리고; source: vocab_b2_0268,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0122,B2,받은 피드백을 전부 넣기보다 이번 목표에 맞는 것부터 반영했어요.,"Statt jedes Feedback einzuarbeiten, habe ich zuerst die Punkte berücksichtigt, die zu unserem aktuellen Ziel passen.","Rather than incorporating every comment, I started with the ones that fit our current goal.",rights: original; answer: 반영했어요; source: vocab_b2_0269,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0123,B2,한 사람이 다 맡으면 늦어질 수 있으니 조사와 발표 역할을 나눠요.,"Wenn eine Person alles übernimmt, können wir in Verzug geraten. Teilen wir Recherche und Präsentation auf.","If one person handles everything, we may fall behind, so let's split up the research and presentation.",rights: original; answer: 나눠요; source: vocab_b2_0270,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0124,B2,마감이 촉박하긴 하지만 범위를 줄이면 금요일까지 끝낼 수 있어요.,"Die Frist ist knapp, aber wenn wir den Umfang verkleinern, schaffen wir es bis Freitag.","The deadline is tight, but we can finish by Friday if we reduce the scope.",rights: original; answer: 촉박하긴 하지만; source: vocab_b2_0271,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0125,B2,사용자 반응이 예상과 달라서 기획 방향을 중간에 틀었어요.,"Die Reaktionen der Nutzer fielen anders aus als erwartet, deshalb änderten wir mitten im Prozess die Richtung.","User reactions differed from what we expected, so we changed direction halfway through.",rights: original; answer: 틀었어요; source: vocab_b2_0272,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0126,B2,이번 오류는 제가 놓쳐서 생겼으니 수정은 제가 책임질게요.,"Der Fehler ist passiert, weil ich etwas übersehen habe. Ich übernehme die Korrektur.","The error happened because I missed something, so I'll take responsibility for fixing it.",rights: original; answer: 책임질게요; source: vocab_b2_0273,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0127,B2,서로 원하는 게 다르지만 일정만 조금 조정하면 합의점을 찾을 수 있어요.,"Wir wollen unterschiedliche Dinge, aber wenn wir den Zeitplan etwas anpassen, finden wir einen gemeinsamen Nenner.","We want different things, but we can find common ground if we adjust the schedule a little.",rights: original; answer: 합의점을 찾을; source: vocab_b2_0274,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0128,B2,바로 안 된다고 하기보다 어려운 이유를 덧붙여 의견을 완곡하게 전했어요.,"Statt sofort Nein zu sagen, erklärte ich, warum es schwierig ist, und formulierte meine Meinung diplomatischer.","Instead of saying no outright, I explained why it would be difficult and expressed my view more tactfully.",rights: original; answer: 완곡하게 전했어요; source: vocab_b2_0275,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0129,B2,회의가 끝나기 전에 담당자와 후속 조치를 정해 두죠.,"Legen wir vor Ende der Besprechung fest, wer zuständig ist und was als Nächstes passiert.","Before the meeting ends, let's decide who is responsible and what happens next.",rights: original; answer: 후속 조치를 정해 두죠; source: vocab_b2_0276,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0130,B2,보고서를 쓰는 한 시간 동안은 메신저 알림을 꺼 뒀어요.,"Während ich eine Stunde am Bericht schrieb, habe ich die Messenger-Benachrichtigungen ausgeschaltet.",I turned off messenger notifications for the hour I spent writing the report.,rights: original; answer: 꺼 뒀어요; source: vocab_b2_0277,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0131,B2,제목만 보고 공유하지 말고 원문과 출처를 먼저 확인해요.,Teile einen Beitrag nicht nur wegen der Überschrift. Prüfe zuerst den Originaltext und die Quelle.,Don't share something based on the headline alone. Check the original text and source first.,rights: original; answer: 확인해요; source: vocab_b2_0278,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0132,B2,짧게 잘린 영상에서는 앞뒤 맥락이 빠져 뜻이 달라 보일 수 있어요.,"In einem stark gekürzten Video fehlt oft der Zusammenhang, sodass die Aussage anders wirken kann.",A short clipped video can lose the surrounding context and make the message seem different.,rights: original; answer: 맥락이 빠져; source: vocab_b2_0279,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0133,B2,확인되지 않은 숫자가 사실처럼 과장되어 퍼졌어요.,"Eine ungeprüfte Zahl wurde übertrieben weiterverbreitet, als wäre sie eine Tatsache.",An unverified figure spread in an exaggerated form as if it were a fact.,rights: original; answer: 과장되어 퍼졌어요; source: vocab_b2_0280,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0134,B2,알림이 계속 울리면 짧은 글을 읽을 때도 집중이 쉽게 흐트러져요.,"Wenn ständig Benachrichtigungen kommen, verliere ich selbst bei kurzen Texten leicht die Konzentration.","When notifications keep going off, I lose focus even while reading a short text.",rights: original; answer: 흐트러져요; source: vocab_b2_0281,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0135,B2,그 제목은 내용을 설명하기보다 화난 반응을 유도하려고 만든 것 같아요.,Die Überschrift soll offenbar weniger informieren als eine wütende Reaktion provozieren.,That headline seems designed to provoke anger rather than explain the content.,rights: original; answer: 반응을 유도하려고; source: vocab_b2_0282,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0136,B2,기사를 읽을 때 확인된 사실과 기자의 해석을 구분해 봐요.,"Versuchen wir beim Lesen eines Artikels, bestätigte Fakten von der Deutung des Verfassers zu unterscheiden.","When reading an article, let's distinguish verified facts from the writer's interpretation.",rights: original; answer: 구분해 봐요; source: vocab_b2_0283,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0137,B2,단체 대화방에서는 가벼운 농담도 기록으로 남는다는 걸 기억해야 해요.,"In einem Gruppenchat sollte man daran denken, dass selbst ein beiläufiger Witz gespeichert bleibt.","In a group chat, remember that even a casual joke remains on record.",rights: original; answer: 기록으로 남는다는; source: vocab_b2_0284,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0138,B2,같은 비밀번호를 여러 곳에서 쓰지 않는 것만으로도 계정을 더 안전하게 보호할 수 있어요.,"Schon wenn du nicht überall dasselbe Passwort verwendest, kannst du dein Konto besser schützen.",Simply avoiding the same password across different services can help protect your account.,rights: original; answer: 보호할 수 있어요; source: vocab_b2_0285,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0139,B2,머리가 멍해질 때는 오 분만이라도 화면에서 눈을 떼고 쉬어요.,"Wenn der Kopf nicht mehr mitmacht, schaue ich wenigstens fünf Minuten vom Bildschirm weg und mache Pause.","When my head feels foggy, I look away from the screen and rest for at least five minutes.",rights: original; answer: 눈을 떼고; source: vocab_b2_0286,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0140,B2,주소가 낯설거나 로그인을 재촉하면 일단 링크부터 의심해요.,"Wenn die Adresse unbekannt wirkt oder zur schnellen Anmeldung drängt, misstraue ich zuerst dem Link.","If the address looks unfamiliar or pressures me to log in, I treat the link as suspicious.",rights: original; answer: 의심해요; source: vocab_b2_0287,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b2_0141,B2,중요한 소식은 서로 다른 두 출처에서 교차 확인한 뒤에 전달했어요.,"Eine wichtige Nachricht habe ich erst weitergegeben, nachdem ich sie mit zwei voneinander unabhängigen Quellen abgeglichen hatte.",I shared the important news only after cross-checking it against two different sources.,rights: original; answer: 교차 확인한 뒤에; source: vocab_b2_0288,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0001,C1,입구만 넓히는 것으로 끝내지 말고 안내와 신청 절차의 접근성도 함께 확보해야 합니다.,Ein breiter Eingang allein reicht nicht. Auch Informationen und Anmeldeverfahren müssen zugänglich sein.,A wider entrance is not enough. We also need to make information and registration procedures accessible.,rights: original; answer: 접근성도 함께 확보해야 합니다; source: vocab_c1_0001,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0002,C1,안내대를 복도 한가운데 두면 휠체어나 유모차의 동선을 가로막을 수 있습니다.,Ein Infostand mitten im Flur kann Rollstühlen und Kinderwagen den Weg versperren.,Placing an information desk in the middle of the corridor can block the route for wheelchairs and strollers.,rights: original; answer: 동선을 가로막을; source: vocab_c1_0002,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0003,C1,현장 설명을 듣기 어려운 사람을 위해 자막과 문서 안내를 선택지로 마련했습니다.,"Für Personen, die der Erklärung vor Ort schwer folgen können, haben wir Untertitel und schriftliche Informationen als Alternativen bereitgestellt.","For people who may struggle to follow the in-person explanation, we provided captions and written guidance as alternatives.",rights: original; answer: 선택지로 마련했습니다; source: vocab_c1_0003,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0004,C1,편의를 추측해서 정하기 전에 실제 이용 당사자의 의견부터 들었습니다.,"Bevor wir Annahmen über ihre Bedürfnisse trafen, haben wir zuerst die Menschen angehört, die das Angebot tatsächlich nutzen.","Before making assumptions about what would help, we listened to the people who actually use the service.",rights: original; answer: 당사자의 의견부터 들었습니다; source: vocab_c1_0004,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0005,C1,상황이 다른데 같은 기준을 일괄 적용하면 오히려 누군가를 배제할 수 있습니다.,"Wenn unterschiedliche Situationen pauschal nach demselben Maßstab behandelt werden, kann das Menschen erst recht ausschließen.",Applying the same standard across different situations can end up excluding people.,rights: original; answer: 일괄 적용하면; source: vocab_c1_0005,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0006,C1,원칙은 유지하되 건강이나 돌봄 사정이 있는 경우에는 예외를 둘 필요가 있습니다.,"Die Regel kann bestehen bleiben, doch bei gesundheitlichen Gründen oder Betreuungspflichten braucht es Ausnahmen.",We can keep the rule while allowing exceptions for health needs or caregiving responsibilities.,rights: original; answer: 예외를 둘; source: vocab_c1_0006,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0007,C1,이용자가 매번 불편을 감수하게 두는 대신 운영 절차 자체를 바꿔야 합니다.,"Statt den Nutzern jedes Mal Unannehmlichkeiten zuzumuten, sollten wir den Ablauf selbst ändern.","Instead of making users put up with the same inconvenience every time, we should change the process itself.",rights: original; answer: 불편을 감수하게 두는; source: vocab_c1_0007,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0008,C1,정보는 공개하는 데 그치지 않고 누구나 실제로 이용할 수 있도록 보장해야 합니다.,"Informationen nur zu veröffentlichen reicht nicht. Es muss auch gewährleistet sein, dass alle sie tatsächlich nutzen können.",Publishing information is not enough. We need to ensure that everyone can actually use it.,rights: original; answer: 이용할 수 있도록 보장해야 합니다; source: vocab_c1_0008,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0009,C1,문제만 지적하면 논의가 멈출 수 있어서 비용까지 고려한 개선안을 함께 제시했습니다.,Nur auf das Problem hinzuweisen hätte die Diskussion blockiert. Deshalb habe ich einen Verbesserungsvorschlag samt Kostenrahmen vorgelegt.,"Pointing out the problem alone could stall the discussion, so I also proposed an improvement that accounted for cost.",rights: original; answer: 개선안을 함께 제시했습니다; source: vocab_c1_0009,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0010,C1,접근성 문제는 급하지 않다는 이유로 자꾸 우선순위에서 밀리곤 합니다.,"Fragen der Zugänglichkeit rutschen oft nach hinten, weil sie fälschlich als nicht dringend gelten.",Accessibility issues often get pushed down the priority list because they are treated as less urgent.,rights: original; answer: 우선순위에서 밀리곤 합니다; source: vocab_c1_0010,approved,Jin explicit app-integration approval (2026-08-15).
cloze_c1_0011,C1,행사 당일에야 통역이 없다는 걸 알게 되어 사후에 보완할 수밖에 없었습니다.,"Erst am Veranstaltungstag fiel auf, dass eine Verdolmetschung fehlte. Uns blieb nur, nachträglich nachzubessern.","We discovered on the day of the event that no interpretation was available, so we had no choice but to remedy it afterward.",rights: original; answer: 사후에 보완할 수밖에 없었습니다; source: vocab_c1_0011,approved,Jin explicit app-integration approval (2026-08-15).
