id,level,ko,de,en,field_notes,상태,jin_memo
a1_daily_recycling_day,A1,분리수거는 무슨 요일에,An welchem Tag kommt der Müll raus,Which day is recycling day,rights: original; category=daily; unit=a1_09_home_daily_life; grammar=N에; gap answer=에,draft,
a1_friends_major_and_number,A1,무슨 전공이에요,Was studierst du,What's your major,rights: original; category=friends; unit=a1_15_first_class_work; grammar=무슨/어떤 N; gap answer=무슨,draft,
a1_dating_what_to_call_you,A1,뭐라고 부를까,Wie nennen wir uns,What should we call each other,rights: original; category=dating; unit=a1_11_titles_relationships; grammar=V-고 싶다; gap answer=고,draft,
a1_youtube_shorts_last_night,A1,어제 그 쇼츠,Der Clip von gestern,That clip from last night,"rights: original; category=youtube; unit=a1_12_daily_negation; grammar=안 + V, V-았/었어요; gap answer=안",draft,
a1_gaming_one_more_round,A1,한 판만 같이 해요,Spielen wir eine Runde,Let's play one round,"rights: original; category=gaming; unit=a1_04_order_request_object; grammar=N을/를, V-(으)세요; gap answer=을; 계획의 casual 대신 polite로 씀(-(으)세요와 반말이 충돌)",draft,
a1_kpop_my_bias,A1,제 최애는요,Mein Bias ist,My bias is,rights: original; category=kpop; unit=a1_02_self_intro_identity; grammar=N이에요/예요; gap answer=이에요; 하린은 가상 인물,draft,
a2_daily_late_delivery,A2,배달이 안 와요,Die Lieferung kommt nicht,My delivery isn't coming,rights: original; category=daily; unit=a2_05_delivery_services; grammar=V-(으)ㄴ/는 것 같다; gap answer=같아요,draft,
a2_friends_weekend_slot,A2,주말에 언제 볼까요,Wann treffen wir uns am Wochenende,When shall we meet this weekend,rights: original; category=friends; unit=a2_02_plans_proposals; grammar=V-(으)ㄹ까요?; gap answer=까요,draft,
a2_dating_slow_replies,A2,답장이 늦었잖아,Du hast so spät geantwortet,You replied so late,rights: original; category=dating; unit=a2_04_feelings_health; grammar=N때문에; gap answer=때문에,draft,
a2_youtube_send_the_link,A2,이 링크 봐,Schau dir den Link an,Check this link,"rights: original; category=youtube; unit=a2_03_chat_relationships; grammar=V-(으)니까, V-거나; gap answer=니까; 반말 유지를 위해 계획의 V-네요/V-아 보세요 대신 씀",draft,
a2_gaming_cant_connect,A2,접속이 안 돼,Ich komme nicht rein,I can't get in,rights: original; category=gaming; unit=a2_07_travel_repair; grammar=V-(으)ㄹ 수 있다/없다; gap answer=없어,draft,
