korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
타협하다,tahyeophada,einen Kompromiss schließen,B2,Verb,두 사람은 서로 한 걸음씩 양보해 현실적인 방안으로 타협했어요.,"Beide Seiten gaben etwas nach und einigten sich auf eine realistische Lösung.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,1,false,to compromise,Verb,"Both sides gave a little and reached a realistic compromise.",vocab_b2_0229
주관,jugwan,subjektive Sicht,B2,Nomen,주관이 다르다고 해서 상대의 판단이 틀린 것은 아니에요.,"Nur weil sich subjektive Sichtweisen unterscheiden, ist die Einschätzung der anderen Person nicht falsch.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,2,false,subjective perspective,Noun,"A different subjective view does not make the other person's judgment wrong.",vocab_b2_0230
숙고하다,sukgohada,sorgfältig abwägen,B2,Verb,이번 결정에서는 빠른 결과보다 장기적인 영향을 충분히 숙고하려고 해요.,"Bei dieser Entscheidung möchte ich die langfristigen Folgen statt nur schneller Ergebnisse gründlich abwägen.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,3,false,to deliberate carefully,Verb,"For this decision, I want to weigh the long-term consequences carefully rather than just quick results.",vocab_b2_0231
양보,yangbo,Zugeständnis,B2,Nomen,의견 차이를 줄이려면 서로가 받아들일 수 있는 양보가 필요해요.,"Um unterschiedliche Meinungen einander anzunähern, braucht es Zugeständnisse, die beide Seiten akzeptieren können.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,4,false,concession,Noun,"To narrow a difference of opinion, both sides need concessions they can accept.",vocab_b2_0232
신념,sinnyeom,Überzeugung,B2,Nomen,그는 어려운 상황에서도 남을 성급히 판단하지 않겠다는 신념을 지켰어요.,"Auch in schwierigen Situationen hielt er an seiner Überzeugung fest, andere nicht vorschnell zu beurteilen.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,5,false,conviction,Noun,"Even in difficult situations, he held on to his conviction not to judge others too quickly.",vocab_b2_0233
기준,gijun,Maßstab,B2,Nomen,무엇이 중요한지에 대한 기준이 다르면 같은 선택도 다르게 보일 수 있어요.,"Wenn sich die Maßstäbe dafür unterscheiden, was wichtig ist, kann dieselbe Wahl unterschiedlich wirken.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,6,false,criterion,Noun,"When people use different criteria for what matters, the same choice can look different.",vocab_b2_0234
이견,igyeon,abweichende Meinung,B2,Nomen,회의에서는 비용보다 안전을 우선해야 한다는 이견이 제기됐어요.,"In der Sitzung wurde die abweichende Meinung vorgebracht, Sicherheit müsse vor Kosten stehen.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,7,false,differing opinion,Noun,"At the meeting, someone raised the view that safety should come before cost.",vocab_b2_0235
절충안,jeolchungan,Kompromisslösung,B2,Nomen,두 제안의 장점을 살린 절충안을 찾으면 갈등을 줄일 수 있어요.,"Eine Kompromisslösung, die die Stärken beider Vorschläge aufgreift, kann Konflikte verringern.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,8,false,compromise solution,Noun,"A compromise that keeps the strengths of both proposals can reduce conflict.",vocab_b2_0236
책무,chaengmu,Verantwortungspflicht,B2,Nomen,관리자는 결정의 결과를 설명할 책무가 있어요.,"Leitende Personen haben die Verantwortung, die Folgen ihrer Entscheidungen zu erklären.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,9,false,responsibility,Noun,"Leaders have a responsibility to explain the consequences of their decisions.",vocab_b2_0237
결단,gyeoldan,Entschlusskraft,B2,Nomen,정보가 충분하지 않아도 어느 순간에는 결단을 내려야 할 때가 있어요.,"Auch wenn Informationen fehlen, kommt der Moment, in dem man eine Entscheidung treffen muss.",Entscheidungen & Perspektiven,b2_decisions_perspectives_1,10,true,decisive decision,Noun,"Even without complete information, there comes a time when you have to make a decision.",vocab_b2_0238
