id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_a1_0085,A1,우체국은 어느 출구로 나가요?,Welchen Ausgang nehme ich zum Postamt?,Which exit should I take for the post office?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a1_0086,A1,이 근처에 약국이 있어요?,Gibt es hier in der Nähe eine Apotheke?,Is there a pharmacy near here?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a1_0087,A1,이 역에서 환승해요?,Steige ich an dieser Station um?,Do I transfer at this station?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a1_0088,A1,영수증도 주세요?,Bekomme ich auch einen Kassenbon?,Can I have the receipt too?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a1_0089,A1,교통카드는 어디에서 충전해요?,Wo lade ich die Fahrkarte auf?,Where do I top up the transit card?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a1_0090,A1,제 순서는 언제예요?,Wann bin ich an der Reihe?,When is my turn?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0078,A2,관리비에 인터넷도 포함돼요?,Ist Internet in den Nebenkosten enthalten?,Is internet included in the maintenance fee?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0079,A2,계약서를 집에서 읽어 봐도 괜찮아요?,"Ist es in Ordnung, wenn ich den Vertrag zu Hause lese?",Is it okay if I read the contract at home?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0080,A2,반려동물과 같이 살아도 돼요?,Darf ich mit einem Haustier einziehen?,May I move in with a pet?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0081,A2,보증금은 언제 보내요?,Wann überweise ich die Kaution?,When do I send the deposit?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0082,A2,오늘 저녁에 방을 볼 수 있어요?,Kann ich das Zimmer heute Abend besichtigen?,Can I view the room this evening?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_a2_0083,A2,이사 날짜를 일주일 늦춰도 괜찮아요?,"Ist es in Ordnung, den Umzug um eine Woche zu verschieben?",Is it okay to move the date back by one week?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0073,B1,채용 공고의 지원 자격을 모두 충족해야 하나요?,Muss ich alle Voraussetzungen der Stellenanzeige erfüllen?,Do I need to meet every requirement in the job posting?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0074,B1,면접 일정 변경을 어떻게 정중하게 요청할까요?,Wie bitte ich höflich um eine Änderung des Vorstellungstermins?,How can I politely ask to change the interview time?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0075,B1,체류 자격에 관한 질문은 누구에게 해야 하나요?,An wen richte ich Fragen zu meinem Aufenthaltsstatus?,Who should I ask about my residence status?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0076,B1,수습 기간에는 어떤 기준으로 평가하나요?,Nach welchen Kriterien werde ich in der Probezeit bewertet?,What criteria are used during probation?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0077,B1,돌봄 때문에 유연 근무를 요청해도 될까요?,Kann ich wegen Betreuungspflichten flexible Arbeitszeiten anfragen?,Can I ask for flexible work because of care responsibilities?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
smalltalk_b1_0078,B1,휴가 전 인수인계에는 무엇을 남겨야 할까요?,Was sollte ich vor dem Urlaub für die Übergabe dokumentieren?,What should I document for a handover before leave?,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
