id,level,ko,de,en,field_notes,상태,jin_memo
cloze_b1_0068,B1,팀원들과 일정을 조율한 뒤에 회의 시간을 확정했어요.,"Nachdem ich den Zeitplan mit dem Team abgestimmt hatte, habe ich den Besprechungstermin festgelegt.","After coordinating the schedule with the team, I confirmed the meeting time.",vocabId=vocab_b1_0260; headword=조율하다; answer=조율한; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=확정한|미룬|대체한; context=team schedule coordination before a meeting,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0069,B1,회의 참석 여부를 오늘 안에 알려 주세요.,"Bitte teilen Sie uns noch heute mit, ob Sie an der Besprechung teilnehmen können.",Please let us know by today whether you can attend the meeting.,vocabId=vocab_b1_0261; headword=참석 여부; answer=참석 여부; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=업무 분담|우선순위|마감일; context=same-day attendance confirmation,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0070,B1,마감일이 가까운 업무의 우선순위를 먼저 정했어요.,Wir haben zuerst die Prioritäten für die Aufgaben mit naher Abgabefrist festgelegt.,We first set the priorities for tasks with approaching deadlines.,vocabId=vocab_b1_0262; headword=우선순위; answer=우선순위; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=참석 여부|업무 분담|회의실; context=prioritizing deadline-sensitive tasks,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0071,B1,오후 회의를 위해 3층 회의실을 예약했어요.,Für die Besprechung am Nachmittag habe ich einen Raum im dritten Stock reserviert.,I reserved a meeting room on the third floor for the afternoon meeting.,vocabId=vocab_b1_0263; headword=회의실; answer=회의실; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=업무 분담|참석 여부|마감일; context=reserve an afternoon meeting room,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0072,B1,담당자가 부재중이라 제가 대신 업무를 맡기로 했어요.,"Da die zuständige Person nicht da war, habe ich die Aufgaben stellvertretend übernommen.","Since the person in charge was unavailable, I took over the duties temporarily.",vocabId=vocab_b1_0264; headword=대신하다; answer=대신; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=조율하기로|확정하기로|미루기로; context=temporarily cover an unavailable person,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0073,B1,자료가 늦게 도착해서 회의 시작이 20분 지연됐어요.,"Weil die Unterlagen spät ankamen, hat sich der Beginn der Besprechung um zwanzig Minuten verzögert.","Because the materials arrived late, the start of the meeting was delayed by 20 minutes.",vocabId=vocab_b1_0265; headword=지연되다; answer=지연됐어요; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=확정됐어요|대체됐어요|조율됐어요; context=meeting delay caused by late materials,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0074,B1,회의 전에 업무 분담을 정해서 각자 맡을 일을 확인했어요.,"Vor der Besprechung haben wir die Aufgabenverteilung festgelegt und geprüft, wer was übernimmt.",Before the meeting we agreed on the division of tasks and confirmed what each person would handle.,vocabId=vocab_b1_0266; headword=업무 분담; answer=업무 분담; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=참석 여부|회의실|우선순위; context=agree task allocation before meeting,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0075,B1,이 보고서의 마감일은 다음 주 금요일이에요.,Die Abgabefrist für diesen Bericht ist nächsten Freitag.,The deadline for this report is next Friday.,vocabId=vocab_b1_0267; headword=마감일; answer=마감일; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=참석 여부|우선순위|회의실; context=report deadline date,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0076,B1,결정이 늦어져서 회의를 다음 주로 미뤘어요.,"Da sich die Entscheidung verzögerte, haben wir die Besprechung auf nächste Woche verschoben.","Because the decision was delayed, we postponed the meeting until next week.",vocabId=vocab_b1_0268; headword=미루다; answer=미뤘어요; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=확정했어요|조율했어요|대체했어요; context=postpone meeting after a delayed decision,approved,Jin explicit app-integration approval (2026-08-15).
cloze_b1_0077,B1,참석 인원을 확인한 뒤에 최종 일정을 확정할게요.,"Nachdem ich die Zahl der Teilnehmenden geprüft habe, werde ich den endgültigen Termin festlegen.","After checking the number of participants, I will finalize the schedule.",vocabId=vocab_b1_0269; headword=확정하다; answer=확정할게요; topic=Arbeitskoordination & Termine; source=canonical vocab example verbatim; options=조율할게요|대체할게요|미룰게요; context=finalize schedule after attendance check,approved,Jin explicit app-integration approval (2026-08-15).
