korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
관리비,gwanribi,Nebenkosten,B1,Nomen,관리비에 인터넷 요금도 포함되어 있나요?,Sind die Internetkosten in den Nebenkosten enthalten?,Wohnen & Vertrag,b1_housing_contract_1,1,false,maintenance fee / utilities,Noun,Are the internet charges included in the maintenance fee?,vocab_b1_0248
계약서,gyeyakseo,Vertrag,B1,Nomen,계약서에 서명하기 전에 내용을 다시 확인했어요.,Ich habe den Inhalt noch einmal geprüft bevor ich den Vertrag unterschrieben habe.,Wohnen & Vertrag,b1_housing_contract_1,2,false,contract,Noun,I checked the contents again before signing the contract.,vocab_b1_0249
세입자,seipja,Mieter oder Mieterin,B1,Nomen,세입자가 바뀌면 관리인에게 알려야 해요.,Wenn der Mieter oder die Mieterin wechselt muss man die Hausverwaltung informieren.,Wohnen & Vertrag,b1_housing_contract_1,3,false,tenant,Noun,If the tenant changes you have to notify the building manager.,vocab_b1_0250
입주하다,ipjuhada,einziehen,B1,Verb,다음 달 초에 새 아파트에 입주할 예정이에요.,Anfang nächsten Monats werde ich in die neue Wohnung einziehen.,Wohnen & Vertrag,b1_housing_contract_1,4,false,to move in,Verb,I am planning to move into the new apartment at the beginning of next month.,vocab_b1_0251
퇴거하다,toegeohada,ausziehen,B1,Verb,계약이 끝나면 정해진 날짜에 퇴거해야 해요.,Wenn der Vertrag endet muss man zum vereinbarten Termin ausziehen.,Wohnen & Vertrag,b1_housing_contract_1,5,false,to move out,Verb,When the contract ends you have to move out on the agreed date.,vocab_b1_0252
연장하다,yeonjanghada,verlängern,B1,Verb,집주인과 상의해서 계약 기간을 1년 더 연장했어요.,Nach Rücksprache mit dem Vermieter habe ich die Vertragslaufzeit um ein Jahr verlängert.,Wohnen & Vertrag,b1_housing_contract_1,6,false,to extend,Verb,After talking with the landlord I extended the contract term by another year.,vocab_b1_0253
수리비,suribi,Reparaturkosten,B1,Nomen,누수 때문에 수리비가 예상보다 많이 들었어요.,Wegen des Wasserlecks sind die Reparaturkosten höher ausgefallen als erwartet.,Wohnen & Vertrag,b1_housing_contract_1,7,false,repair costs,Noun,Because of the water leak the repair costs were higher than expected.,vocab_b1_0254
누수,nusu,Wasserleck,B1,Nomen,천장에서 누수가 생겨서 바로 부동산에 연락했어요.,Es gab ein Wasserleck an der Decke deshalb habe ich sofort das Immobilienbüro angerufen.,Wohnen & Vertrag,b1_housing_contract_1,8,false,water leak,Noun,There was a water leak in the ceiling so I called the real estate agency right away.,vocab_b1_0255
난방,nanbang,Heizung,B1,Nomen,난방이 잘 안 돼서 관리실에 문의했어요.,Die Heizung funktionierte nicht richtig deshalb habe ich bei der Hausverwaltung nachgefragt.,Wohnen & Vertrag,b1_housing_contract_1,9,false,heating,Noun,The heating was not working properly so I asked the building management about it.,vocab_b1_0256
부동산,budongsan,Immobilienbüro,B1,Nomen,근처 부동산에서 이 집을 소개해 줬어요.,Ein Immobilienbüro in der Nähe hat mir diese Wohnung gezeigt.,Wohnen & Vertrag,b1_housing_contract_1,10,true,real estate agency,Noun,A nearby real estate agency showed me this home.,vocab_b1_0257
