id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0438,a1,"마야 씨, 이 게임 정말 재미있어요. 같이 할까요?","Maya, dieses Spiel ist wirklich lustig. Spielen wir zusammen?","Maya, this game is really fun. Shall we play together?",rights: original_clean_room; vocabKo=게임; unit=a1_16_survival_capstone; source vocab_a1_0523,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0439,a1,"아, 저녁에 같이 텔레비전 볼까요?","Ach, sollen wir heute Abend zusammen fernsehen?","Oh, shall we watch TV together this evening?",rights: original_clean_room; vocabKo=텔레비전; unit=a1_16_survival_capstone; source vocab_a1_0524,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0440,a1,이 근처에 슈퍼마켓이 있어요?,Gibt es hier in der Nähe einen Supermarkt?,Is there a supermarket near here?,rights: original_clean_room; vocabKo=슈퍼마켓; unit=a1_06_transport_directions; source vocab_a1_0525,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0441,a1,주말에 백화점에 가고 싶어요.,Am Wochenende möchte ich ins Kaufhaus gehen.,I want to go to the department store this weekend.,rights: original_clean_room; vocabKo=백화점; unit=a1_06_transport_directions; source vocab_a1_0526,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0442,a1,버스 터미널이 어디예요?,Wo ist der Busbahnhof?,Where is the bus terminal?,rights: original_clean_room; vocabKo=터미널; unit=a1_06_transport_directions; source vocab_a1_0527,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0443,a1,안녕하세요! 저는 마야예요. 미국에서 왔어요.,Hallo! Ich bin Maya. Ich komme aus den USA.,Hello! I'm Maya. I'm from the USA.,rights: original_clean_room; vocabKo=미국; unit=a1_03_topic_subject_particles; source vocab_a1_0528,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0444,a1,제 생일은 일월이에요.,Mein Geburtstag ist im Januar.,My birthday is in January.,rights: original_clean_room; vocabKo=일월; unit=a1_05_numbers_time; source vocab_a1_0529,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0445,a1,이월에 방학이 끝나요.,Im Februar enden die Ferien.,Vacation ends in February.,rights: original_clean_room; vocabKo=이월; unit=a1_05_numbers_time; source vocab_a1_0530,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0446,a1,삼월에 학교가 시작해요.,Im März beginnt die Schule.,School starts in March.,rights: original_clean_room; vocabKo=삼월; unit=a1_05_numbers_time; source vocab_a1_0531,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
satz_a1_0447,a1,"수진 씨, 사월에 다시 만나요, 맞아요?","Sujin, wir treffen uns im April wieder, oder?","Sujin, we're meeting again in April, right?",rights: original_clean_room; vocabKo=사월; unit=a1_05_numbers_time; source vocab_a1_0532,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
