id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0702,A2,잔치,"Fest, Feier","feast, celebration",rights: original_clean_room; pack=a2_events_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0703,A2,결혼,"Hochzeit, Heirat","marriage, wedding",rights: original_clean_room; pack=a2_events_1; order=10; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0704,A2,환영,"Willkommen, Begrüßung",welcome,rights: original_clean_room; pack=a2_events_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0705,A2,연말,Jahresende,year-end,rights: original_clean_room; pack=a2_events_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0696,A2,메일,E-Mail,email,rights: original_clean_room; pack=a2_messenger_phone_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0697,A2,연결,Verbindung,connection,rights: original_clean_room; pack=a2_messenger_phone_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0698,A2,전화기,Telefon,telephone,rights: original_clean_room; pack=a2_messenger_phone_1; order=9; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0699,A2,들리다,zu hören sein,to be audible,rights: original_clean_room; pack=a2_messenger_phone_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0700,A2,소식,Nachricht,news,rights: original_clean_room; pack=a2_messenger_phone_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0701,A2,물어보다,"fragen, sich erkundigen",to ask,rights: original_clean_room; pack=a2_messenger_phone_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0706,A2,도움,Hilfe,help,rights: original_clean_room; pack=a2_problems_help_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0707,A2,고장,"Defekt, Panne","breakdown, malfunction",rights: original_clean_room; pack=a2_problems_help_1; order=2; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0708,A2,잃다,verlieren,to lose,rights: original_clean_room; pack=a2_problems_help_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0709,A2,막히다,"verstopft sein, im Stau stehen","to be blocked, congested",rights: original_clean_room; pack=a2_problems_help_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0710,A2,전기,"Elektrizität, Strom",electricity,rights: original_clean_room; pack=a2_problems_help_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0711,A2,유리,Glas,glass,rights: original_clean_room; pack=a2_problems_help_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0712,A2,센터,"Zentrum, Servicecenter",center,rights: original_clean_room; pack=a2_problems_help_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0713,A2,서비스,Service,service,rights: original_clean_room; pack=a2_problems_help_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0714,A2,안전,Sicherheit,safety,rights: original_clean_room; pack=a2_problems_help_1; order=9; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0715,A2,급하다,"dringend, eilig","urgent, hurried",rights: original_clean_room; pack=a2_problems_help_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0716,A2,알아보다,"sich erkundigen, nachsehen","to find out, check",rights: original_clean_room; pack=a2_problems_help_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0717,A2,잘못하다,falsch machen,"to do wrong, make a mistake",rights: original_clean_room; pack=a2_problems_help_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0718,A2,만두,"Mandu, koreanische Teigtaschen","mandu, Korean dumplings",rights: original_clean_room; pack=a2_dishes_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
