id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0652,A1,늦다,"zu spät sein, sich verspäten",to be late,rights: original_clean_room; pack=a1_weekend_promise_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0653,A1,묻다,fragen,to ask,rights: original_clean_room; pack=a1_repair_language_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0654,A1,맞다,"stimmen, richtig sein","to be right, to match",rights: original_clean_room; pack=a1_repair_language_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0655,A1,샤워,Dusche,shower,rights: original_clean_room; pack=a1_home_daily_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0656,A1,세수,Gesichtwaschen,washing one's face,rights: original_clean_room; pack=a1_home_daily_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0657,A1,청소,"Putzen, Reinigung",cleaning,rights: original_clean_room; pack=a1_home_daily_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0658,A1,준비,Vorbereitung,preparation,rights: original_clean_room; pack=a1_home_daily_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0659,A1,생활,"Leben, Alltag","life, living",rights: original_clean_room; pack=a1_home_daily_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0660,A1,잠,Schlaf,sleep,rights: original_clean_room; pack=a1_home_daily_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0661,A1,요리,"Kochen, Gericht","cooking, dish",rights: original_clean_room; pack=a1_home_daily_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0662,A1,식사,Mahlzeit,meal,rights: original_clean_room; pack=a1_home_daily_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0663,A1,에어컨,Klimaanlage,air conditioner,rights: original_clean_room; pack=a1_home_daily_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0664,A1,운전,Fahren (Auto),driving,rights: original_clean_room; pack=a1_home_daily_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0665,A1,사용,"Gebrauch, Benutzung",use,rights: original_clean_room; pack=a1_home_daily_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0666,A1,부탁,"Bitte, Gefallen","favor, request",rights: original_clean_room; pack=a1_home_daily_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0667,A1,인기가요,beliebter Popsong,popular song,rights: original_clean_room; pack=a1_culture_hobbies_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0668,A1,그림,"Bild, Zeichnung","picture, drawing",rights: original_clean_room; pack=a1_culture_hobbies_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0669,A1,드라마,"Drama, Serie","drama, TV series",rights: original_clean_room; pack=a1_culture_hobbies_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0670,A1,연극,Theaterstück,theater play,rights: original_clean_room; pack=a1_culture_hobbies_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0671,A1,영화배우,Filmschauspieler(in),movie actor,rights: original_clean_room; pack=a1_culture_hobbies_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0672,A1,콘서트,Konzert,concert,rights: original_clean_room; pack=a1_culture_hobbies_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0673,A1,태권도,Taekwondo,taekwondo,rights: original_clean_room; pack=a1_culture_hobbies_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0674,A1,파티,Party,party,rights: original_clean_room; pack=a1_culture_hobbies_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0675,A1,프로그램,Programm,program,rights: original_clean_room; pack=a1_culture_hobbies_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0676,A1,피아노,Klavier,piano,rights: original_clean_room; pack=a1_culture_hobbies_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0677,A1,사진,Foto,photo,rights: original_clean_room; pack=a1_culture_hobbies_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0678,A1,초대,Einladung,invitation,rights: original_clean_room; pack=a1_culture_hobbies_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
