id,level,ko,de,en,field_notes,상태,jin_memo
a1_partner_first_door,A1,첫 현관 인사,Erster Gruss an der Tür,First greeting at the door,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_seollal_bow,A1,세배 각도 실수,Der falsche Verbeugungswinkel,The wrong bow angle,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_songpyeon_too_big,A1,송편이 만두가 되다,Songpyeon wird zur Teigtasche,Songpyeon becomes a dumpling,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_more_side_dishes,A1,반찬이 또 나와요,Noch mehr Beilagen,More side dishes again,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_leftover_bags,A2,싸 주시는 반찬,Eingepackte Reste,Packed leftovers,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_holiday_train,A2,명절 기차 자리,Sitze im Festtagszug,Seats on the holiday train,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_banmal_slip,A2,반말 실수,Ein Banmal-Fehler,A casual-speech slip,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_marriage_question,B1,결혼 계획 질문,Die Heiratsfrage,The marriage-plan question,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_drink_table,B1,술상 잔 받기,Das Glas am Tisch,Receiving a glass at the table,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_overnight_door,B1,문 열어 두기,Die Tür offen lassen,Leaving the door open,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b2_partner_inlaw_rotation,B2,양쪽 집 명절,Beide Elternhäuser,Both family homes,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b2_partner_public_intro,B2,밖에서 호칭,Anrede in der Öffentlichkeit,Address terms in public,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
c1_partner_invisible_labor,C1,보이지 않는 일,Unsichtbare Arbeit,Invisible work,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
c2_partner_name_and_memory,C2,이름과 기억,Name und Erinnerung,Name and memory,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_gift_too_big,A1,과한 선물,Zu großes Geschenk,An overly big gift,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_wrong_seat,A1,윗목 실수,Der innere Sitzplatz,The inner seat mistake,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a1_partner_new_year_money,A1,세뱃돈 받기,Neujahrsgeld annehmen,Accepting New Year money,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_morning_greeting,A2,아침 인사 큰 소리,Der laute Morgengruß,The loud morning greeting,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_group_chat_join,A2,가족 단톡 입장,Beitritt in den Familienchat,Joining the family chat,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
a2_partner_hanbok_rental,A2,한복 대여 마감,Hanbok-Verleih zu früh zu,Hanbok rental closed early,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_salary_deflect,B1,월급 이야기 넘기기,Das Gehalt ablenken,Deflecting salary talk,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_interpret_skip,B1,민감한 질문 빼기,Die heikle Frage auslassen,Leaving out a sensitive question,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b1_partner_heavy_bags_home,B1,반찬 들고 귀가,Mit Resten nach Hause,Going home with leftovers,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b2_partner_dowry_joke,B2,지참금 농담 접기,Den Mitgiftwitz beenden,Closing the dowry joke,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b2_partner_holiday_labor_chart,B2,설거지 교대 제안,Abwaschwechsel vorschlagen,Proposing a dish rotation,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
b2_partner_photo_permission,B2,사진 공개 확인,Fotoeröffentlichung prüfen,Checking before posting a photo,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
c1_partner_guest_or_family,C1,손님으로 두기,Als Gast belassen,Left as a guest,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
c2_partner_document_the_place,C2,자리를 문서화하다,Den Platz dokumentieren,Documenting one's place,rights: original; partner-family visit episode,approved,Jin explicit app-integration approval (2026-08-17).
