korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
켜다,kyeoda,"einschalten, anmachen",A1,Verb,"아, 텔레비전을 켜요.","Ach, ich mache den Fernseher an.",Alltag,a1_daily_3,10,false,to turn on,Verb,"Oh, I'll turn on the TV.",vocab_a1_0589
끄다,kkeuda,"ausschalten, ausmachen",A1,Verb,"크리스티안 씨, 지금 잘까요? 불을 꺼요.","Christian, sollen wir jetzt schlafen? Ich mache das Licht aus.",Alltag,a1_daily_3,11,false,to turn off,Verb,"Christian, shall we sleep now? I'll turn off the light.",vocab_a1_0590
웃다,utda,lachen,A1,Verb,와! 아기가 정말 많이 웃어요.,Wow! Das Baby lacht wirklich viel.,Alltag,a1_daily_3,12,false,to laugh,Verb,"Wow! The baby laughs a lot, really.",vocab_a1_0591
가방,gabang,Tasche,A1,Nomen,가방 안에 뭐가 있어요?,Was ist in der Tasche?,Alltag,a1_belongings_1,1,false,bag,Noun,What's in the bag?,vocab_a1_0592
볼펜,bolpen,Kugelschreiber,A1,Nomen,볼펜으로 이름을 써요.,Ich schreibe meinen Namen mit dem Kugelschreiber.,Bildung,a1_belongings_1,2,false,ballpoint pen,Noun,I write my name with the pen.,vocab_a1_0593
수첩,sucheop,Notizbuch,A1,Nomen,수첩에 이름을 써요.,Ich schreibe den Namen ins Notizbuch.,Bildung,a1_belongings_1,3,false,notebook,Noun,I write my name in the notebook.,vocab_a1_0594
카메라,kamera,Kamera,A1,Nomen,"레나 씨, 이 카메라로 찍어요!","Lena, lass uns mit dieser Kamera fotografieren!",Technologie,a1_belongings_1,4,false,camera,Noun,"Lena, let's take photos with this camera!",vocab_a1_0595
티셔츠,tisyeocheu,T-Shirt,A1,Nomen,저는 이 티셔츠를 입었어요.,Ich habe dieses T-Shirt getragen.,Alltag,a1_belongings_1,5,false,T-shirt,Noun,I wore this T-shirt.,vocab_a1_0596
바지,baji,Hose,A1,Nomen,이 바지를 입고 싶어요.,Ich möchte diese Hose anziehen.,Alltag,a1_belongings_1,6,false,pants,Noun,I want to wear these pants.,vocab_a1_0597
운동화,undonghwa,Sportschuhe,A1,Nomen,"크리스티안 씨, 운동화 신고 같이 갈까요?","Christian, sollen wir Sportschuhe anziehen und zusammen gehen?",Freizeit,a1_belongings_1,7,false,sneakers,Noun,"Christian, shall we put on sneakers and go together?",vocab_a1_0598
잔,jan,"Glas, Tasse",A1,Nomen,이 잔으로 물을 마셔요.,Ich trinke Wasser aus diesem Glas.,Alltag,a1_belongings_1,8,false,"cup, glass",Noun,I drink water from this cup.,vocab_a1_0599
표,pyo,"Ticket, Karte",A1,Nomen,"수진 씨, 콘서트 표가 있어요!","Sujin, ich habe eine Konzertkarte!",Freizeit,a1_belongings_1,9,false,ticket,Noun,"Sujin, I have a concert ticket!",vocab_a1_0600
신문,sinmun,Zeitung,A1,Nomen,아버지가 신문을 읽어요.,Mein Vater liest die Zeitung.,Alltag,a1_belongings_1,10,false,newspaper,Noun,My father reads the newspaper.,vocab_a1_0601
학생증,haksaengjeung,Studentenausweis,A1,Nomen,"수진 씨, 이거 제 학생증 맞아요?","Sujin, ist das mein Studentenausweis, oder?",Bildung,a1_belongings_1,11,false,student ID,Noun,"Sujin, is this my student ID, right?",vocab_a1_0602
여권,yeogwon,Reisepass,A1,Nomen,여권을 먼저 주세요.,Bitte geben Sie mir zuerst den Reisepass.,Alltag,a1_belongings_1,12,false,passport,Noun,Please give me the passport first.,vocab_a1_0603
기숙사,gisuksa,Wohnheim,A1,Nomen,저는 기숙사에 살아요.,Ich wohne im Studentenwohnheim.,Alltag,a1_places_buildings_1,1,false,dormitory,Noun,I live in the dormitory.,vocab_a1_0604
사무실,samusil,Büro,A1,Nomen,저는 사무실에서 일해요.,Ich arbeite im Büro.,도시 생활,a1_places_buildings_1,2,false,office,Noun,I work at the office.,vocab_a1_0605
아파트,apateu,Wohnung,A1,Nomen,이 아파트에 몇 명이 살아요?,Wie viele Leute wohnen in dieser Wohnung?,도시 생활,a1_places_buildings_1,3,false,apartment,Noun,How many people live in this apartment?,vocab_a1_0606
수영장,suyeongjang,Schwimmbad,A1,Nomen,우리 수영장에 갈까요?,Sollen wir ins Schwimmbad gehen?,Freizeit,a1_places_buildings_1,4,false,swimming pool,Noun,Shall we go to the swimming pool?,vocab_a1_0607
운동장,undongjang,Sportplatz,A1,Nomen,아이가 운동장에서 놀아요.,Das Kind spielt auf dem Sportplatz.,Freizeit,a1_places_buildings_1,5,false,sports ground,Noun,The child plays on the sports ground.,vocab_a1_0608
노래방,noraebang,Karaoke-Raum,A1,Nomen,우리 노래방에 갈까요?,Sollen wir in den Karaoke-Raum gehen?,Freizeit,a1_places_buildings_1,6,false,karaoke room,Noun,Shall we go to the karaoke room?,vocab_a1_0609
대사관,daesagwan,Botschaft,A1,Nomen,독일 대사관이 어디에 있어요?,Wo ist die deutsche Botschaft?,도시 생활,a1_places_buildings_1,7,false,embassy,Noun,Where is the German embassy?,vocab_a1_0610
여행사,yeohaengsa,Reisebüro,A1,Nomen,여행사에 전화해요. 그럼 같이 가요.,Ich rufe das Reisebüro an. Dann gehen wir zusammen.,도시 생활,a1_places_buildings_1,8,false,travel agency,Noun,I'll call the travel agency. Then let's go together.,vocab_a1_0611
