korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
우표,upyo,Briefmarke,A1,Nomen,우표를 세 장 주세요.,Bitte geben Sie mir drei Briefmarken.,Postamt,a1_post_office_1,1,false,stamp,Noun,Please give me three stamps.,vocab_a1_0212
소포,sopo,Paket,A1,Nomen,이 소포를 독일로 보내고 싶어요.,Ich möchte dieses Paket nach Deutschland schicken.,Postamt,a1_post_office_1,2,false,parcel,Noun,I want to send this parcel to Germany.,vocab_a1_0213
등기,deunggi,Einschreiben,A1,Nomen,중요한 서류는 등기로 보내요.,Wichtige Unterlagen schicke ich per Einschreiben.,Postamt,a1_post_office_1,3,false,registered mail,Noun,I send important papers by registered mail.,vocab_a1_0214
우편함,upyeonham,Briefkasten,A1,Nomen,편지는 아래 우편함에 넣어 주세요.,Bitte legen Sie den Brief in den Briefkasten unten.,Postamt,a1_post_office_1,4,false,mailbox,Noun,Please put the letter in the mailbox downstairs.,vocab_a1_0215
부치다,buchida,aufgeben,A1,Verb,소포를 부치다 전에 주소를 확인해요.,"Bevor ich das Paket aufgebe, prüfe ich die Adresse.",Postamt,a1_post_office_1,5,false,to mail,Verb,"Before I mail the parcel, I check the address.",vocab_a1_0216
무게,muge,Gewicht,A1,Nomen,무게가 이 킬로그램을 넘어요.,Das Gewicht liegt über zwei Kilogramm.,Postamt,a1_post_office_1,6,false,weight,Noun,The weight is over two kilograms.,vocab_a1_0217
주소,juso,Adresse,A1,Nomen,받는 사람 주소를 여기에 써 주세요.,Bitte schreiben Sie die Empfängeradresse hierhin.,Postamt,a1_post_office_1,7,false,address,Noun,Please write the recipient address here.,vocab_a1_0218
보내는 사람,bonaeneun saram,Absender,A1,Nomen,보내는 사람 이름을 크게 썼어요.,Ich habe den Absendernamen groß geschrieben.,Postamt,a1_post_office_1,8,false,sender,Noun,I wrote the sender name in large letters.,vocab_a1_0219
받는 사람,batneun saram,Empfänger,A1,Nomen,받는 사람 전화번호를 적어 주세요.,Bitte notieren Sie die Telefonnummer des Empfängers.,Postamt,a1_post_office_1,9,false,recipient,Noun,Please write the recipient's phone number.,vocab_a1_0220
도착 문자,dochak munja,Zustellnachricht,A1,Ausdruck,도착 문자가 오면 알려 주세요.,"Sagen Sie mir Bescheid, wenn die Zustellnachricht kommt.",Postamt,a1_post_office_1,10,true,delivery text,Expression,Tell me when the delivery text arrives.,vocab_a1_0221
포장지,pojangji,Packpapier,A1,Nomen,깨지기 쉬운 컵은 포장지로 감싸요.,Zerbrechliche Tassen wickle ich in Packpapier.,Postamt,a1_post_office_1,11,true,wrapping paper,Noun,I wrap fragile cups in wrapping paper.,vocab_a1_0222
창구,changgu,Schalter,A1,Nomen,세 번 창구에서 기다리세요.,Bitte warten Sie am Schalter drei.,Postamt,a1_post_office_1,12,true,counter,Noun,Please wait at counter number three.,vocab_a1_0223
연고,yeongo,Salbe,A1,Nomen,이 연고를 하루에 두 번 발라요.,Ich trage diese Salbe zweimal am Tag auf.,Apotheke,a1_pharmacy_ask_1,1,false,ointment,Noun,I apply this ointment twice a day.,vocab_a1_0224
마스크,maseukeu,Maske,A1,Nomen,약국에서 마스크를 한 통 샀어요.,In der Apotheke habe ich eine Packung Masken gekauft.,Apotheke,a1_pharmacy_ask_1,2,false,mask,Noun,I bought a pack of masks at the pharmacy.,vocab_a1_0225
계산대,gyesandae,Kasse,A1,Nomen,계산대 앞에서 카드를 꺼냈어요.,Vor der Kasse habe ich meine Karte herausgenommen.,Apotheke,a1_pharmacy_ask_1,3,false,checkout,Noun,I took out my card in front of the checkout.,vocab_a1_0226
복용 시간,bokyong sigan,Einnahmezeit,A1,Ausdruck,복용 시간을 종이에 적어 주세요.,Bitte schreiben Sie die Einnahmezeiten auf Papier.,Apotheke,a1_pharmacy_ask_1,4,false,dose time,Expression,Please write the dose times on paper.,vocab_a1_0227
일회용 밴드,ilhoeyong baendeu,Pflaster,A1,Nomen,일회용 밴드를 작은 걸로 주세요.,Bitte geben Sie mir ein kleines Pflaster.,Apotheke,a1_pharmacy_ask_1,5,false,adhesive bandage,Noun,Please give me a small adhesive bandage.,vocab_a1_0228
체온계,cheongye,Fieberthermometer,A1,Nomen,체온계가 어디에 있어요?,Wo ist das Fieberthermometer?,Apotheke,a1_pharmacy_ask_1,6,false,thermometer,Noun,Where is the thermometer?,vocab_a1_0229
가글액,gageulaek,Mundspülung,A1,Nomen,목이 아파서 가글액을 찾고 있어요.,"Mein Hals tut weh, deshalb suche ich Mundspülung.",Apotheke,a1_pharmacy_ask_1,7,false,mouthwash,Noun,"My throat hurts, so I am looking for mouthwash.",vocab_a1_0230
비타민제,bitaminje,Vitaminpräparat,A1,Nomen,비타민제를 식후에 먹어요.,Ich nehme das Vitaminpräparat nach dem Essen.,Apotheke,a1_pharmacy_ask_1,8,false,vitamin supplement,Noun,I take the vitamin supplement after meals.,vocab_a1_0231
알레르기,alrereugi,Allergie,A1,Nomen,이 약에 알레르기가 있는지 확인해요.,"Ich prüfe, ob ich gegen dieses Mittel eine Allergie habe.",Apotheke,a1_pharmacy_ask_1,9,false,allergy,Noun,I check whether I have an allergy to this medicine.,vocab_a1_0232
무처방,mucheobang,rezeptfrei,A1,Ausdruck,이 약은 무처방으로 살 수 있어요.,Dieses Mittel gibt es rezeptfrei.,Apotheke,a1_pharmacy_ask_1,10,true,over the counter,Expression,You can buy this medicine over the counter.,vocab_a1_0233
파스,paseu,Schmerzpflaster,A1,Nomen,허리가 아파서 파스를 붙였어요.,"Mein Rücken tut weh, deshalb habe ich ein Schmerzpflaster aufgeklebt.",Apotheke,a1_pharmacy_ask_1,11,true,pain relief patch,Noun,"My back hurts, so I put on a pain relief patch.",vocab_a1_0234
제산제,jesanje,Antazidum,A1,Nomen,속이 쓰려서 제산제를 샀어요.,"Mir ist übel, deshalb habe ich ein Antazidum gekauft.",Apotheke,a1_pharmacy_ask_1,12,true,antacid,Noun,"I have heartburn, so I bought an antacid.",vocab_a1_0235
늦잠,neutjam,Ausschlafen,A1,Nomen,일요일에는 늦잠을 자고 싶어요.,Am Sonntag möchte ich ausschlafen.,Wochenendzusage,a1_weekend_promise_1,1,false,sleeping in,Noun,On Sunday I want to sleep in.,vocab_a1_0236
약속 시간,yaksok sigan,Terminzeit,A1,Ausdruck,약속 시간을 세 시로 바꿀까요?,Sollen wir die Terminzeit auf drei Uhr ändern?,Wochenendzusage,a1_weekend_promise_1,2,false,meeting time,Expression,Shall we change the meeting time to three?,vocab_a1_0237
약속 장소,yaksok jangso,Treffpunkt,A1,Ausdruck,약속 장소는 역 앞이에요.,Der Treffpunkt ist vor dem Bahnhof.,Wochenendzusage,a1_weekend_promise_1,3,false,meeting place,Expression,The meeting place is in front of the station.,vocab_a1_0238
취소하다,chwisohada,absagen,A1,Verb,비가 오면 산책을 취소하다 결정해요.,"Wenn es regnet, entscheide ich, den Spaziergang abzusagen.",Wochenendzusage,a1_weekend_promise_1,4,false,to cancel,Verb,"If it rains, I decide to cancel the walk.",vocab_a1_0239
미리 연락,miri yeonrak,vorher Bescheid sagen,A1,Ausdruck,늦으면 미리 연락해 주세요.,"Wenn Sie sich verspäten, sagen Sie bitte vorher Bescheid.",Wochenendzusage,a1_weekend_promise_1,5,false,advance notice,Expression,"If you will be late, please give advance notice.",vocab_a1_0240
시간 맞추다,sigan matchuda,die Zeit abstimmen,A1,Ausdruck,내일 오후에 시간 맞추다 문자를 보냈어요.,"Morgen Nachmittag habe ich geschrieben, um die Zeit abzustimmen.",Wochenendzusage,a1_weekend_promise_1,6,false,to match the time,Expression,I texted tomorrow afternoon to match the time.,vocab_a1_0241
다음에 봐요,daeume bwayo,bis zum nächsten Mal,A1,Ausdruck,오늘은 여기까지 하고 다음에 봐요.,"Für heute reicht es, bis zum nächsten Mal.",Wochenendzusage,a1_weekend_promise_1,7,false,see you next time,Expression,"That's enough for today, see you next time.",vocab_a1_0242
바로 갈게요,baro galgeyo,ich komme gleich,A1,Ausdruck,지금 나와서 바로 갈게요.,Ich gehe jetzt raus und komme gleich.,Wochenendzusage,a1_weekend_promise_1,8,false,I'll come right away,Expression,I'm heading out now and I'll come right away.,vocab_a1_0243
주말 계획,jumal gyehoek,Wochenendplan,A1,Ausdruck,주말 계획을 같이 세워 봐요.,Lassen Sie uns den Wochenendplan gemeinsam machen.,Wochenendzusage,a1_weekend_promise_1,9,false,weekend plan,Expression,Let's make the weekend plan together.,vocab_a1_0244
늦을 것 같다,neuteul geot gatda,wahrscheinlich zu spät,A1,Ausdruck,버스가 막혀서 늦을 것 같다 연락했어요.,"Der Bus steckt fest, deshalb habe ich geschrieben, dass ich wahrscheinlich zu spät bin.",Wochenendzusage,a1_weekend_promise_1,10,true,looks like I'll be late,Expression,"The bus is stuck, so I wrote that it looks like I'll be late.",vocab_a1_0245
같이 걷다,gati geotda,zusammen gehen,A1,Ausdruck,한강에서 같이 걷다 제안했어요.,"Ich habe vorgeschlagen, am Hangang zusammen zu gehen.",Wochenendzusage,a1_weekend_promise_1,11,true,to walk together,Expression,I suggested that we walk together at the Hangang.,vocab_a1_0246
