id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b1_0045,B1,회의 시간이 바뀌었는데 참석 가능하신가요?,"Die Uhrzeit des Meetings hat sich geändert. Können Sie teilnehmen?",The meeting time has changed. Will you be able to attend?,"theme=workplace coordination and schedule change; category=work_study; kind=question; relationship=coworker; evidence=changed meeting time plus attendance check; reply=same new time is possible; safe alternative=offer another time; follow-up=update schedule",draft,
smalltalk_b1_0046,B1,이번 주 업무 우선순위를 다시 조율해야 할 것 같아요.,"Ich glaube, wir sollten die Prioritäten für diese Woche noch einmal abstimmen.","I think we should coordinate this week's work priorities again.","theme=workplace coordination and schedule change; category=work_study; kind=opener; relationship=coworker; evidence=weekly priority alignment; safe alternative=ask what should be handled first; follow-up=divide tasks by that priority",draft,
smalltalk_b1_0047,B1,마감일을 하루 미뤄도 괜찮을까요?,"Wäre es in Ordnung, die Frist um einen Tag zu verschieben?","Would it be all right to postpone the deadline by one day?","theme=workplace coordination and schedule change; category=work_study; kind=question; relationship=coworker; evidence=one-day deadline request; reply=adjust after reason; safe alternative=identify difficult schedule part; follow-up=share revised deadline",draft,
smalltalk_b1_0048,B1,회의실이 바뀌면 바로 알려 드릴게요.,"Ich gebe Ihnen sofort Bescheid, falls sich der Besprechungsraum ändert.","I will let you know right away if the meeting room changes.","theme=workplace coordination and schedule change; category=work_study; kind=opener; relationship=coworker; evidence=meeting-room change notification; safe alternative=confirm room with everyone; follow-up=write it in email to prevent confusion",draft,
smalltalk_b1_0049,B1,"담당자분이 부재중이신데, 대신 확인해 주실 수 있나요?","Die zuständige Person ist nicht da. Könnten Sie das bitte stellvertretend prüfen?","The person in charge is away. Could you check this on their behalf?","theme=workplace coordination and schedule change; category=phone; kind=question; relationship=service; evidence=responsible person absent and delegated check; reply=check then call back; safe alternative=ask return time; follow-up=wait for reply",draft,
smalltalk_b1_0050,B1,일정이 지연될 것 같아서 먼저 연락드렸어요.,"Ich melde mich frühzeitig, weil sich der Zeitplan vermutlich verzögert.","I am contacting you early because the schedule is likely to be delayed.","theme=workplace coordination and schedule change; category=phone; kind=opener; relationship=coworker; evidence=early delay notice; safe alternative=offer revised estimated time; follow-up=update once confirmed",draft,
smalltalk_b1_0051,B1,참석 여부를 오늘 안에 회신해 주실 수 있을까요?,"Könnten Sie uns bitte noch heute mitteilen, ob Sie teilnehmen?","Could you please let us know by today whether you will attend?","theme=workplace coordination and schedule change; category=phone; kind=question; relationship=coworker; evidence=same-day attendance confirmation; reply=confirm by afternoon; safe alternative=leave a message if reply is delayed; follow-up=finalize participant count",draft,
smalltalk_b1_0052,B1,업무 분담을 조정한 내용을 메일로 보내 드렸어요.,"Ich habe Ihnen die angepasste Aufgabenverteilung per E-Mail geschickt.","I sent you the adjusted task allocation by email.","theme=workplace coordination and schedule change; category=phone; kind=opener; relationship=coworker; evidence=adjusted task allocation sent by email; safe alternative=flag hard-to-take tasks; follow-up=adjust allocation together",draft,
smalltalk_b2_0045,B2,제품의 결함에 대해 담당 부서의 검토를 요청드려도 되겠습니까?,"Darf ich um eine Prüfung des Produktmangels durch die zuständige Abteilung bitten?","May I request that the responsible department review the product defect?","theme=formal complaint remedy and escalation; category=shopping; kind=question; relationship=service; evidence=product defect and responsible department review; reply=record and forward case; safe alternative=ask needed documents; follow-up=request case number",draft,
smalltalk_b2_0046,B2,동일한 문제가 재발하지 않도록 시정 조치가 필요하다고 생각합니다.,"Ich halte Korrekturmaßnahmen für notwendig, damit dasselbe Problem nicht erneut auftritt.","I believe corrective action is needed to prevent the same problem from recurring.","theme=formal complaint remedy and escalation; category=shopping; kind=opener; relationship=service; evidence=recurrence prevention through corrective measures; safe alternative=ask planned prevention; follow-up=request concrete timeline",draft,
smalltalk_b2_0047,B2,접수된 민원의 처리 현황을 서면으로 안내해 주시겠습니까?,"Könnten Sie mich schriftlich über den Bearbeitungsstand der eingereichten Beschwerde informieren?","Could you provide a written update on the status of the complaint that was submitted?","theme=formal complaint remedy and escalation; category=phone; kind=question; relationship=service; evidence=submitted complaint and written status update; reply=email status plus next steps; safe alternative=ask expected answer date; follow-up=thank for written record",draft,
smalltalk_b2_0048,B2,이 사안에 대한 보상 기준을 먼저 확인하고 싶습니다.,"Ich möchte zunächst die Kriterien für eine Entschädigung in diesem Fall prüfen.","I would first like to confirm the criteria for compensation in this matter.","theme=formal complaint remedy and escalation; category=shopping; kind=opener; relationship=service; evidence=compensation criteria; safe alternative=ask applicable options; follow-up=state position after review",draft,
smalltalk_b2_0049,B2,결정에 이의를 제기하려면 어떤 절차를 따라야 합니까?,"Welchem Verfahren muss ich folgen, wenn ich gegen die Entscheidung Einspruch einlegen möchte?","What procedure should I follow if I want to appeal the decision?","theme=formal complaint remedy and escalation; category=phone; kind=question; relationship=service; evidence=appeal procedure; reply=submit written form in deadline; safe alternative=ask form and submission office; follow-up=prepare promptly",draft,
smalltalk_b2_0050,B2,문제가 해결되지 않으면 상위 부서에 공식적으로 문의할 예정입니다.,"Falls das Problem nicht gelöst wird, werde ich mich offiziell an die übergeordnete Stelle wenden.","If the issue is not resolved, I intend to contact the appropriate higher-level department formally.","theme=formal complaint remedy and escalation; category=phone; kind=opener; relationship=service; evidence=proportionate escalation if unresolved; safe alternative=ask current department to review first; follow-up=seek amicable resolution at current level",draft,
smalltalk_b2_0051,B2,언제까지 어떤 보완 조치를 완료하실 예정인지 알려 주시겠습니까?,"Könnten Sie mir mitteilen, welche ergänzenden Maßnahmen Sie bis wann abschließen wollen?","Could you let me know which additional corrective measures you plan to complete and by when?","theme=formal complaint remedy and escalation; category=phone; kind=question; relationship=service; evidence=measure and deadline request; reply=complete measures by next Wednesday; safe alternative=ask interim contact; follow-up=request written record",draft,
smalltalk_b2_0052,B2,서면 답변을 받은 뒤 필요한 후속 조치를 검토하겠습니다.,"Nachdem ich die schriftliche Antwort erhalten habe, werde ich die notwendigen weiteren Schritte prüfen.","After receiving the written response, I will review the necessary next steps.","theme=formal complaint remedy and escalation; category=phone; kind=opener; relationship=service; evidence=written response before further action; safe alternative=confirm response contents and send date; follow-up=contact again only if needed",draft,
