id,level,ko,de,en,field_notes,상태,jin_memo
vocab_c1_0169,C1,표본,Stichprobe,sample,rights: original; pack=c1_media_evidence_1; order=1; boss=false,draft,
vocab_c1_0170,C1,일반화,Verallgemeinerung,generalisation,rights: original; pack=c1_media_evidence_1; order=2; boss=false,draft,
vocab_c1_0171,C1,상관관계,Korrelation,correlation,rights: original; pack=c1_media_evidence_1; order=3; boss=false,draft,
vocab_c1_0172,C1,인과,Kausalität,causation,rights: original; pack=c1_media_evidence_1; order=4; boss=false,draft,
vocab_c1_0173,C1,편향,Verzerrung,bias,rights: original; pack=c1_media_evidence_1; order=5; boss=false,draft,
vocab_c1_0174,C1,출처,Quelle,source,rights: original; pack=c1_media_evidence_1; order=6; boss=false,draft,
vocab_c1_0175,C1,재현성,Reproduzierbarkeit,reproducibility,rights: original; pack=c1_media_evidence_1; order=7; boss=false,draft,
vocab_c1_0176,C1,오해석,Fehldeutung,misreading,rights: original; pack=c1_media_evidence_1; order=8; boss=false,draft,
vocab_c1_0177,C1,과장,Übertreibung,exaggeration,rights: original; pack=c1_media_evidence_1; order=9; boss=false,draft,
vocab_c1_0178,C1,검증,Überprüfung,verification,rights: original; pack=c1_media_evidence_1; order=10; boss=true,draft,
vocab_c1_0179,C1,반박,Einwand,rebuttal,rights: original; pack=c1_media_evidence_1; order=11; boss=true,draft,
vocab_c1_0180,C1,인용,Zitat,citation,rights: original; pack=c1_media_evidence_1; order=12; boss=true,draft,
vocab_c1_0181,C1,규제,Regulierung,regulation,rights: original; pack=c1_play_time_policy_1; order=1; boss=false,draft,
vocab_c1_0182,C1,시행,Inkrafttreten,enforcement,rights: original; pack=c1_play_time_policy_1; order=2; boss=false,draft,
vocab_c1_0183,C1,부작용,Nebenwirkung,side effect,rights: original; pack=c1_play_time_policy_1; order=3; boss=false,draft,
vocab_c1_0184,C1,실효성,Wirksamkeit,effectiveness,rights: original; pack=c1_play_time_policy_1; order=4; boss=false,draft,
vocab_c1_0185,C1,자율,Selbstregulierung,self-regulation,rights: original; pack=c1_play_time_policy_1; order=5; boss=false,draft,
