id,level,ko,de,en,field_notes,상태,jin_memo
cloze_c1_0173,C1,표본이 서른 명뿐이라 결론을 넓히기 어렵습니다.,"Die Stichprobe umfasst nur dreißig Personen, daher lässt sich der Schluss kaum ausweiten.","The sample is only thirty people, so the conclusion is hard to widen.",rights: original; answer=표본; topic=Medien & Evidenz,draft,
cloze_c1_0174,C1,성급한 일반화는 오해를 만듭니다.,Eine vorschnelle Verallgemeinerung erzeugt Missverständnisse.,A hasty generalisation creates misunderstandings.,rights: original; answer=일반화; topic=Medien & Evidenz,draft,
cloze_c1_0175,C1,상관관계만 보고 원인을 단정할 수 없습니다.,Aus einer Korrelation allein lässt sich die Ursache nicht bestimmen.,A correlation alone cannot fix the cause.,rights: original; answer=상관관계; topic=Medien & Evidenz,draft,
cloze_c1_0176,C1,인과를 말하려면 시간 순서가 분명해야 합니다.,Für Kausalität muss die zeitliche Reihenfolge klar sein.,Claiming causation needs a clear order in time.,rights: original; answer=인과; topic=Medien & Evidenz,draft,
cloze_c1_0177,C1,참가자를 모으는 방식에 편향이 있었습니다.,Bei der Auswahl der Teilnehmenden gab es eine Verzerrung.,There was bias in how participants were recruited.,rights: original; answer=편향; topic=Medien & Evidenz,draft,
cloze_c1_0178,C1,출처를 밝히지 않은 수치는 쓰지 않습니다.,Zahlen ohne Quellenangabe verwenden wir nicht.,We don't use figures whose source isn't given.,rights: original; answer=출처; topic=Medien & Evidenz,draft,
cloze_c1_0179,C1,재현성이 확인되기 전에는 결과가 잠정적입니다.,Vor bestätigter Reproduzierbarkeit bleibt das Ergebnis vorläufig.,Until reproducibility is confirmed the result stays provisional.,rights: original; answer=재현성; topic=Medien & Evidenz,draft,
cloze_c1_0180,C1,그림 하나만 보면 오해석이 나오기 쉽습니다.,"Sieht man nur eine Grafik, kommt es leicht zu Fehldeutungen.",Looking at a single chart invites misreading.,rights: original; answer=오해석; topic=Medien & Evidenz,draft,
cloze_c1_0181,C1,제목의 과장이 본문 내용과 어긋납니다.,Die Übertreibung im Titel passt nicht zum Text.,The headline's exaggeration doesn't match the body.,rights: original; answer=과장; topic=Medien & Evidenz,draft,
cloze_c1_0182,C1,검증을 거치지 않은 주장은 권하지 않습니다.,Behauptungen ohne Überprüfung empfehlen wir nicht.,We don't recommend claims that skipped verification.,rights: original; answer=검증; topic=Medien & Evidenz,draft,
cloze_c1_0183,C1,제조사의 반박에도 표본 문제는 남습니다.,Trotz des Einwands des Herstellers bleibt das Stichprobenproblem.,Even after the maker's rebuttal the sampling problem remains.,rights: original; answer=반박; topic=Medien & Evidenz,draft,
cloze_c1_0184,C1,인용을 할 때는 논문 번호를 함께 적습니다.,Beim Zitieren notieren wir die Studiennummer mit.,When citing we note the study number as well.,rights: original; answer=인용; topic=Medien & Evidenz,draft,
cloze_c1_0185,C1,이용시간 규제가 수면 시간을 늘렸는지 확인해야 합니다.,"Wir müssen prüfen, ob die Regulierung der Spielzeit den Schlaf verlängert hat.",We have to check whether the play-time regulation lengthened sleep.,rights: original; answer=규제; topic=Regulierung & Nebenwirkung,draft,
cloze_c1_0186,C1,시행 첫해 자료만으로는 효과를 말하기 이릅니다.,Mit den Daten des ersten Jahres nach Inkrafttreten lässt sich die Wirkung noch nicht benennen.,Data from the first year of enforcement is too early to state an effect.,rights: original; answer=시행; topic=Regulierung & Nebenwirkung,draft,
cloze_c1_0187,C1,규제의 부작용을 함께 적어야 판단이 공정합니다.,"Nur wenn die Nebenwirkungen mitnotiert werden, ist das Urteil fair.",The judgement is fair only when the side effects are written down too.,rights: original; answer=부작용; topic=Regulierung & Nebenwirkung,draft,
