id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0359,a1,코가 아파요.,Meine Nase tut weh.,My nose hurts.,answer=아파요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0046,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0360,a1,입을 여세요.,Öffne den Mund.,Open your mouth.,answer=여세요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0047,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0361,a1,손을 씻어요.,Ich wasche meine Hände.,I wash my hands.,answer=씻어요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0049,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0362,a1,발이 아파요.,Mein Fuß tut weh.,My foot hurts.,answer=아파요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0050,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0363,a1,몸이 좀 안 좋아요.,Ich fühle mich nicht so wohl.,I'm not feeling so well.,answer=좋아요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0052,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0364,a1,"아, 진짜 배고파요.","Ah, ich habe echt Hunger.","Ah, I'm really hungry.",answer=배고파요; topic=Körper; unit=a1_10_health_safety; derived from vocab_a1_0127,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0365,a1,한국어 수업은 월요일에 있어요.,Der Koreanischunterricht ist am Montag.,Korean class is on Monday.,answer=수업; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0436,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0366,a1,한국어 수업은 처음이에요.,Koreanischunterricht habe ich zum ersten Mal.,It's my first time taking a Korean class.,answer=처음; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0437,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0367,a1,전화번호를 알려 주세요.,Sagen Sie mir bitte Ihre Telefonnummer.,Please tell me your phone number.,answer=전화번호; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0438,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0368,a1,무슨 대학에 다녀요?,An welcher Universität studieren Sie?,Which university do you go to?,answer=대학; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0439,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0369,a1,책상 위에 책이 있어요.,Auf dem Schreibtisch liegt ein Buch.,There is a book on the desk.,answer=책상; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0440,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0370,a1,연필로 이름을 써요.,Ich schreibe meinen Namen mit Bleistift.,I write my name with a pencil.,answer=연필; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0441,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0371,a1,저는 매일 한국어 공부를 해요.,Ich lerne jeden Tag Koreanisch.,I study Korean every day.,answer=공부; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0442,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0372,a1,매일 발음 연습을 해요.,Ich übe jeden Tag die Aussprache.,I practice pronunciation every day.,answer=연습; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0443,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0373,a1,수업은 아홉 시에 시작해요.,Der Unterricht beginnt um neun Uhr.,Class starts at nine o'clock.,answer=시작해요; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_a1_0444,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0374,a1,제 전공은 음악이에요.,Mein Studienfach ist Musik.,My major is music.,answer=전공; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_b2_0060,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
cloze_a1_0375,a1,한국 친구를 많이 사귀었어요.,Ich habe viele koreanische Freunde gefunden.,I made many Korean friends.,answer=사귀었어요; topic=첫 수업; unit=a1_15_first_class_work; derived from vocab_b1_0214,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
