no,phase,level,level_phase,topic,grammar,function,vocabulary,text_type,en_bridge,de_bridge,pragmatics
1,KP01 A1.1 처음 만나 나와 주변 소개하기,A1,A1.1,"개인 신상·자기소개, 가족·인간관계, 교육·학교·학습, 직업·직장·취업, 예절·관습·명절·호칭, 언어·학습·의사소통 되묻기","이다, 이 아니다, 은1, 이, 을1, 의, 과, 이랑, 하고, -어2, -습니다, -습니까","인사하고 자기소개하기, 신상 정보 묻고 답하기, 정보 묻고 확인하기, 감사·사과하고 반응하기, 못 들었을 때 되묻고 고치기","가족·친족 호칭·관계어, 직업·직장 어휘, 학교·학습 어휘, 예절·높임·호칭 어휘, 관용 표현·연어·담화 표지(품사=표현) — 가족, 부모님, 동생, 직업, 회사, 동료, 수업, 책, 공책, 호칭, 높임, 말씀, 마음에 들다, 도움이 되다, 약속을 지키다","대면 대화, 표지판·짧은 안내문, 서식·신청서 작성","A1: be; subject and object word order; possessives, and; with, polite wording; questions and statements","A1: sein; Nominativ/Akkusativ; Possessivformen, und; mit, du/Sie; Fragen und Aussagen","해요체(공손 비격식), 합쇼체·업무 격식 — 처음 만난 학습 동료와의 대면 소개. 이름·관계는 과제 카드에서 제공한다."
2,KP02 A1.2 하루의 시간·장소·이동 말하기,A1,A1.2,"주거·집, 일상생활·하루 일과, 숫자·시간·날짜, 교통·길 찾기, 전화·메신저·인터넷 소통","에, 에서, 부터, 까지, 으로, -었-, -고3, -지 않다, -지 못하다, 도, 만","사물 이름·위치 말하기, 경험·사건 이야기하기, 사람·사물·장소 묘사하기, 정보 묻고 확인하기","수·수량·단위명사, 시간·날짜·요일·계절, 집·가구·생활용품, 장소·건물·도시, 교통·여행 어휘 — 하나, 둘, 세 개, 오늘, 내일, 오전, 방, 의자, 창문, 학교, 집, 역, 버스, 기차, 출발","메뉴·가격표·시간표, 안내 방송, 전화 통화, 메모·엽서·짧은 쪽지, 메신저·문자(카카오톡)","A2: at/in/from/to; means of travel, simple past; and then, not; cannot; also; only","A2: in/an/von/bis; Verkehrsmittel, Perfekt/Präteritum; und dann, nicht; nicht können; auch; nur",해요체(공손 비격식) — 새 학습 동료에게 일과와 위치를 설명하는 대면·메신저 장면.
3,KP03 A1.3 생활 서비스를 이용하고 약속 잡기,A1,A1.3,"식음료·식당, 쇼핑·소비·결제, 여가·취미·운동, 전화·메신저·인터넷 소통","에게, 한테, -으러, -으려고1, -고 싶다, -고 있다, -을 수 있다, -겠-, -으세요, -으십시오, -을까, -읍시다","취향·선호 말하기, 주문·구매·결제하기, 요청·부탁하기, 제안하기, 약속·예약 잡고 바꾸고 취소하기, 의도·계획·바람 말하기","수·수량·단위명사, 음식·재료·조리, 교통·여행 어휘, 관용 표현·연어·담화 표지(품사=표현) — 하나, 둘, 세 개, 밥, 물, 커피, 버스, 기차, 출발, 마음에 들다, 도움이 되다, 약속을 지키다","창구·매장 응대 대화, 메뉴·가격표·시간표, 메신저·문자(카카오톡)","A2: to a person; go to do; intend to, want; be doing; can; will, please; shall we; let's","A2: jemandem; gehen um zu; vorhaben, möchten; gerade; können; werden/Absicht, bitte; sollen wir; lass uns","해요체(공손 비격식) — 처음 이용하는 가게의 손님·직원, 약속을 조정하는 동등한 동료."
4,KP04 A1.4 이유를 설명하고 예의를 갖춰 조정하기,A1,A1.4,"날씨·계절·자연, 건강·신체·병원·약국, 감정·성격·외모 묘사, 가족·인간관계, 예절·관습·명절·호칭","-으시-, 께서, -어서, -으니까, -지만, 보다, -고4, -기 전에, -은 후에, -어야 되다 (재방문 -겠-)","감정·기분 표현하기, 사람·사물·장소 묘사하기, 감사·사과하고 반응하기, 약속·예약 잡고 바꾸고 취소하기, 의무·허가·금지 말하기, 길·절차 안내하고 따르기","색·모양·기본 묘사 형용사, 신체·증상·의료, 날씨·자연 어휘, 예절·높임·호칭 어휘 — 크다, 작다, 길다, 머리, 배, 아프다, 비, 눈, 덥다, 호칭, 높임, 말씀","노래 가사 한 줄, 대면 대화, 메모·엽서·짧은 쪽지","A2: respectful reference and titles, because; but; than; additional comment, before/after; have to","A2: respektvolle Bezeichnung; du/Sie, weil/denn; aber; als; Zusatz, bevor/nachdem; müssen","해요체(공손 비격식), 합쇼체·업무 격식, 반말(친근·평교) — 동료에게 일정을 바꾸자고 하며 제3자인 선생님의 방문을 언급한다."
5,KP05 A2.1 조건·선택·허용을 확인하기,A2,A2.1,"주거·집, 건강·신체·병원·약국, 여행·숙박, 교통·길 찾기, 공공 서비스·관공서·은행·우체국, 돈·요금·계약·보험, 쇼핑·소비·결제, 식음료·식당","-으면, -거나, 이나, 마다, 밖에, 처럼, -어도 되다, -지 말다, -어 주다","의무·허가·금지 말하기, 요청·부탁하기, 주문·구매·결제하기, 불만 제기·이의 신청하기, 비교·대조·대안 검토하기","의류·액세서리, 돈·가격·금융·계약 어휘, 행정·공공 서비스 어휘, 신체·증상·의료, 집·가구·생활용품, 교통·여행 어휘, 음식·재료·조리 — 옷, 신발, 크기, 요금, 결제, 비용, 신청, 접수, 창구, 머리, 배, 아프다, 방, 의자, 창문, 버스, 기차, 출발, 밥, 물, 커피","공지문·안내문, 광고·전단·브로슈어, 사용 설명서·조리법·지시문, 전화 통화, 메신저·문자(카카오톡)","A2: if; or; every; only, like; may/be allowed to, don't; do something for someone","A2: wenn; oder; jeder; nur, wie; dürfen, nicht tun; etwas für jemanden tun","해요체(공손 비격식), 합쇼체·업무 격식 — 처음 만난 창구 직원에게 조건을 확인하는 고객. 권한을 행사하는 사람을 따로 표시한다."
6,KP06 A2.2 사람·경험·기간을 구체적으로 설명하기,A2,A2.2,"직업·직장·취업, 교육·학교·학습, 가족·인간관계, 감정·성격·외모 묘사, 여가·취미·운동, 일상생활·하루 일과","-는2, -은2, -은3, -을2, -는 것, -기, -을 때, -는 동안에, -은 지2, -은 적이 있다, -어 보다, -으면서, -다가1(1) (재방문 -고 있다)","들은 정보 전달하기(간접화법), 감정·기분 표현하기, 초대·수락·거절하기, 축하·위로하기","감정·성격 어휘, 여가·운동·취미 어휘, 관용 표현·연어·담화 표지(품사=표현) — 기쁘다, 걱정하다, 당황하다, 운동, 산책, 모임, 마음에 들다, 도움이 되다, 약속을 지키다","비격식 이메일, 설명문·안내 텍스트, 이야기·일기·서사문","B1: relative clauses; gerund-like clauses, when/while; since; have done, try doing; while; stop midway","B1: Relativsätze; nominalisierte Infinitive, als/während; seit; schon einmal, ausprobieren; während; unterbrechen","해요체(공손 비격식), 반말(친근·평교) — 동등한 모임 참여자. 반말 과제는 사전에 말을 놓기로 한 가까운 사람으로 고정한다."
7,KP07 A2.3 배경을 말하고 의도·결정을 조정하기,A2,A2.3,"전화·메신저·인터넷 소통, 동네·이웃·주변 환경, 직업·직장·취업, 날씨·계절·자연, 개인 신상·자기소개, 언어·학습·의사소통 되묻기","-는데1, -게2, -기 때문에, -기로 하다, -는 것 같다, -을 수밖에 없다, -을게, -을래, -을까 보다, -게 되다 (재방문 -고4, -어서, -지만)","이유·원인·결과 설명하기, 의견 말하고 동의·반대하기, 조언·추천·경고하기, 약속·예약 잡고 바꾸고 취소하기, 근황·안부 나누기(스몰토크)","기기·인터넷·디지털 어휘, 감정·성격 어휘, 교통·여행 어휘 — 파일, 비밀번호, 접속, 기쁘다, 걱정하다, 당황하다, 버스, 기차, 출발","전화 통화, 설명문·안내 텍스트, 메신저·문자(카카오톡)","B1: background clause; so that; because, decide to; seem; have no choice, I'll; want/intend to; come to","B1: Hintergrund; damit; weil, beschließen; scheinen; keine Wahl haben, ich übernehme; wollen; dazu kommen","해요체(공손 비격식), 합쇼체·업무 격식 — 동등한 직장 동료와 전화·메신저로 사정을 설명한다. 자료는 공유한 일정표 파일이다."
8,KP08 A2.4 공지·전달·말투 전환 다루기,A2,A2.4,"예절·관습·명절·호칭, 미디어·대중문화(K-pop·드라마·SNS), 숫자·시간·날짜, 공공 서비스·관공서·은행·우체국, 여행·숙박","-음, 께, 에게로, 에게서, 한테서, 에다가, 에서부터(서부터), -네, -는군, -는데2, -지, -어 있다, -을 것1 (재방문 -고 있다)","길·절차 안내하고 따르기, 들은 정보 전달하기(간접화법), 축하·위로하기, 불만 제기·이의 신청하기, 말투·존댓말·호칭 조절하기","행정·공공 서비스 어휘, 기기·인터넷·디지털 어휘, 관용 표현·연어·담화 표지(품사=표현) — 신청, 접수, 창구, 파일, 비밀번호, 접속, 마음에 들다, 도움이 되다, 약속을 지키다","드라마·영화 대사, 공지문·안내문, 사용 설명서·조리법·지시문, SNS 게시물·댓글·포럼, 비격식 이메일","B1: nominal clauses; to/from; onto, oh; I see; tag-like confirmation, be doing; be open; instructions","B1: Nominalisierung; an/von; auf, ach so; ich verstehe; bestätigende Rückfrage, gerade tun; geöffnet sein; Anweisungen","해요체(공손 비격식), 반말(친근·평교), 합쇼체·업무 격식, 친밀체(연인·가까운 사이) — 공지 작성자·전달자·수신자를 구별한다. 친구 이메일과 공개 게시글의 독자는 다르다."
9,KP09 B1.1 친밀한 대화에서 경험 회상하기,B1,B1.1,"가족·인간관계, 문화 차이·세계화·이주, 교육·학교·학습, 감정·성격·외모 묘사, 일상생활·하루 일과, 여가·취미·운동","-는다, -니2, -자3, -는구나, -던-, -던데2, 아1, 요1, -었었-, -는 중이다, -고 싶어 하다","경험·사건 이야기하기, 감정·기분 표현하기, 말투·존댓말·호칭 조절하기","감정·성격 어휘, 언어·문법·화법 메타언어, 관용 표현·연어·담화 표지(품사=표현) — 기쁘다, 걱정하다, 당황하다, 인용, 맥락, 화자, 마음에 들다, 도움이 되다, 약속을 지키다","강연·연설·긴 독백, SNS 게시물·댓글·포럼, 이야기·일기·서사문, 면접","B1: informal questions; let's; surprise, used to; remembered observation; address, had done; be in the middle of; want","B1: du-Fragen; lass uns; Überraschung, früher; erinnerte Beobachtung; Anrede, früherer Zustand; gerade dabei; wünschen","반말(친근·평교), 친밀체(연인·가까운 사이), 해요체(공손 비격식) — 말을 놓기로 합의한 가까운 동료 또는 가족의 경험담. 친밀함은 명시된 장면에 한정한다."
10,KP10 B1.2 사건의 경위와 결과 설명하기,B1,B1.2,"직업·직장·취업, 건강·신체·병원·약국, 여행·숙박, 교통·길 찾기, 동네·이웃·주변 환경, 주거·집","-다가1(2), -으려다가, -었더니, -느라고, -어다가, -자마자, -고 나다, -고 말다, -어 가다, -어 오다, -어 놓다, -어 두다, -어지다, -은 결과, -은 다음에, -어 가지고 (재방문 -어 있다)","경험·사건 이야기하기, 이유·원인·결과 설명하기, 들은 정보 전달하기(간접화법)","직업·직장 어휘, 돈·가격·금융·계약 어휘, 행정·공공 서비스 어휘, 관용 표현·연어·담화 표지(품사=표현) — 직업, 회사, 동료, 요금, 결제, 비용, 신청, 접수, 창구, 마음에 들다, 도움이 되다, 약속을 지키다","신문 기사·보도문, 설명문·안내 텍스트, 이야기·일기·서사문","B2: while; was going to; because; bring and use, as soon as; end up; keep doing, leave ready; keep; become; as a result","B2: unterbrechen; vorhaben; weil; holen und verwenden, sobald; schließlich; fortschreitend, bereitstellen; aufbewahren; werden; als Ergebnis","해요체(공손 비격식), 합쇼체·업무 격식 — 동등한 동료에게 경위를 설명하고 별도 보고문에는 공적 기록 문체를 쓴다."
