id,level,ko,de,en,field_notes,상태,jin_memo
vocab_c1_0169,C1,표본,Stichprobe,sample,rights: original; pack=c1_media_evidence_1; order=1; boss=false,draft,
vocab_c1_0170,C1,일반화,Verallgemeinerung,generalisation,rights: original; pack=c1_media_evidence_1; order=2; boss=false,draft,
vocab_c1_0171,C1,상관관계,Korrelation,correlation,rights: original; pack=c1_media_evidence_1; order=3; boss=false,draft,
vocab_c1_0172,C1,인과,Kausalität,causation,rights: original; pack=c1_media_evidence_1; order=4; boss=false,draft,
vocab_c1_0173,C1,편향,Verzerrung,bias,rights: original; pack=c1_media_evidence_1; order=5; boss=false,draft,
vocab_c1_0174,C1,출처,Quelle,source,rights: original; pack=c1_media_evidence_1; order=6; boss=false,draft,
vocab_c1_0175,C1,재현성,Reproduzierbarkeit,reproducibility,rights: original; pack=c1_media_evidence_1; order=7; boss=false,draft,
vocab_c1_0176,C1,오해석,Fehldeutung,misreading,rights: original; pack=c1_media_evidence_1; order=8; boss=false,draft,
vocab_c1_0177,C1,과장,Übertreibung,exaggeration,rights: original; pack=c1_media_evidence_1; order=9; boss=false,draft,
vocab_c1_0178,C1,검증,Überprüfung,verification,rights: original; pack=c1_media_evidence_1; order=10; boss=true,draft,
vocab_c1_0179,C1,반박,Einwand,rebuttal,rights: original; pack=c1_media_evidence_1; order=11; boss=true,draft,
vocab_c1_0180,C1,인용,Zitat,citation,rights: original; pack=c1_media_evidence_1; order=12; boss=true,draft,
vocab_c2_0169,C2,오작동,Fehlfunktion,malfunction,rights: original; pack=c2_automation_redress_1; order=1; boss=false,draft,
vocab_c2_0170,C2,구제,Abhilfe,remedy,rights: original; pack=c2_automation_redress_1; order=2; boss=false,draft,
vocab_c2_0171,C2,소명,Stellungnahme,statement of grounds,rights: original; pack=c2_automation_redress_1; order=3; boss=false,draft,
vocab_c2_0172,C2,유예,Aufschub,deferral,rights: original; pack=c2_automation_redress_1; order=4; boss=false,draft,
vocab_c2_0173,C2,재검토,Neuprüfung,re-review,rights: original; pack=c2_automation_redress_1; order=5; boss=false,draft,
vocab_c2_0174,C2,통보,Mitteilung,notification,rights: original; pack=c2_automation_redress_1; order=6; boss=false,draft,
vocab_c2_0175,C2,시정,Behebung,correction,rights: original; pack=c2_automation_redress_1; order=7; boss=false,draft,
vocab_c2_0176,C2,입증,Nachweis,proof,rights: original; pack=c2_automation_redress_1; order=8; boss=false,draft,
vocab_c2_0177,C2,형식적,bloß formal,merely formal,rights: original; pack=c2_automation_redress_1; order=9; boss=false,draft,
vocab_c2_0178,C2,자동 처리,automatische Bearbeitung,automated processing,rights: original; pack=c2_automation_redress_1; order=10; boss=true,draft,
vocab_c2_0179,C2,불복,Einspruch,appeal,rights: original; pack=c2_automation_redress_1; order=11; boss=true,draft,
vocab_c2_0180,C2,처분,Maßnahme,administrative measure,rights: original; pack=c2_automation_redress_1; order=12; boss=true,draft,
