id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0347,a1,어제부터 머리가 아파요.,Seit gestern habe ich Kopfschmerzen.,I've had a headache since yesterday.,vocabKo=머리; unit=a1_10_health_safety; source vocab_a1_0044,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0348,a1,코가 많이 아파요.,Meine Nase tut sehr weh.,My nose hurts a lot.,vocabKo=코; unit=a1_10_health_safety; source vocab_a1_0046,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0349,a1,먼저 손을 씻으세요.,Waschen Sie sich zuerst die Hände.,Please wash your hands first.,vocabKo=손; unit=a1_10_health_safety; source vocab_a1_0049,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0350,a1,많이 걸어서 발이 아파요.,"Ich bin viel gelaufen, deshalb tun mir die Füße weh.",My feet hurt because I walked a lot.,vocabKo=발; unit=a1_10_health_safety; source vocab_a1_0050,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0351,a1,한국어 수업은 월요일에 있어요.,Der Koreanischunterricht ist am Montag.,Korean class is on Monday.,vocabKo=수업; unit=a1_15_first_class_work; source vocab_a1_0436,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0352,a1,한국어 수업은 처음이에요.,Koreanischunterricht habe ich zum ersten Mal.,It's my first time taking a Korean class.,vocabKo=처음; unit=a1_15_first_class_work; source vocab_a1_0437,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0353,a1,전화번호를 알려 주세요.,Sagen Sie mir bitte Ihre Telefonnummer.,Please tell me your phone number.,vocabKo=전화번호; unit=a1_15_first_class_work; source vocab_a1_0438,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0354,a1,무슨 대학에 다녀요?,An welcher Universität studieren Sie?,Which university do you go to?,vocabKo=대학; unit=a1_15_first_class_work; source vocab_a1_0439,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0355,a1,책상 위에 책이 있어요.,Auf dem Schreibtisch liegt ein Buch.,There is a book on the desk.,vocabKo=책상; unit=a1_15_first_class_work; source vocab_a1_0440,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0356,a1,연필로 이름을 써요.,Ich schreibe meinen Namen mit Bleistift.,I write my name with a pencil.,vocabKo=연필; unit=a1_15_first_class_work; source vocab_a1_0441,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0357,a1,저는 매일 한국어 공부를 해요.,Ich lerne jeden Tag Koreanisch.,I study Korean every day.,vocabKo=공부; unit=a1_15_first_class_work; source vocab_a1_0442,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0358,a1,매일 발음 연습을 해요.,Ich übe jeden Tag die Aussprache.,I practice pronunciation every day.,vocabKo=연습; unit=a1_15_first_class_work; source vocab_a1_0443,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
satz_a1_0359,a1,수업은 아홉 시에 시작해요.,Der Unterricht beginnt um neun Uhr.,Class starts at nine o'clock.,vocabKo=시작하다; unit=a1_15_first_class_work; source vocab_a1_0444,approved,Fable 직독 승인 2026-09-09 (PR-L3a Batch 23 2차); Jin 10% 표본 대기
