pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
N은/는 어디에 있어요?,A1,nach einem Ort fragen,Fragt höflich nach dem Standort eines Ortes oder Gegenstands.,약국은 어디에 있어요?,Wo ist die Apotheke?,은/는 markiert das gesuchte Thema; 에 steht beim Ort des Seins.,asking where something is,Politely asks for the location of a place or object.,Where is the pharmacy?,"은/는 marks the topic being located, and 에 marks where it is.",grammar_a1_service_location_question,Wo ist,Where is,true,grammar_a1_topic_particle|grammar_a1_subject_particle|grammar_a1_object_particle
N을/를 V-아/어 주세요,A1,konkrete höfliche Bitte,Bittet höflich um eine klar benannte Handlung.,영수증을 주세요.,Bitte geben Sie mir den Kassenbon.,"좀 kann die Bitte zusätzlich abschwächen, ist aber nicht zwingend.",concrete polite request,Politely asks someone to perform a clearly named action.,Please give me the receipt.,"좀 can soften the request further, but it is not required.",grammar_a1_service_request,Bitte geben Sie,Please give me,true,grammar_a1_topic_particle|grammar_a1_subject_particle|grammar_a1_object_particle
V-아/어도 괜찮아요?,A2,Erlaubnis oder Zumutbarkeit prüfen,"Prüft freundlich, ob eine Handlung erlaubt oder für die andere Person in Ordnung ist.",계약서를 사진으로 찍어도 괜찮아요?,"Ist es in Ordnung, wenn ich den Vertrag fotografiere?",Die Frage verlangt eine echte Antwort; sie ist keine versteckte Ankündigung.,checking permission or acceptability,Gently checks whether an action is allowed or acceptable to the other person.,Is it okay if I photograph the contract?,The question leaves room for a real answer; it is not a disguised announcement.,grammar_a2_permission_check_batch20,Ist es in Ordnung,Is it okay,true,grammar_a2_future_intention|grammar_a2_conditional|grammar_a2_contrast
V-(으)면 좋겠어요,A2,Wunsch vorsichtig äußern,"Äußert einen Wunsch, ohne ihn als Forderung zu formulieren.",관리비가 계약서에 따로 적혀 있으면 좋겠어요.,"Ich fände es gut, wenn die Nebenkosten im Vertrag getrennt aufgeführt wären.","Bei Verhandlungen zusätzlich nachfragen, ob der Wunsch umsetzbar ist.",expressing a preference gently,Expresses a preference without presenting it as a demand.,I would prefer the maintenance fee to be listed separately in the contract.,"In a negotiation, follow up by asking whether the preference is feasible.",grammar_a2_preference_soft_batch20,Ich fände es gut,I would prefer,true,grammar_a2_future_intention|grammar_a2_conditional|grammar_a2_contrast
V-(으)ㄹ까 하다,B1,vorläufige Absicht,Stellt einen Plan als noch nicht endgültig dar und lässt Raum für Rückmeldung.,조건을 더 확인한 뒤에 지원할까 합니다.,"Ich denke darüber nach, mich nach Klärung der Bedingungen zu bewerben.",Passt zu Überlegungen; für eine feste Zusage ist V-(으)ㄹ게요 klarer.,tentative intention,Presents a plan as tentative and leaves room for feedback.,I'm thinking of applying after clarifying the conditions.,It suits a plan under consideration; V-(으)ㄹ게요 is clearer for a firm commitment.,grammar_b1_tentative_plan_batch20,Ich denke darüber nach,I'm thinking of,true,grammar_b1_nominalization|grammar_b1_after|grammar_b1_before
A/V-기는 한데,B1,etwas einräumen und begrenzen,Erkennt einen Punkt an und fügt dann eine Einschränkung oder offene Frage hinzu.,근무지는 가깝기는 한데 출근 시간이 너무 빨라요.,"Der Arbeitsort ist zwar nah, aber der Arbeitsbeginn ist sehr früh.","Der zweite Teil sollte die erste Aussage sinnvoll begrenzen, nicht bloß wiederholen.",conceding a point before qualifying it,"Acknowledges a point, then adds a limitation or open concern.","The workplace is close, but the start time is very early.",The second clause should meaningfully qualify the first rather than repeat it.,grammar_b1_conceded_context_batch20,"ist zwar nah, aber",but,true,grammar_b1_nominalization|grammar_b1_after|grammar_b1_before
N을/를 기준으로 보면,B2,Urteil an einen Maßstab binden,"Macht sichtbar, nach welchem Maßstab eine Bewertung gilt.",임대료만을 기준으로 보면 실제 주거 부담을 놓칠 수 있습니다.,"Betrachtet man nur die Miete als Maßstab, kann die tatsächliche Wohnbelastung übersehen werden.",Andere sinnvolle Maßstäbe sollten anschließend benannt werden.,framing a judgment by a criterion,Makes the criterion behind an evaluation explicit.,"If rent alone is the criterion, the actual housing burden may be missed.",Name other relevant criteria afterward.,grammar_b2_criterion_view_batch20,als Maßstab,rent alone is the criterion,true,grammar_b2_even_if|grammar_b2_not_only|grammar_b2_as_long_as
A/V-다는 점을 고려하면,B2,einen relevanten Umstand einbeziehen,Bindet eine Schlussfolgerung ausdrücklich an einen zuvor genannten Umstand.,생활비 부담이 가구마다 다르다는 점을 고려하면 지원 기준도 세분화해야 합니다.,"Da die Belastung durch Lebenshaltungskosten je nach Haushalt variiert, sollten auch die Förderkriterien differenziert werden.","Die Konstruktion liefert einen Grund, beweist aber nicht automatisch Kausalität.",taking a relevant fact into account,Explicitly ties a conclusion to a relevant fact already stated.,"Considering that living-cost burdens vary by household, support criteria should be more specific.",The form supplies a reason but does not automatically prove causality.,grammar_b2_considering_fact_batch20,Da die Belastung,Considering that,true,grammar_b2_even_if|grammar_b2_not_only|grammar_b2_as_long_as
A/V-다고 단정하기 어렵다,C1,eine Schlussfolgerung epistemisch begrenzen,"Markiert, dass die vorliegenden Belege für eine eindeutige Schlussfolgerung nicht ausreichen.",표시가 있다는 이유만으로 이용자가 충분히 이해했다고 단정하기 어렵습니다.,"Allein aus einer Kennzeichnung lässt sich schwer schließen, dass Nutzende alles ausreichend verstanden haben.","Danach sollte erklärt werden, welche zusätzliche Evidenz nötig ist.",limiting the certainty of a conclusion,Signals that the available evidence is insufficient for a categorical conclusion.,A label alone is not enough to conclude that users understood adequately.,Follow it by stating what additional evidence is needed.,grammar_c1_difficult_to_conclude_batch20,lässt sich schwer schließen,is not enough to conclude,true,grammar_c1_rather_than|grammar_c1_even_at_cost|grammar_c1_no_exaggeration
N이/가 누구에게 돌아가는지 따져보다,C1,Verteilung von Lasten prüfen,"Verschiebt die Analyse vom Gesamtergebnis auf die Verteilung von Aufwand, Risiko oder Kosten.",번역과 검수의 부담이 누구에게 돌아가는지 따져봐야 합니다.,"Es ist zu prüfen, wer die Last von Übersetzung und Prüfung trägt.",Die betroffenen Gruppen sollten konkret benannt statt nur angedeutet werden.,examining who bears a burden,"Shifts analysis from the total outcome to how effort, risk, or cost is distributed.",We need to examine who bears the burden of translation and review.,Name the affected groups rather than leaving them implicit.,grammar_c1_burden_recipient_batch20,wer die Last von Übersetzung und Prüfung trägt,who bears the burden,true,grammar_c1_rather_than|grammar_c1_even_at_cost|grammar_c1_no_exaggeration
N으로 환원해서는 안 되다,C2,unzulässige Reduktion zurückweisen,"Weist zurück, ein komplexes institutionelles Problem auf nur einen Faktor zu verkürzen.",저출산 문제를 개인의 가치관으로 환원해서는 안 됩니다.,Das Problem niedriger Geburtenraten darf nicht auf individuelle Wertvorstellungen reduziert werden.,Anschließend die ausgelassenen institutionellen Bedingungen benennen.,rejecting an improper reduction,Rejects reducing a complex institutional problem to a single factor.,Low birth rates should not be reduced to individual values.,Follow by naming the institutional conditions omitted by the reduction.,grammar_c2_no_reduction_batch20,darf nicht auf individuelle Wertvorstellungen reduziert werden,should not be reduced,true,grammar_c2_regardless_of|grammar_c2_even_if_concession|grammar_c2_expected_assumption
N이라는 전제하에 검토하다,C2,eine Prämisse offenlegen und prüfen,"Benennt die Annahme, unter der eine Bewertung erfolgt, damit auch die Annahme selbst überprüfbar bleibt.",해당 지표가 돌봄 접근성을 반영한다는 전제하에 정책 효과를 검토했습니다.,"Die Politikwirkung wurde unter der Annahme geprüft, dass der Indikator den Zugang zu Betreuung abbildet.",Eine Prämisse darf nicht als bereits bewiesene Tatsache ausgegeben werden.,reviewing under an explicit premise,Names the assumption under which an evaluation is made so the premise itself remains open to review.,We reviewed the policy effect under the premise that the indicator reflects access to care.,A premise should not be presented as an already proven fact.,grammar_c2_premise_review_batch20,unter der Annahme,under the premise,true,grammar_c2_regardless_of|grammar_c2_even_if_concession|grammar_c2_expected_assumption
