id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_c1_0025,C1,그 영상 주장은 표본이 몇 명이었는지 나와 있었어요?,"Stand in dem Video, wie groß die Stichprobe war?",Did the video say how large the sample was?,rights: original; category=screen; kind=question,draft,
smalltalk_c1_0026,C1,제목만 보면 확실해 보이는데 근거는 그만큼은 아니네요.,"Der Titel klingt sicher, die Belege sind es aber nicht.","The headline sounds certain, the evidence less so.",rights: original; category=screen; kind=reaction,draft,
smalltalk_c2_0025,C2,자동으로 계산된 요금에 이의를 넣으면 사람이 다시 보나요?,"Prüft ein Mensch nach, wenn man gegen eine automatisch berechnete Rechnung Einspruch einlegt?","If you appeal an automatically calculated bill, does a person review it again?",rights: original; category=daily; kind=question,draft,
smalltalk_c2_0026,C2,창구가 있다고 해서 구제가 되는 건 아니더라고요.,"Dass es eine Stelle gibt, heißt noch nicht, dass Abhilfe kommt.",Having a desk to complain to doesn't mean redress follows.,rights: original; category=daily; kind=reaction,draft,
smalltalk_c1_0027,C1,게임 시간 제한이 실제로 효과가 있었다는 자료 보신 적 있어요?,"Haben Sie Daten gesehen, dass die Zeitbegrenzung beim Spielen wirklich gewirkt hat?",Have you seen data showing the play-time limit actually worked?,rights: original; category=hobby; kind=question,draft,
smalltalk_c1_0028,C1,제한을 걸어도 부모 계정으로 넘어가면 소용이 없더라고요.,"Selbst mit Begrenzung bringt es nichts, wenn man aufs Elternkonto ausweicht.",Even with a limit it's pointless if people move to a parent's account.,rights: original; category=hobby; kind=reaction,draft,
smalltalk_c2_0027,C2,자동으로 계정이 정지되면 사유를 어디까지 알려 주나요?,"Wie viel vom Grund erfährt man, wenn ein Konto automatisch gesperrt wird?",How much of the reason are you told when an account is suspended automatically?,rights: original; category=hobby; kind=question,draft,
smalltalk_c2_0028,C2,신고가 여러 건이라는 것만으로 정지하면 오탐을 걸러낼 수가 없어요.,"Sperrt man allein wegen mehrerer Meldungen, lassen sich Fehlalarme nicht aussortieren.",Suspending on report count alone leaves no way to filter out false positives.,rights: original; category=hobby; kind=reaction,draft,
smalltalk_c1_0029,C1,그 계정 번역은 몇 분이서 돌아가면서 하세요?,Zu wie vielt wechseln Sie sich bei den Übersetzungen für das Konto ab?,How many of you take turns on the translations for that account?,rights: original; category=kpop; kind=question,draft,
smalltalk_c1_0030,C1,좋아서 하는 일이라도 양이 정해져 있어야 오래 가더라고요.,"Auch was man gern macht, hält nur mit festgelegtem Umfang lange.",Even work you enjoy only lasts if the amount is fixed.,rights: original; category=kpop; kind=reaction,draft,
smalltalk_c2_0029,C2,그 이야기 지금은 누구 입장에서 정리돼 있는 것 같으세요?,"Aus wessen Sicht ist die Geschichte inzwischen erzählt, würden Sie sagen?",Whose side do you think the story is told from by now?,rights: original; category=dating; kind=question,draft,
smalltalk_c2_0030,C2,지나고 나면 좋았던 장면만 남아서 판단이 흐려져요.,"Im Rückblick bleiben nur die schönen Szenen, und das trübt das Urteil.","Looking back, only the good scenes remain and that clouds the judgement.",rights: original; category=dating; kind=reaction,draft,
smalltalk_c1_0031,C1,그 앱은 신고하면 결과를 다시 알려 주나요?,"Meldet die App zurück, was aus einer Meldung geworden ist?",Does that app tell you what came of a report?,rights: original; category=dating; kind=question,draft,
smalltalk_c1_0032,C1,처음 만날 때는 장소를 제가 정하는 편이 마음이 편해요.,"Beim ersten Treffen ist es mir lieber, den Ort selbst zu wählen.",For a first meeting I'd rather pick the place myself.,rights: original; category=dating; kind=reaction,draft,
smalltalk_c2_0031,C2,그 표현이 왜 문제인지 안에서 설명된 적 있어요?,"Wurde intern je erklärt, warum dieser Ausdruck ein Problem ist?",Has it ever been explained inside the group why that expression is a problem?,rights: original; category=kpop; kind=question,draft,
smalltalk_c2_0032,C2,사람이 많다고 그 말이 기준이 되는 건 아니잖아요.,"Dass viele es sagen, macht es noch nicht zum Maßstab.",Many people saying it doesn't make it the standard.,rights: original; category=kpop; kind=reaction,draft,
