id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b2_0109,B2,새집을 볼 때 월세 말고 어떤 비용을 먼저 물어봐요?,"Nach welchen Kosten fragst du bei einer neuen Wohnung zuerst, außer der Kaltmiete?","Besides the base rent, which costs do you ask about first when viewing a new home?",rights: original_clean_room; category=moving; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_b2_0110,B2,AI가 지원서를 먼저 봤다면 사람의 재검토도 요청할 수 있어요?,"Kann man eine menschliche Nachprüfung verlangen, wenn zuerst eine KI die Bewerbung prüft?",Can you request human review if AI screens the application first?,rights: original_clean_room; category=job_hunting; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_b2_0111,B2,새로 온 이웃에게 행정 정보는 어디서 찾는다고 알려 주면 좋을까요?,Wo findet ein neuer Nachbar am besten Informationen zu Behördengängen?,Where should we tell a new neighbor to find administrative information?,rights: original_clean_room; category=daily; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_b2_0112,B2,팬 번역을 행사 화면에 쓰려면 먼저 무엇을 확인해야 해요?,"Was muss zuerst geklärt werden, wenn eine Fanübersetzung auf der Veranstaltungsleinwand erscheinen soll?",What should be checked first before using a fan translation on an event screen?,rights: original_clean_room; category=kpop; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c1_0041,C1,평균 월세 수치에 신규 계약도 충분히 들어가 있었어요?,Waren in der Durchschnittsmiete genügend Neuverträge enthalten?,Did the average-rent figure include enough new leases?,rights: original_clean_room; category=moving; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c1_0042,C1,자동 선별의 정확도가 높다는 말에 집단별 오류도 포함됐나요?,Umfasst die angegebene Genauigkeit der automatisierten Auswahl auch Fehler nach Gruppen?,Does the reported accuracy of automated screening include errors across groups?,rights: original_clean_room; category=job_hunting; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c1_0043,C1,인력 부족 대책에 지역의 정착 역량도 같이 계산됐나요?,Wurde bei der Strategie gegen Personalmangel auch die regionale Aufnahmekapazität berücksichtigt?,Did the labor-shortage plan also account for local settlement capacity?,rights: original_clean_room; category=daily; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c1_0044,C1,추천 화면의 노출과 실제 선호를 어떻게 구분했어요?,Wie wurden Sichtbarkeit im Empfehlungssystem und tatsächliche Vorliebe getrennt?,How did you separate recommendation exposure from actual preference?,rights: original_clean_room; category=kpop; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c2_0041,C2,‘감당 가능한 집’은 누구의 지출 구조를 전제로 정의했나요?,Wessen Ausgabenstruktur liegt der Definition von bezahlbarem Wohnraum zugrunde?,Whose spending structure underlies the definition of affordable housing?,rights: original_clean_room; category=moving; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c2_0042,C2,자동 결정이 아니라 보조 도구라고 부르면 책임 귀속도 달라지나요?,"Ändert sich die Verantwortungszuweisung, wenn das System nur als Hilfsmittel statt als automatische Entscheidung bezeichnet wird?",Does responsibility change if the system is called a support tool rather than an automated decision?,rights: original_clean_room; category=job_hunting; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c2_0043,C2,취업률이 높으면 통합이 성공했다는 전제가 왜 문제일까요?,"Warum ist die Annahme problematisch, eine hohe Beschäftigungsquote bedeute gelungene Integration?",Why is the premise that a high employment rate means successful integration problematic?,rights: original_clean_room; category=daily; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
smalltalk_c2_0044,C2,‘진짜 팬’이라는 말은 어떤 참여를 중심에 놓고 있나요?,Welche Form der Beteiligung stellt der Ausdruck echter Fan ins Zentrum?,Which form of participation does the phrase real fan place at the center?,rights: original_clean_room; category=kpop; kind=question; Beyond=v2,approved,Jin explicit app-integration approval (2026-08-22).
