id,level,ko,de,en,field_notes,상태,jin_memo
grammar_a1_spoken_dative,A1,N한테,Gesprochene Richtung zu einer Person,Spoken direction to a person,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a1_duration_span,A1,N동안,Zeitspanne,Duration span,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a1_come_purpose,A1,V-(으)러 오다,Kommen um zu handeln,Come in order to act,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a1_in_front,A1,N앞에,Ort vor etwas,Place in front,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a2_noun_cause,A2,N때문에,Grund als Nomen,Noun cause,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a2_busy_cause,A2,V-느라고,Beschäftigt-sein als Grund,Busy-doing cause,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a2_among_set,A2,N중에서,Auswahl aus einer Menge,Choice from a set,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_a2_spoken_result,A2,V-아/어 가지고,Gesprochene Folge,Spoken result,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b1_concede_but,B1,V-기는 하지만,Eingeständnis plus Gegensatz,Concession plus contrast,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b1_as_kept_doing,B1,V-다 보니,Ergebnis durch Wiederholung,Result through repetition,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b1_while_already,B1,V-(으)ㄴ 김에,Gelegenheit mitnehmen,While already doing,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b1_self_should,B1,V-아/어야겠다,Selbstentschluss,Self-decision,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_as_you_see,B2,V-다시피,Wie bereits sichtbar,As already visible,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_including_start,B2,N을/를 비롯해,Einschluss als Ausgang,Including as a starting set,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_whether_or_not,B2,V-건 말건,Unabhängig von der Wahl,Regardless of the choice,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_b2_granted_limit,B2,A/V-기로서니,Eingeständnis mit Grenze,"Granted, with a limit","rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_regardless_noun,C1,N을/를 불문하고,Ohne Ausnahme nach N,Without exception after N,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_given_situation,C1,V-는 마당에,In einer bereits laufenden Lage,In an already unfolding situation,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_leaning_on,C1,N에 기대어,Sich auf eine Grundlage stützen,Leaning on a basis,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c1_even_if_doing,C1,V-고서라도,Selbst um den Preis der Handlung,Even at the cost of the action,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_defined_as,C2,N이라 함은,Institutionelle Definition,Institutional definition,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_as_already_set,C2,V-는 바,Bereits festgestellter Inhalt,Already established content,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_on_the_premise,C2,N을/를 전제로,Unter einer gesetzten Bedingung,On a stated premise,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
grammar_c2_wishing_to,C2,V-고자 하건대,Formelle Absichtseröffnung,Formal intent opening,"rights: original; independently authored pattern, examples, and quiz focus",approved,Jin explicit app-integration approval (2026-08-15).
