id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b2_0053,B2,"중요한 결정을 앞두고 있는데, 어떤 기준을 가장 우선시하세요?",Sie stehen vor einer wichtigen Entscheidung. Was ist Ihnen dabei am wichtigsten?,You are facing an important decision. What matters most to you as you decide?,Batch 03; category=daily; kind=question; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0054,B2,"제 소신을 지키고 싶지만, 이번에는 타협할 부분도 있어 보여요.","Ich möchte meiner Überzeugung treu bleiben, aber diesmal sehe ich auch Raum für einen Kompromiss.","I want to stay true to my convictions, but this time I can also see room for compromise.",Batch 03; category=daily; kind=opener; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0055,B2,이견이 있을 때는 어느 선까지 양보할 수 있다고 보세요?,Wo wäre bei unterschiedlichen Meinungen für Sie ein vertretbares Zugeständnis?,"When people disagree, where do you think a reasonable concession is possible?",Batch 03; category=daily; kind=question; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0056,B2,결단을 내리기 전에 이 선택이 누구에게 어떤 영향을 주는지 되돌아보고 있어요.,"Bevor ich mich entscheide, denke ich darüber nach, wen diese Wahl wie betrifft.","Before I decide, I am reflecting on who this choice will affect and how.",Batch 03; category=daily; kind=opener; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0057,B2,이 글에서 읽고 난 뒤에도 가장 오래 남은 부분은 무엇이었어요?,Welcher Teil dieses Textes ist Ihnen nach dem Lesen am längsten nachgegangen?,Which part of this text stayed with you the longest after reading?,Batch 03; category=mood; kind=question; relationship=classmate; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0058,B2,저는 이 문장이 단순한 묘사라기보다 상징처럼 느껴졌어요.,Für mich wirkte dieser Satz eher wie ein Symbol als wie eine bloße Beschreibung.,"To me, this sentence felt more like a symbol than a simple description.",Batch 03; category=mood; kind=opener; relationship=classmate; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0059,B2,"작가의 시선에 공감하셨나요, 아니면 다른 해석이 더 설득력 있었나요?","Konnten Sie den Blickwinkel der Autorin nachvollziehen, oder fanden Sie eine andere Deutung überzeugender?","Did you relate to the author's perspective, or did another interpretation seem more convincing?",Batch 03; category=mood; kind=question; relationship=classmate; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0060,B2,마지막 문장의 여운 때문에 글을 다 읽고도 한동안 생각이 났어요.,Der Nachklang des letzten Satzes hat mich auch nach dem Lesen noch eine Weile beschäftigt.,The lingering effect of the last sentence stayed on my mind even after I finished the text.,Batch 03; category=mood; kind=opener; relationship=classmate; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0061,B2,이 표현이 왜 불편하게 들릴 수 있는지 함께 생각해 볼까요?,"Wollen wir gemeinsam überlegen, warum dieser Ausdruck unangenehm wirken könnte?",Shall we think together about why this expression might sound uncomfortable?,Batch 03; category=screen; kind=question; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0062,B2,온라인에서는 같은 말도 말투와 어감에 따라 전혀 다르게 받아들여질 수 있어요.,Online kann derselbe Satz je nach Ton und Klangwirkung völlig unterschiedlich aufgenommen werden.,"Online, the same words can be received very differently depending on tone and connotation.",Batch 03; category=screen; kind=opener; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0063,B2,이 용례가 지금도 자연스럽게 쓰인다고 보세요?,"Finden Sie, dass dieses Verwendungsbeispiel heute noch natürlich klingt?",Do you think this usage example still sounds natural today?,Batch 03; category=screen; kind=question; relationship=classmate; rights: original; reply when question; safe alternative and follow-up in draft,draft,
smalltalk_b2_0064,B2,상대의 배경을 모른 채 비속어를 가볍게 쓰다가는 오해를 낳기 쉬워요.,"Wenn man ohne Kenntnis des Gegenübers leichtfertig derbe Sprache benutzt, entstehen schnell Missverständnisse.",Using slang carelessly without knowing the other person's background can easily cause misunderstandings.,Batch 03; category=screen; kind=opener; relationship=peer; rights: original; reply when question; safe alternative and follow-up in draft,draft,
