id,level,ko,de,en,field_notes,상태,jin_memo
satz_b1_0050,B1,관리비에 인터넷 요금도 포함되어 있나요?,Sind die Internetkosten in den Nebenkosten enthalten?,Are the internet charges included in the maintenance fee?,vocabKo=관리비; derived from vocab example,draft,
satz_b1_0051,B1,계약서에 서명하기 전에 내용을 다시 확인했어요.,"Ich habe den Inhalt noch einmal geprüft, bevor ich den Vertrag unterschrieben habe.",I checked the contents again before signing the contract.,vocabKo=계약서; derived from vocab example,draft,
satz_b1_0052,B1,세입자가 바뀌면 관리인에게 알려야 해요.,"Wenn der Mieter oder die Mieterin wechselt, muss man die Hausverwaltung informieren.","If the tenant changes, you have to notify the building manager.",vocabKo=세입자; derived from vocab example,draft,
satz_b1_0053,B1,다음 달 초에 새 아파트에 입주할 예정이에요.,Anfang nächsten Monats werde ich in die neue Wohnung einziehen.,I am planning to move into the new apartment at the beginning of next month.,vocabKo=입주하다; derived from vocab example,draft,
satz_b1_0054,B1,계약이 끝나면 정해진 날짜에 퇴거해야 해요.,"Wenn der Vertrag endet, muss man zum vereinbarten Termin ausziehen.","When the contract ends, you have to move out on the agreed date.",vocabKo=퇴거하다; derived from vocab example,draft,
satz_b1_0055,B1,집주인과 상의해서 계약 기간을 1년 더 연장했어요.,Nach Rücksprache mit dem Vermieter habe ich die Vertragslaufzeit um ein Jahr verlängert.,After talking with the landlord I extended the contract term by another year.,vocabKo=연장하다; derived from vocab example,draft,
satz_b1_0056,B1,누수 때문에 수리비가 예상보다 많이 들었어요.,Wegen des Wasserlecks sind die Reparaturkosten höher ausgefallen als erwartet.,Because of the water leak the repair costs were higher than expected.,vocabKo=수리비; derived from vocab example,draft,
satz_b1_0057,B1,천장에서 누수가 생겨서 바로 부동산에 연락했어요.,"Es gab ein Wasserleck an der Decke, deshalb habe ich sofort das Immobilienbüro angerufen.",There was a water leak in the ceiling so I called the real estate agency right away.,vocabKo=누수; derived from vocab example,draft,
satz_b1_0058,B1,난방이 잘 안 돼서 관리실에 문의했어요.,"Die Heizung funktionierte nicht richtig, deshalb habe ich bei der Hausverwaltung nachgefragt.",The heating was not working properly so I asked the building management about it.,vocabKo=난방; derived from vocab example,draft,
satz_b1_0059,B1,근처 부동산에서 이 집을 소개해 줬어요.,Ein Immobilienbüro in der Nähe hat mir diese Wohnung gezeigt.,A nearby real estate agency showed me this home.,vocabKo=부동산; derived from vocab example,draft,
satz_b1_0060,B1,중개인에게 계약 조건을 자세히 설명해 달라고 했어요.,"Ich habe den Makler gebeten, die Vertragsbedingungen genau zu erklären.",I asked the real estate agent to explain the contract terms in detail.,vocabKo=중개인; derived from vocab example,draft,
satz_b1_0061,B1,이삿짐은 오전에 먼저 새 집으로 보냈어요.,Die Umzugssachen habe ich am Vormittag zuerst in die neue Wohnung schicken lassen.,I sent the moving belongings to the new home first thing in the morning.,vocabKo=이삿짐; derived from vocab example,draft,
satz_b2_0042,B2,계약서의 조항을 하나씩 검토해 보겠습니다.,Wir werden die Klauseln des Vertrags einzeln prüfen.,We will review the clauses of the contract one by one.,vocabKo=조항; derived from vocab example,draft,
satz_b2_0043,B2,중도에 계약을 해지하려면 위약금이 발생할 수 있어요.,"Wenn Sie den Vertrag vorzeitig kündigen, kann eine Vertragsstrafe anfallen.",If you terminate the contract early a penalty may apply.,vocabKo=해지하다; derived from vocab example,draft,
satz_b2_0044,B2,조건을 확인한 뒤에 계약을 갱신하기로 했습니다.,"Nachdem wir die Bedingungen geprüft hatten, beschlossen wir den Vertrag zu erneuern.",After reviewing the terms we decided to renew the contract.,vocabKo=갱신하다; derived from vocab example,draft,
satz_b2_0045,B2,변경 사항은 양측이 충분히 협의한 뒤에 결정해야 합니다.,"Änderungen sollten erst beschlossen werden, nachdem beide Seiten sie ausreichend abgestimmt haben.",Changes should be decided only after both sides have discussed them sufficiently.,vocabKo=협의하다; derived from vocab example,draft,
satz_b2_0046,B2,당사자는 합의한 의무를 성실히 이행해야 합니다.,Die Vertragsparteien müssen die vereinbarten Pflichten gewissenhaft erfüllen.,The parties must faithfully fulfill their agreed obligations.,vocabKo=이행하다; derived from vocab example,draft,
satz_b2_0047,B2,모든 당사자가 서명한 뒤에 절차를 진행하겠습니다.,"Wir setzen das Verfahren fort, nachdem alle Vertragsparteien unterschrieben haben.",We will proceed after all parties have signed.,vocabKo=당사자; derived from vocab example,draft,
satz_b2_0048,B2,서명 이후에야 합의서가 효력을 갖습니다.,Die Vereinbarung wird erst nach der Unterschrift wirksam.,The agreement takes effect only after it is signed.,vocabKo=효력; derived from vocab example,draft,
