korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
표본,pyobon,Stichprobe,C1,Nomen,표본이 서른 명뿐이라 결론을 넓히기 어렵습니다.,"Die Stichprobe umfasst nur dreißig Personen, daher lässt sich der Schluss kaum ausweiten.",Medien & Evidenz,c1_media_evidence_1,1,false,sample,Noun,"The sample is only thirty people, so the conclusion is hard to widen.",vocab_c1_0169
일반화,ilbanhwa,Verallgemeinerung,C1,Nomen,성급한 일반화는 오해를 만듭니다.,Eine vorschnelle Verallgemeinerung erzeugt Missverständnisse.,Medien & Evidenz,c1_media_evidence_1,2,false,generalisation,Noun,A hasty generalisation creates misunderstandings.,vocab_c1_0170
상관관계,sanggwangwangye,Korrelation,C1,Nomen,상관관계만 보고 원인을 단정할 수 없습니다.,Aus einer Korrelation allein lässt sich die Ursache nicht bestimmen.,Medien & Evidenz,c1_media_evidence_1,3,false,correlation,Noun,A correlation alone cannot fix the cause.,vocab_c1_0171
인과,ingwa,Kausalität,C1,Nomen,인과를 말하려면 시간 순서가 분명해야 합니다.,Für Kausalität muss die zeitliche Reihenfolge klar sein.,Medien & Evidenz,c1_media_evidence_1,4,false,causation,Noun,Claiming causation needs a clear order in time.,vocab_c1_0172
편향,pyeonhyang,Verzerrung,C1,Nomen,참가자를 모으는 방식에 편향이 있었습니다.,Bei der Auswahl der Teilnehmenden gab es eine Verzerrung.,Medien & Evidenz,c1_media_evidence_1,5,false,bias,Noun,There was bias in how participants were recruited.,vocab_c1_0173
출처,chulcheo,Quelle,C1,Nomen,출처를 밝히지 않은 수치는 쓰지 않습니다.,Zahlen ohne Quellenangabe verwenden wir nicht.,Medien & Evidenz,c1_media_evidence_1,6,false,source,Noun,We don't use figures whose source isn't given.,vocab_c1_0174
재현성,jaehyeonseong,Reproduzierbarkeit,C1,Nomen,재현성이 확인되기 전에는 결과가 잠정적입니다.,Vor bestätigter Reproduzierbarkeit bleibt das Ergebnis vorläufig.,Medien & Evidenz,c1_media_evidence_1,7,false,reproducibility,Noun,Until reproducibility is confirmed the result stays provisional.,vocab_c1_0175
오해석,ohaeseok,Fehldeutung,C1,Nomen,그림 하나만 보면 오해석이 나오기 쉽습니다.,"Sieht man nur eine Grafik, kommt es leicht zu Fehldeutungen.",Medien & Evidenz,c1_media_evidence_1,8,false,misreading,Noun,Looking at a single chart invites misreading.,vocab_c1_0176
과장,gwajang,Übertreibung,C1,Nomen,제목의 과장이 본문 내용과 어긋납니다.,Die Übertreibung im Titel passt nicht zum Text.,Medien & Evidenz,c1_media_evidence_1,9,false,exaggeration,Noun,The headline's exaggeration doesn't match the body.,vocab_c1_0177
검증,geomjeung,Überprüfung,C1,Nomen,검증을 거치지 않은 주장은 권하지 않습니다.,Behauptungen ohne Überprüfung empfehlen wir nicht.,Medien & Evidenz,c1_media_evidence_1,10,true,verification,Noun,We don't recommend claims that skipped verification.,vocab_c1_0178
