id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0457,a1,"마야 씨, 이 게임 정말 재미있어요. 같이 할까요?","Maya, dieses Spiel ist wirklich lustig. Spielen wir zusammen?","Maya, this game is really fun. Shall we play together?",rights: original_clean_room; answer=게임; topic=Freizeit; unit=a1_16_survival_capstone; derived from vocab_a1_0523,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0458,a1,"아, 저녁에 같이 텔레비전 볼까요?","Ach, sollen wir heute Abend zusammen fernsehen?","Oh, shall we watch TV together this evening?",rights: original_clean_room; answer=텔레비전; topic=Technologie; unit=a1_16_survival_capstone; derived from vocab_a1_0524,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0459,a1,이 근처에 슈퍼마켓이 있어요?,Gibt es hier in der Nähe einen Supermarkt?,Is there a supermarket near here?,rights: original_clean_room; answer=슈퍼마켓; topic=도시 생활; unit=a1_06_transport_directions; derived from vocab_a1_0525,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0460,a1,주말에 백화점에 가고 싶어요.,Am Wochenende möchte ich ins Kaufhaus gehen.,I want to go to the department store this weekend.,rights: original_clean_room; answer=백화점; topic=도시 생활; unit=a1_06_transport_directions; derived from vocab_a1_0526,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0461,a1,버스 터미널이 어디예요?,Wo ist der Busbahnhof?,Where is the bus terminal?,rights: original_clean_room; answer=터미널; topic=Verkehr; unit=a1_06_transport_directions; derived from vocab_a1_0527,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0462,a1,안녕하세요! 저는 마야예요. 미국에서 왔어요.,Hallo! Ich bin Maya. Ich komme aus den USA.,Hello! I'm Maya. I'm from the USA.,rights: original_clean_room; answer=미국; topic=자기소개; unit=a1_03_topic_subject_particles; derived from vocab_a1_0528,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0463,a1,제 생일은 일월이에요.,Mein Geburtstag ist im Januar.,My birthday is in January.,rights: original_clean_room; answer=일월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0529,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0464,a1,이월에 방학이 끝나요.,Im Februar enden die Ferien.,Vacation ends in February.,rights: original_clean_room; answer=이월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0530,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0465,a1,삼월에 학교가 시작해요.,Im März beginnt die Schule.,School starts in March.,rights: original_clean_room; answer=삼월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0531,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0466,a1,"수진 씨, 사월에 다시 만나요, 맞아요?","Sujin, wir treffen uns im April wieder, oder?","Sujin, we're meeting again in April, right?",rights: original_clean_room; answer=사월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0532,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0467,a1,음... 제 생일이 오월이에요.,Ähm... mein Geburtstag ist im Mai.,Um... my birthday is in May.,rights: original_clean_room; answer=오월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0533,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0468,a1,유월에 할머니 댁에 가요.,Im Juni besuche ich meine Großmutter.,I visit my grandmother's place in June.,rights: original_clean_room; answer=유월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0534,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0469,a1,칠월에 수영하러 가요.,Im Juli gehe ich schwimmen.,I go swimming in July.,rights: original_clean_room; answer=칠월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0535,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0470,a1,팔월에 방학이 제일 길어요.,Im August ist die Ferienzeit am längsten.,The vacation is longest in August.,rights: original_clean_room; answer=팔월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0536,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0471,a1,구월에 학교에 다시 가요.,Im September gehe ich wieder zur Schule.,I go back to school in September.,rights: original_clean_room; answer=구월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0537,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0472,a1,시월에 등산하러 가요.,Im Oktober gehe ich wandern.,I go hiking in October.,rights: original_clean_room; answer=시월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0538,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0473,a1,십일월에 뭐 해요?,Was machen Sie im November?,What do you do in November?,rights: original_clean_room; answer=십일월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0539,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0474,a1,십이월에 파티가 있어요.,Im Dezember gibt es eine Party.,There's a party in December.,rights: original_clean_room; answer=십이월; topic=Zeit; unit=a1_05_numbers_time; derived from vocab_a1_0540,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0475,a1,"마야 씨, 저는 일본을 찍고 싶어요!","Maya, ich möchte Japan filmen!","Maya, I want to film Japan!",rights: original_clean_room; answer=일본; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0541,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0476,a1,중국 사람이세요?,Sind Sie aus China?,Are you from China?,rights: original_clean_room; answer=중국; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0542,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0477,a1,영국에서 오셨어요?,Kommen Sie aus England?,Are you from England?,rights: original_clean_room; answer=영국; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0543,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0478,a1,프랑스에서 살고 싶어요.,Ich möchte in Frankreich leben.,I want to live in France.,rights: original_clean_room; answer=프랑스; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0544,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0479,a1,러시아에서 오셨어요?,Kommen Sie aus Russland?,Are you from Russia?,rights: original_clean_room; answer=러시아; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0545,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0480,a1,캐나다에 친구가 있어요.,Ich habe einen Freund in Kanada.,I have a friend in Canada.,rights: original_clean_room; answer=캐나다; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0546,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0481,a1,태국 사람을 알아요?,Kennen Sie jemanden aus Thailand?,Do you know anyone from Thailand?,rights: original_clean_room; answer=태국; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0547,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0482,a1,베트남에 가고 싶어요.,Ich möchte nach Vietnam fahren.,I want to go to Vietnam.,rights: original_clean_room; answer=베트남; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0548,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0483,a1,몽골에 친구가 살아요.,Ein Freund von mir lebt in der Mongolei.,A friend of mine lives in Mongolia.,rights: original_clean_room; answer=몽골; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0549,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0484,a1,말레이시아에서 오셨어요?,Kommen Sie aus Malaysia?,Are you from Malaysia?,rights: original_clean_room; answer=말레이시아; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0550,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0485,a1,인도네시아는 어디에 있어요?,Wo liegt Indonesien?,Where is Indonesia?,rights: original_clean_room; answer=인도네시아; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0551,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0486,a1,외국 생활이 어때요?,Wie ist das Leben im Ausland?,How is life abroad?,rights: original_clean_room; answer=외국; topic=Geographie; unit=a1_02_self_intro_identity; derived from vocab_a1_0552,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0487,a1,저는 축구를 잘해요.,Ich bin gut im Fußball.,I'm good at soccer.,rights: original_clean_room; answer=축구; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0553,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0488,a1,야구 좋아하세요?,Mögen Sie Baseball?,Do you like baseball?,rights: original_clean_room; answer=야구; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0554,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0489,a1,"음, 주말에 농구 할까요?","Hmm, sollen wir am Wochenende Basketball spielen?","Hmm, shall we play basketball this weekend?",rights: original_clean_room; answer=농구; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0555,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0490,a1,"마야 씨, 저는 테니스를 못하지만 괜찮아요.","Maya, ich kann nicht gut Tennis spielen, aber das ist okay.","Maya, I'm not good at tennis, but that's okay.",rights: original_clean_room; answer=테니스; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0556,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0491,a1,"수진 씨, 저녁에 수영하러 갈까요?","Sujin, sollen wir heute Abend schwimmen gehen?","Sujin, shall we go swimming this evening?",rights: original_clean_room; answer=수영; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0557,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0492,a1,오늘 스키 타러 가요.,Ich gehe heute Ski fahren.,I'm going skiing today.,rights: original_clean_room; answer=스키; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0558,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0493,a1,"현아 씨, 저는 주말에 등산을 합니다.","Hyuna, ich gehe am Wochenende wandern.","Hyuna, I go hiking on weekends.",rights: original_clean_room; answer=등산; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0559,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
cloze_a1_0494,a1,"수진 씨, 왜 산책을 좋아해요?","Sujin, warum magst du Spaziergänge?","Sujin, why do you like walks?",rights: original_clean_room; answer=산책; topic=Freizeit; unit=a1_11_titles_relationships; derived from vocab_a1_0560,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
