id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0256,A1,"안녕하세요, 처음 뵙겠습니다.","Hallo, freut mich.","Hi, nice to meet you.",rights: original; derived from live unused vocab 안녕하세요,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0257,A1,"아니요, 저는 안 갈래요.","Nein, ich möchte nicht gehen.","No, I don't want to go.",rights: original; derived from live unused vocab 아니요,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0258,A1,이 사람 제 친구예요.,Das ist mein Freund.,This is my friend.,rights: original; derived from live unused vocab 친구,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0259,A1,우리 형은 요리를 잘해요.,Mein älterer Bruder kocht gut.,My older brother cooks well.,rights: original; derived from live unused vocab 형,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0260,A1,우리 오빠 정말 착해요.,Mein älterer Bruder ist wirklich nett.,My older brother is really nice.,rights: original; derived from live unused vocab 오빠,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0261,A1,우리 누나 진짜 예뻐요.,Meine ältere Schwester ist echt hübsch.,My older sister is really pretty.,rights: original; derived from live unused vocab 누나,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0262,A1,제 여동생이 정말 귀여워요.,Meine jüngere Schwester ist wirklich süß.,My younger sister is really cute.,rights: original; derived from live unused vocab 여동생,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0263,A1,우리 남편은 요리를 잘해요.,Mein Mann kocht gut.,My husband cooks well.,rights: original; derived from live unused vocab 남편,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0264,A1,제 아내는 회사에 다녀요.,Meine Frau arbeitet in einer Firma.,My wife works at a company.,rights: original; derived from live unused vocab 아내,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0265,A1,오늘 눈이 좀 피곤하네요.,Meine Augen sind heute etwas müde.,My eyes are a bit tired today.,rights: original; derived from live unused vocab 눈,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0266,A1,귀가 좀 아파요.,Mein Ohr tut ein bisschen weh.,My ear hurts a bit.,rights: original; derived from live unused vocab 귀,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0267,A1,저는 빨간색을 제일 좋아해요.,Ich mag Rot am liebsten.,I like red the most.,rights: original; derived from live unused vocab 빨간색,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0268,A1,오늘 하늘이 정말 파래요.,Der Himmel ist heute richtig blau.,The sky is really blue today.,rights: original; derived from live unused vocab 파란색,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0269,A1,이 초록색 옷이 예뻐요.,Dieses grüne Outfit ist hübsch.,This green outfit is pretty.,rights: original; derived from live unused vocab 초록색,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0270,A1,노란색 우산을 새로 샀어요.,Ich habe einen neuen gelben Regenschirm gekauft.,I bought a new yellow umbrella.,rights: original; derived from live unused vocab 노란색,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0271,A1,오늘 저녁은 라면 어때요?,Wie wäre es heute Abend mit Ramen?,How about ramen for dinner tonight?,rights: original; derived from live unused vocab 라면,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0272,A1,매일 아침 사과 하나 먹어요.,Ich esse jeden Morgen einen Apfel.,I eat an apple every morning.,rights: original; derived from live unused vocab 사과,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0273,A1,아침에 계란 두 개 먹었어요.,Ich habe heute Morgen zwei Eier gegessen.,I ate two eggs this morning.,rights: original; derived from live unused vocab 계란,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0274,A1,자기 전에 따뜻한 차 마셔요.,Vor dem Schlafengehen trinke ich warmen Tee.,I drink warm tea before bed.,rights: original; derived from live unused vocab 차,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0275,A1,요즘 밤에 늦게 자요.,Zurzeit gehe ich nachts spät ins Bett.,These days I go to bed late at night.,rights: original; derived from live unused vocab 밤,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0276,A1,저는 매일 아침 운동해요.,Ich mache jeden Morgen Sport.,I exercise every morning.,rights: original; derived from live unused vocab 매일,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0277,A1,항상 도와주셔서 감사해요.,"Danke, dass Sie mir immer helfen.",Thank you for always helping me.,rights: original; derived from live unused vocab 항상,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0278,A1,"늦었어요, 빨리 가요!","Wir sind spät dran, gehen wir schnell!","We're late, let's hurry!",rights: original; derived from live unused vocab 빨리,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0279,A1,저는 매운 거 진짜 싫어해요.,Ich mag scharfes Essen wirklich nicht.,I really hate spicy food.,rights: original; derived from live unused vocab 싫어하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0280,A1,우리 가족을 정말 사랑해요.,Ich liebe meine Familie sehr.,I really love my family.,rights: original; derived from live unused vocab 사랑하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0281,A1,그건 저도 알아요.,Das weiß ich auch.,I know that too.,rights: original; derived from live unused vocab 알다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0282,A1,"죄송해요, 잘 몰라요.","Tut mir leid, das weiß ich nicht genau.","Sorry, I don't really know.",rights: original; derived from live unused vocab 모르다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0283,A1,이거 친구 선물로 줄 거예요.,Das gebe ich einem Freund als Geschenk.,I'm going to give this to a friend as a present.,rights: original; derived from live unused vocab 주다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0284,A1,여기 잠깐 서 있어요.,Bleiben Sie hier kurz stehen.,Please stand here for a moment.,rights: original; derived from live unused vocab 서다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0285,A1,오늘 카페에 사람이 정말 많아요.,Heute sind wirklich viele Leute im Café.,There are so many people at the cafe today.,rights: original; derived from live unused vocab 많다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a1_0286,A1,"아, 진짜 배고파요.","Ah, ich habe echt Hunger.","Ah, I'm really hungry.",rights: original; derived from live unused vocab 배고프다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0231,A2,요즘 회사 일이 좀 많아요.,Zurzeit habe ich ziemlich viel Arbeit in der Firma.,I've got a lot of work at the company these days.,rights: original; derived from live unused vocab 회사,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0232,A2,직업이 어떻게 되세요?,Was sind Sie von Beruf?,What do you do for a living?,rights: original; derived from live unused vocab 직업,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0233,A2,저는 취미가 사진 찍는 거예요.,Mein Hobby ist Fotografieren.,My hobby is taking photos.,rights: original; derived from live unused vocab 취미,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0234,A2,오늘 날씨 진짜 좋네요.,Das Wetter ist heute richtig schön.,The weather is really nice today.,rights: original; derived from live unused vocab 날씨,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0235,A2,이제 봄이 왔네요.,Jetzt ist der Frühling da.,Spring is here now.,rights: original; derived from live unused vocab 봄,approved,Jin explicit app-integration approval (2026-08-17).
