pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
N한테,A1,Gesprochene Richtung zu einer Person,Gesprochene Richtung zu einer Person. Nach Konsonant oft 한테.,친구한테 이 주소를 물어봤어요.,Ich habe eine Freundin nach dieser Adresse gefragt.,Nach Konsonant oft 한테.,Spoken direction to a person,"Spoken direction to a person. After a consonant, 한테 is common.",I asked a friend for this address.,"After a consonant, 한테 is common.",grammar_a1_spoken_dative,eine Freundin,a friend,true,grammar_a1_duration_span|grammar_a1_come_purpose|grammar_a1_in_front
N동안,A1,Zeitspanne,Zeitspanne. Nennt eine begrenzte Zeit.,수업 동안 전화를 꺼 두어요.,Während des Unterrichts lasse ich das Telefon aus.,Nennt eine begrenzte Zeit.,Duration span,Duration span. Names a bounded time.,I leave the phone off during class.,Names a bounded time.,grammar_a1_duration_span,Während des Unterrichts,during class,true,grammar_a1_spoken_dative|grammar_a1_come_purpose|grammar_a1_in_front
V-(으)러 오다,A1,Kommen um zu handeln,Kommen um zu handeln. Bewegung zum Sprecher.,서류를 받으러 왔어요.,"Ich bin gekommen, um die Unterlagen abzuholen.",Bewegung zum Sprecher.,Come in order to act,Come in order to act. Motion toward the speaker.,I came to pick up the papers.,Motion toward the speaker.,grammar_a1_come_purpose,"gekommen, um",came to,true,grammar_a1_spoken_dative|grammar_a1_duration_span|grammar_a1_in_front
N앞에,A1,Ort vor etwas,"Ort vor etwas. Konkreter Ort, nicht Zeit.",역앞에 잠시 기다려 주세요.,Bitte warten Sie kurz vor dem Bahnhof.,"Konkreter Ort, nicht Zeit.",Place in front,"Place in front. A concrete place, not time.",Please wait a moment in front of the station.,"A concrete place, not time.",grammar_a1_in_front,vor dem Bahnhof,in front of the station,true,grammar_a1_spoken_dative|grammar_a1_duration_span|grammar_a1_come_purpose
N때문에,A2,Grund als Nomen,"Grund als Nomen. Nach Nomen, nicht nach Verb.",비 때문에 약속 장소를 바꿨어요.,Wegen des Regens habe ich den Treffpunkt geändert.,"Nach Nomen, nicht nach Verb.",Noun cause,"Noun cause. After a noun, not a verb.",Because of the rain I changed the meeting place.,"After a noun, not a verb.",grammar_a2_noun_cause,Wegen des Regens,Because of the rain,true,grammar_a2_busy_cause|grammar_a2_among_set|grammar_a2_spoken_result
V-느라고,A2,Beschäftigt-sein als Grund,Beschäftigt-sein als Grund. Oft mit verpasster Handlung.,짐을 챙기느라고 전화를 못 받았어요.,"Weil ich mit dem Packen beschäftigt war, habe ich nicht ans Telefon gehen können.",Oft mit verpasster Handlung.,Busy-doing cause,Busy-doing cause. Often with a missed action.,"I was busy packing, so I could not take the call.",Often with a missed action.,grammar_a2_busy_cause,beschäftigt war,was busy,true,grammar_a2_noun_cause|grammar_a2_among_set|grammar_a2_spoken_result
N중에서,A2,Auswahl aus einer Menge,Auswahl aus einer Menge. Die Menge steht vor 중에서.,이 셋 중에서 제일 가까운 역을 고르세요.,Wählen Sie unter diesen dreien den nächsten Bahnhof.,Die Menge steht vor 중에서.,Choice from a set,Choice from a set. The set comes before 중에서.,Choose the nearest station among these three.,The set comes before 중에서.,grammar_a2_among_set,unter diesen dreien,among these three,true,grammar_a2_noun_cause|grammar_a2_busy_cause|grammar_a2_spoken_result
V-아/어 가지고,A2,Gesprochene Folge,Gesprochene Folge. Umgangssprachlicher Anschluss.,번호를 적어 가지고 나중에 걸었어요.,Ich habe die Nummer aufgeschrieben und später angerufen.,Umgangssprachlicher Anschluss.,Spoken result,Spoken result. A spoken follow-on.,I wrote the number down and called later.,A spoken follow-on.,grammar_a2_spoken_result,aufgeschrieben und,wrote the number down and,true,grammar_a2_noun_cause|grammar_a2_busy_cause|grammar_a2_among_set
V-기는 하지만,B1,Eingeständnis plus Gegensatz,Eingeständnis plus Gegensatz. Erste Handlung wird anerkannt.,늦기는 하지만 오늘은 끝까지 할게요.,"Es ist zwar spät, aber ich mache es heute zu Ende.",Erste Handlung wird anerkannt.,Concession plus contrast,Concession plus contrast. The first action is granted.,"It is late, but I will finish it today.",The first action is granted.,grammar_b1_concede_but,"zwar spät, aber","late, but",true,grammar_b1_as_kept_doing|grammar_b1_while_already|grammar_b1_self_should
V-다 보니,B1,Ergebnis durch Wiederholung,Ergebnis durch Wiederholung. Kein einmaliger Zufall.,설명을 듣다 보니  핵심이 보였어요.,Beim wiederholten Zuhören wurde der Kern sichtbar.,Kein einmaliger Zufall.,Result through repetition,Result through repetition. Not a one-off accident.,"As I kept listening, the core became visible.",Not a one-off accident.,grammar_b1_as_kept_doing,Beim wiederholten Zuhören,As I kept listening,true,grammar_b1_concede_but|grammar_b1_while_already|grammar_b1_self_should
V-(으)ㄴ 김에,B1,Gelegenheit mitnehmen,Gelegenheit mitnehmen. Zweite Handlung ist Zusatz.,우체국에 간 김에 우표도 샀어요.,"Da ich schon auf der Post war, habe ich auch Briefmarken gekauft.",Zweite Handlung ist Zusatz.,While already doing,While already doing. The second action is extra.,"Since I was already at the post office, I also bought stamps.",The second action is extra.,grammar_b1_while_already,Da ich schon,Since I was already,true,grammar_b1_concede_but|grammar_b1_as_kept_doing|grammar_b1_self_should
