id,level,tier,waiverReason,old,new
cloze_a1_0007,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",지하철 | 귀 | 남편,돕다 | 마시다 | 한테
cloze_a1_0008,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",엄마 | 여기 | 침대,알다 | 팔다 | 한테
cloze_a1_0009,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",아빠 | 여기 | 앞접시,돕다 | 빌리다 | 와
cloze_a1_0013,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",이름 | 학생 | 오른쪽,타다 | 마시다 | 으로
cloze_a1_0018,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",어머니 | 침대 | 편지,오다 | 모르다 | 과
cloze_a1_0021,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",라면 | 앞 | 문,모르다 | 쓰다 | 와
cloze_a1_0022,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",커피 | 거기 | 저기,가다 | 오다 | 에서
cloze_a1_0031,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",파란색 | 몸 | 지하철,모르다 | 가다 | 에게
cloze_a1_0038,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",다섯 | 수요일 | 한복,다니다 | 고르다 | 한테
cloze_a1_0040,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",계란 | 입 | 국물,끝나다 | 고르다 | 에서
