id,level,ko,de,en,field_notes,상태,jin_memo
satz_a2_0694,a2,할머니 칠순이라 주말에 잔치를 해요.,Am Wochenende gibt es eine Feier zum 70. Geburtstag meiner Oma.,We're having a party for my grandma's seventieth birthday this weekend.,rights: original_clean_room; vocabKo=잔치; topic=Freizeit; unit=(assigned at promotion); source vocab_a2_0702,pending,
satz_a2_0695,a2,"대박, 두 사람이 다음 달에 결혼을 해요!","Wahnsinn, die beiden heiraten nächsten Monat!","Wow, the two of them are getting married next month!",rights: original_clean_room; vocabKo=결혼; topic=Freizeit; unit=(assigned at promotion); source vocab_a2_0703,pending,
satz_a2_0696,a2,"레나 씨, 환영해요! 여기 같이 앉아요.","Lena, herzlich willkommen! Setzen Sie sich doch zu uns.","Lena, welcome! Come and sit with us.",rights: original_clean_room; vocabKo=환영; topic=Freizeit; unit=(assigned at promotion); source vocab_a2_0704,pending,
satz_a2_0697,a2,"마야 씨, 연말에는 같이 밥 한번 먹어요.","Maya, lassen Sie uns zum Jahresende mal zusammen essen gehen.","Maya, let's have a meal together toward the end of the year.",rights: original_clean_room; vocabKo=연말; topic=Freizeit; unit=(assigned at promotion); source vocab_a2_0705,pending,
satz_a2_0688,a2,"안드레아 씨, 사진을 메일로 보내도 돼요?","Andrea, darf ich das Foto per E-Mail schicken?","Andrea, can I send the photo by email?",rights: original_clean_room; vocabKo=메일; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0696,pending,
satz_a2_0689,a2,인터넷 연결을 바꿨어요. 이제 사진을 보낼게요.,Ich habe die Internetverbindung gewechselt. Jetzt schicke ich das Foto.,I changed the internet connection. I'll send the photo now.,rights: original_clean_room; vocabKo=연결; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0697,pending,
satz_a2_0690,a2,가게 전화기를 바꿨어요. 이제 소리가 잘 들려요.,Ich habe das Telefon im Laden ausgetauscht. Jetzt ist der Ton klar.,I replaced the phone at the shop. Now the sound is clear.,rights: original_clean_room; vocabKo=전화기; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0698,pending,
satz_a2_0691,a2,"크리스티안, 잘 들려? 여기는 좀 시끄러워.","Christian, hörst du mich gut? Hier ist es etwas laut.","Christian, can you hear me clearly? It's a bit noisy here.",rights: original_clean_room; vocabKo=들리다; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0699,pending,
satz_a2_0692,a2,친구 결혼 소식을 듣고 바로 전화했어요.,Ich habe von einer Hochzeit im Freundeskreis gehört und gleich angerufen.,I heard that a friend was getting married and called right away.,rights: original_clean_room; vocabKo=소식; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0700,pending,
satz_a2_0693,a2,길을 모르면 저 사람에게 물어보세요.,"Wenn Sie den Weg nicht kennen, fragen Sie die Person dort.","If you don't know the way, ask the person over there.",rights: original_clean_room; vocabKo=물어보다; topic=Kommunikation; unit=(assigned at promotion); source vocab_a2_0701,pending,
satz_a2_0698,a2,"다니엘 씨, 도움이 필요해요. 이 문제를 모르겠어요.","Daniel, ich brauche Hilfe. Ich verstehe diese Aufgabe nicht.","Daniel, I need help. I don't understand this problem.",rights: original_clean_room; vocabKo=도움; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0706,pending,
satz_a2_0699,a2,"크리스티안, 컴퓨터가 또 고장이 났어? 내 거 써.","Christian, ist dein Computer schon wieder kaputt? Nimm meinen.","Christian, did your computer break down again? Use mine.",rights: original_clean_room; vocabKo=고장; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0707,pending,
satz_a2_0700,a2,지갑을 잃었어요. 혹시 여기에서 보셨어요?,Ich habe meine Brieftasche verloren. Haben Sie sie vielleicht hier gesehen?,I've lost my wallet. Have you seen it here by any chance?,rights: original_clean_room; vocabKo=잃다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0708,pending,
