id,level,ko,de,en,field_notes,상태,jin_memo
satz_b1_0074,B1,가능하면 오늘 안에 방문 시간과 예상 수리비를 알려 주시면 좋겠어요.,"Wenn möglich, wäre es hilfreich, wenn Sie mir noch heute die Besuchszeit und die voraussichtlichen Reparaturkosten mitteilen könnten.","If possible, I would appreciate it if you could tell me the visit time and estimated repair cost today.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b1_0075,B1,누수가 다시 생기면 사진을 찍어 관리인에게 바로 연락하겠습니다.,"Wenn das Wasserleck erneut auftritt, fotografiere ich es und kontaktiere sofort die Hausverwaltung.","If the leak happens again, I will take a photo and contact the building manager immediately.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b1_0076,B1,계약서를 확인해 보니 작은 부품은 세입자가 직접 부담해야 해요.,"Im Vertrag steht, dass der Mieter kleine Ersatzteile selbst bezahlen muss.",The contract says that the tenant has to pay for small replacement parts directly.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b1_0077,B1,난방이 계속 꺼져서 점검 일정을 다시 잡았습니다.,"Weil die Heizung immer wieder ausging, habe ich einen neuen Prüftermin vereinbart.","The heating kept switching off, so I rescheduled the inspection.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b1_0078,B1,관리비에 이번 수리 비용이 포함되는지 확인해 주세요.,"Bitte prüfen Sie, ob die Kosten dieser Reparatur in den Nebenkosten enthalten sind.",Please check whether the cost of this repair is included in the maintenance fee.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b1_0079,B1,세입자가 집에 없는 시간에는 기사님이 들어오시면 안 됩니다.,"Der Techniker darf die Wohnung nicht betreten, wenn der Mieter nicht zu Hause ist.",The technician must not enter when the tenant is not at home.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind satz,draft,
satz_b2_0150,B2,점검 결과와 후속 조치를 내일까지 서면으로 알려 주시기 바랍니다.,Bitte teilen Sie uns die Prüfergebnisse und Folgemaßnahmen bis morgen schriftlich mit.,Please provide the inspection results and follow-up action in writing by tomorrow.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_b2_0151,B2,같은 결함이 재발하면 담당 부서에 즉시 이의를 제기하겠습니다.,"Wenn derselbe Mangel erneut auftritt, werde ich sofort bei der zuständigen Abteilung Einspruch erheben.","If the same defect recurs, I will immediately raise an objection with the responsible department.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_b2_0152,B2,임시 조치가 아니라 재발을 막는 시정 계획을 제시해 주시기 바랍니다.,"Bitte legen Sie statt einer vorläufigen Maßnahme einen Korrekturplan vor, der ein erneutes Auftreten verhindert.",Please provide a corrective plan that prevents recurrence rather than another temporary measure.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_b2_0153,B2,접수한 기록과 실제 처리 시간을 구분해서 보고서에 남겼습니다.,Im Bericht habe ich den Zeitpunkt der Erfassung und die tatsächliche Bearbeitungszeit getrennt dokumentiert.,I recorded the intake time and the actual processing time separately in the report.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_b2_0154,B2,위험이 확인되면 장비 사용을 즉시 정지해야 합니다.,"Wenn eine Gefahr festgestellt wird, muss die Nutzung des Geräts sofort eingestellt werden.","If a risk is confirmed, use of the equipment must stop immediately.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_b2_0155,B2,보상 여부보다 원인과 후속 조치를 먼저 확인하겠습니다.,"Bevor wir über eine Entschädigung sprechen, prüfe ich zuerst die Ursache und die Folgemaßnahmen.","Before discussing compensation, I will first confirm the cause and follow-up action.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind satz,draft,
satz_c1_0049,C1,현재 자료만으로 확대를 확정하기는 어렵지만 추가 조사를 거치면 다시 검토할 여지가 있습니다.,"Mit den aktuellen Daten lässt sich der Ausbau noch nicht bestätigen, aber nach einer weiteren Erhebung besteht Spielraum für eine erneute Prüfung.","The current data is not enough to confirm the expansion, but further research would leave room to reconsider it.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind satz,draft,
satz_c1_0050,C1,표본이 치우쳤으므로 전체 주민의 의견으로 일반화하기는 어렵습니다.,"Da die Stichprobe verzerrt ist, lässt sich das Ergebnis nur schwer auf alle Bewohner verallgemeinern.","Because the sample is skewed, it is difficult to generalize the result to all residents.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind satz,draft,
satz_c1_0051,C1,상관관계를 인과로 해석하지 않으려면 다른 변수도 통제해야 합니다.,"Um eine Korrelation nicht als Kausalität zu deuten, müssen wir auch andere Variablen kontrollieren.","To avoid interpreting correlation as causation, we also need to control for other variables.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind satz,draft,
satz_c1_0052,C1,전제를 밝히고 반례를 함께 제시하면 결론의 범위가 더 분명해집니다.,"Wenn wir die Annahmen offenlegen und ein Gegenbeispiel nennen, wird der Geltungsbereich der Schlussfolgerung klarer.",Stating the assumptions and including a counterexample makes the scope of the conclusion clearer.,rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind satz,draft,
