korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
총주거비,chongjugeobi,gesamte Wohnkosten,B2,Nomen,계약서의 월세만 보지 말고 총주거비를 먼저 계산해 봅시다.,"Schauen wir nicht nur auf die Kaltmiete, sondern berechnen wir zuerst die gesamten Wohnkosten.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,1,false,total housing costs,Noun,Let's not look only at the base rent; let's calculate the total housing costs first.,vocab_b2_0623
임대료 인상,imdaeryo insang,Mieterhöhung,B2,Nomen,임대료 인상 통보를 받으면 적용 날짜와 근거부터 확인하세요.,Prüfen Sie bei einer angekündigten Mieterhöhung zuerst das Datum und die Begründung.,Gesellschaft & Alltag 2026,b2_2026_social_topics_1,2,false,rent increase,Noun,"When you receive notice of a rent increase, check the effective date and basis first.",vocab_b2_0624
주거 부담,jugeo budam,Wohnkostenbelastung,B2,Nomen,소득에서 집에 쓰는 돈이 커질수록 주거 부담도 커집니다.,"Je größer der Anteil der Wohnkosten am Einkommen ist, desto höher ist die Wohnkostenbelastung.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,3,false,housing-cost burden,Noun,"The larger the share of income spent on housing, the greater the housing-cost burden.",vocab_b2_0625
자동 선별,jadong seonbyeol,automatisierte Vorauswahl,B2,Nomen,자동 선별에서 탈락한 지원서도 사람이 다시 볼 수 있어야 합니다.,"Auch Bewerbungen, die bei der automatisierten Vorauswahl ausscheiden, sollten von einem Menschen erneut geprüft werden können.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,4,false,automated screening,Noun,Applications rejected during automated screening should still be eligible for human review.,vocab_b2_0626
사람의 재검토,saramui jaegeomto,menschliche Nachprüfung,B2,Nomen,회사는 지원자에게 사람의 재검토를 요청할 방법을 알려 줬습니다.,"Das Unternehmen erklärte den Bewerbenden, wie sie eine menschliche Nachprüfung beantragen können.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,5,false,human review,Noun,The company told applicants how to request human review.,vocab_b2_0627
채용 기준,chaeyong gijun,Einstellungskriterien,B2,Nomen,채용 기준이 공개되어야 지원자도 결과를 이해할 수 있습니다.,Nur bei offengelegten Einstellungskriterien können Bewerbende das Ergebnis nachvollziehen.,Gesellschaft & Alltag 2026,b2_2026_social_topics_1,6,false,hiring criteria,Noun,Applicants can understand the outcome only when the hiring criteria are disclosed.,vocab_b2_0628
정착 지원,jeongchak jiwon,Unterstützung beim Ankommen,B2,Nomen,정착 지원에는 언어 수업뿐 아니라 집과 행정 정보도 필요합니다.,Zur Unterstützung beim Ankommen gehören neben Sprachkursen auch Informationen zu Wohnung und Verwaltung.,Gesellschaft & Alltag 2026,b2_2026_social_topics_1,7,false,settlement support,Noun,Settlement support requires housing and administrative information as well as language classes.,vocab_b2_0629
자격 인정,jagyeok injeong,Anerkennung von Qualifikationen,B2,Nomen,자격 인정 절차가 길어지면 경력이 있어도 일을 시작하기 어렵습니다.,"Wenn sich die Anerkennung von Qualifikationen hinzieht, ist der Berufseinstieg trotz Erfahrung schwierig.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,8,false,recognition of qualifications,Noun,"When recognition of qualifications takes too long, even experienced people struggle to start work.",vocab_b2_0630
인력 부족,illyeok bujok,Personalmangel,B2,Nomen,인력 부족을 해결하려면 채용뿐 아니라 오래 일할 조건도 마련해야 합니다.,"Um Personalmangel zu lösen, braucht es nicht nur Einstellungen, sondern auch Bedingungen für langfristige Beschäftigung.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,9,false,labor shortage,Noun,"Addressing a labor shortage requires conditions for people to stay, not recruitment alone.",vocab_b2_0631
현지화,hyeonjihwa,Lokalisierung,B2,Nomen,현지화는 번역만이 아니라 지역 맥락에 맞게 설명하는 일도 포함합니다.,"Lokalisierung umfasst nicht nur Übersetzung, sondern auch Erklärungen für den jeweiligen lokalen Kontext.",Gesellschaft & Alltag 2026,b2_2026_social_topics_1,10,true,localization,Noun,"Localization includes explaining content for the local context, not just translating it.",vocab_b2_0632
팬 번역,paen beonyeok,Fanübersetzung,B2,Nomen,팬 번역을 쓸 때는 만든 사람의 이름과 수정 책임을 분명히 해야 합니다.,Bei Fanübersetzungen sollten Urheberschaft und Verantwortung für Korrekturen klar sein.,Gesellschaft & Alltag 2026,b2_2026_social_topics_1,11,true,fan translation,Noun,"When using a fan translation, credit and responsibility for corrections should be clear.",vocab_b2_0633
참여 방식,chamyeo bangsik,Form der Beteiligung,B2,Nomen,조회수가 같아도 댓글과 행사 참여 방식은 지역마다 다를 수 있습니다.,Bei gleichen Aufrufzahlen kann sich die Form der Beteiligung je nach Region unterscheiden.,Gesellschaft & Alltag 2026,b2_2026_social_topics_1,12,true,form of participation,Noun,"Even with similar view counts, the form of participation can vary by region.",vocab_b2_0634
