id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_a1_0091,a1,우리 저거 탈까?,Wollen wir mit dem da fahren?,Want to go on that one?,rights: original; scene: ride_choice; model triad QA: MODEL_QA_PASS; Couple lane; de uses du/wir and keeps the deictic 저거 concrete.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0092,a1,우리 다음에 뭐 타러 갈까?,Womit wollen wir als Nächstes fahren?,What should we ride next?,rights: original; scene: next_ride; model triad QA: MODEL_QA_PASS; Natural date-planning turn with no named speaker in the reusable A pack.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0093,a1,"우리 앞에 탈까, 뒤에 탈까?",Wollen wir vorne oder hinten sitzen?,Should we sit in the front or the back?,"rights: original; scene: seat_choice; model triad QA: MODEL_QA_PASS; 탈까 is interpreted as choosing a ride seat, not boarding transport generally.",approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0094,a1,"와, 줄이 진짜 길다.","Wow, die Schlange ist echt lang.","Wow, this line is really long.",rights: original; scene: long_queue; model triad QA: MODEL_QA_PASS; Immediate on-site reaction; 진짜 carries spoken emphasis without chat laughter markers.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0095,a1,"아, 저기 자리 있다. 저기 앉을까?","Ah, da ist ein Platz frei. Wollen wir uns dort hinsetzen?","Oh, there's a seat over there. Want to sit there?",rights: original; scene: finding_a_seat; model triad QA: MODEL_QA_PASS; Two short clauses preserve the spontaneous spotting of an empty seat.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0096,a1,츄러스 사 먹을까?,Wollen wir uns Churros holen?,Want to get some churros?,rights: original; scene: churros; model triad QA: MODEL_QA_PASS; Uses the common loanword 츄러스 and a natural German snack-stand formulation.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0097,a1,"제로 콜라 두 개, 감자튀김 하나, 소시지 두 개 주세요.","Ich hätte gern zwei Coke Zero, einmal Pommes und zwei Würstchen, bitte.","Could we have two Coke Zeros, one order of fries, and two sausages, please?",rights: original; scene: food_order; model triad QA: MODEL_QA_PASS; Service lane; Korean uses 해요체 and German consistently addresses the guest with Sie/Ihre.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0098,a1,물 좀 마실래?,Möchtest du etwas Wasser trinken?,Want some water?,rights: original; scene: water_break; model triad QA: MODEL_QA_PASS; Couple lane with a short offer and direct response.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0099,a1,우리 여기서 사진 찍을까?,Wollen wir hier ein Foto machen?,Should we take a picture here?,rights: original; scene: photo_spot; model triad QA: MODEL_QA_PASS; Keeps the deictic 여기서 tied to the visible photo spot.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
smalltalk_a1_0100,a1,나 무서운 놀이기구 진짜 좋아해. 오늘 너무 재미있었어!,Ich liebe richtig gruselige Fahrgeschäfte. Heute hat es so viel Spaß gemacht!,I really love scary rides. Today was so much fun!,rights: original; scene: end_of_day; model triad QA: MODEL_QA_PASS; Preserves the speaker's love of scary rides and the warm end-of-date tone.,approved,Jin explicitly requested live promotion of the Theme Park Date pack on 2026-08-30.
