korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
우체국 위치,ucheguk wichi,Lage des Postamts,A1,Nomen,우체국 위치는 역 앞이에요.,Das Postamt liegt vor dem Bahnhof.,도시 생활,a1_city_services_2026_1,1,false,post office location,Noun,The post office is in front of the station.,vocab_a1_0416
약국,yakguk,Apotheke,A1,Nomen,약국에서 감기약을 사요.,Ich kaufe Erkältungsmedizin in der Apotheke.,도시 생활,a1_city_services_2026_1,2,false,pharmacy,Noun,I buy cold medicine at the pharmacy.,vocab_a1_0417
정류장,jeongnyujang,Haltestelle,A1,Nomen,버스 정류장은 어디예요?,Wo ist die Bushaltestelle?,도시 생활,a1_city_services_2026_1,3,false,bus stop,Noun,Where is the bus stop?,vocab_a1_0418
지하철역,jihacheol-lyeok,U-Bahn-Station,A1,Nomen,지하철역까지 걸어가요.,Ich gehe zu Fuß bis zur U-Bahn-Station.,도시 생활,a1_city_services_2026_1,4,false,subway station,Noun,I walk to the subway station.,vocab_a1_0419
환승 안내,hwanseung annae,Umstiegshinweis,A1,Nomen,앱에서 환승 안내를 확인해요.,Ich prüfe den Umstiegshinweis in der App.,도시 생활,a1_city_services_2026_1,5,false,transfer directions,Noun,I check the transfer directions in the app.,vocab_a1_0420
교통카드 잔액,gyotong kadeu janaek,Fahrkartenguthaben,A1,Nomen,교통카드 잔액은 만 원이에요.,Das Guthaben der Fahrkarte beträgt 10.000 Won.,도시 생활,a1_city_services_2026_1,6,false,transit-card balance,Noun,"The transit-card balance is 10,000 won.",vocab_a1_0421
영수증 확인,yeongsujeung hwagin,Bonkontrolle,A1,Nomen,결제 뒤에 영수증 확인을 해요.,Nach der Zahlung prüfe ich den Kassenbon.,도시 생활,a1_city_services_2026_1,7,false,receipt check,Noun,I check the receipt after paying.,vocab_a1_0422
현금 결제,hyeongeum gyeolje,Barzahlung,A1,Nomen,이 가게는 현금 결제도 가능해요.,In diesem Geschäft ist auch Barzahlung möglich.,도시 생활,a1_city_services_2026_1,8,false,cash payment,Noun,This shop also accepts cash payment.,vocab_a1_0423
예약,yeyak,Termin,A1,Nomen,오후 세 시에 예약이 있어요.,Ich habe um drei Uhr nachmittags einen Termin.,도시 생활,a1_city_services_2026_1,9,false,appointment,Noun,I have an appointment at three in the afternoon.,vocab_a1_0424
순서,sunseo,Reihenfolge,A1,Nomen,제 순서는 다섯 번째예요.,Ich bin als Fünfte an der Reihe.,도시 생활,a1_city_services_2026_1,10,true,turn,Noun,My turn is fifth.,vocab_a1_0425
출구 번호,chulgu beonho,Ausgangsnummer,A1,Nomen,출구 번호를 다시 확인해요.,Ich prüfe die Ausgangsnummer noch einmal.,도시 생활,a1_city_services_2026_1,11,true,exit number,Noun,I check the exit number again.,vocab_a1_0426
입구,ipgu,Eingang,A1,Nomen,입구는 건물 오른쪽에 있어요.,Der Eingang ist rechts am Gebäude.,도시 생활,a1_city_services_2026_1,12,true,entrance,Noun,The entrance is on the right side of the building.,vocab_a1_0427
선납금,seonnapgeum,Vorauszahlung,A2,Nomen,선납금이 필요한지 계약 전에 물어봤어요.,"Vor Vertragsabschluss habe ich gefragt, ob eine Vorauszahlung nötig ist.",집 구하기,a2_housing_search_2026_1,1,false,advance payment,Noun,I asked whether an advance payment was required before signing.,vocab_a2_0465
납부일,napbuil,Zahlungstermin,A2,Nomen,월세 납부일은 매달 말이에요.,Der Zahlungstermin für die Miete ist jeweils am Monatsende.,집 구하기,a2_housing_search_2026_1,2,false,payment due date,Noun,The rent payment is due at the end of each month.,vocab_a2_0466
관리비 내역,gwanribi naeyeok,Aufstellung der Nebenkosten,A2,Nomen,관리비 내역에 인터넷이 포함돼요?,Ist Internet in der Aufstellung der Nebenkosten enthalten?,집 구하기,a2_housing_search_2026_1,3,false,maintenance-fee breakdown,Noun,Is internet included in the maintenance-fee breakdown?,vocab_a2_0467
계약서 사본,gyeyakseo sabon,Vertragskopie,A2,Nomen,서명한 뒤에 계약서 사본을 받아요.,Nach der Unterschrift erhalte ich eine Vertragskopie.,집 구하기,a2_housing_search_2026_1,4,false,copy of the contract,Noun,I receive a copy of the contract after signing.,vocab_a2_0468
임대인,imdaein,vermietende Person,A2,Nomen,수리 문제를 임대인에게 알렸어요.,Ich habe die vermietende Person über das Reparaturproblem informiert.,집 구하기,a2_housing_search_2026_1,5,false,lessor,Noun,I told the lessor about the repair problem.,vocab_a2_0469
