id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0333,A1,결제 뒤에 영수증 확인을 해요.,Nach der Zahlung prüfe ich den Kassenbon.,I check the receipt after paying.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a1_0334,A1,이 가게는 현금 결제도 가능해요.,In diesem Geschäft ist auch Barzahlung möglich.,This shop also accepts cash payment.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a1_0335,A1,오후 세 시에 예약이 있어요.,Ich habe um drei Uhr nachmittags einen Termin.,I have an appointment at three in the afternoon.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a1_0336,A1,제 순서는 다섯 번째예요.,Ich bin als Fünfte an der Reihe.,My turn is fifth.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a1_0337,A1,출구 번호를 다시 확인해요.,Ich prüfe die Ausgangsnummer noch einmal.,I check the exit number again.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a1_0338,A1,입구는 건물 오른쪽에 있어요.,Der Eingang ist rechts am Gebäude.,The entrance is on the right side of the building.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0463,A2,공과금 내역에서 전기와 가스 요금을 확인해요.,In der Kostenaufstellung prüfe ich Strom und Gas.,I check electricity and gas in the utility-bill breakdown.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0464,A2,이사 날짜를 다음 토요일로 정했어요.,Wir haben den Umzug auf nächsten Samstag gelegt.,We set the moving date for next Saturday.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0465,A2,회사 근처에서 방을 구하고 있어요.,Ich suche ein Zimmer in der Nähe der Firma.,I'm looking for a room near work.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0466,A2,오늘 저녁에 방을 보러 가요.,Heute Abend besichtige ich ein Zimmer.,I'm going to view a room this evening.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0467,A2,이 방에는 세탁기 옵션이 있어요.,In diesem Zimmer ist eine Waschmaschine vorhanden.,This room includes a washing machine.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_a2_0468,A2,계약 전에 반려동물이 가능한지 물어봤어요.,"Vor dem Vertrag habe ich gefragt, ob Haustiere erlaubt sind.",I asked whether pets were allowed before signing.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
satz_b1_0469,B1,담당자에게 업무와 체류 자격의 관계를 문의했어요.,"Ich habe die zuständige Stelle gefragt, wie die Tätigkeit mit meinem Aufenthaltsstatus zusammenhängt.",I asked the responsible office how the job relates to my residence status.,"rights: original_clean_room; beyond-humanizer-v2; stable ID, CEFR function, translation event and loader route verified",approved,Jin authorized the complete A1-C2 content update and live integration on 2026-08-22; clean-room and Beyond automated QA passed; independent native-quality review remains required before any native-quality claim.
