korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
수업,sueop,Unterricht,A1,Nomen,한국어 수업은 월요일에 있어요.,Der Koreanischunterricht ist am Montag.,첫 수업,a1_first_class_1,1,false,"class, lesson",Noun,Korean class is on Monday.,vocab_a1_0436
처음,cheoeum,das erste Mal,A1,Nomen,한국어 수업은 처음이에요.,Koreanischunterricht habe ich zum ersten Mal.,첫 수업,a1_first_class_1,2,false,first time,Noun,It's my first time taking a Korean class.,vocab_a1_0437
전화번호,jeonhwabeonho,Telefonnummer,A1,Nomen,전화번호를 알려 주세요.,Sagen Sie mir bitte Ihre Telefonnummer.,첫 수업,a1_first_class_1,3,false,phone number,Noun,Please tell me your phone number.,vocab_a1_0438
대학,daehak,"Universität, Hochschule",A1,Nomen,무슨 대학에 다녀요?,An welcher Universität studieren Sie?,첫 수업,a1_first_class_1,4,false,"university, college",Noun,Which university do you go to?,vocab_a1_0439
책상,chaeksang,Schreibtisch,A1,Nomen,책상 위에 책이 있어요.,Auf dem Schreibtisch liegt ein Buch.,첫 수업,a1_first_class_1,5,false,desk,Noun,There is a book on the desk.,vocab_a1_0440
연필,yeonpil,Bleistift,A1,Nomen,연필로 이름을 써요.,Ich schreibe meinen Namen mit Bleistift.,첫 수업,a1_first_class_1,6,false,pencil,Noun,I write my name with a pencil.,vocab_a1_0441
공부,gongbu,"das Lernen, Studium",A1,Nomen,저는 매일 한국어 공부를 해요.,Ich lerne jeden Tag Koreanisch.,첫 수업,a1_first_class_1,7,false,study,Noun,I study Korean every day.,vocab_a1_0442
연습,yeonseup,Übung,A1,Nomen,매일 발음 연습을 해요.,Ich übe jeden Tag die Aussprache.,첫 수업,a1_first_class_1,8,false,practice,Noun,I practice pronunciation every day.,vocab_a1_0443
시작하다,sijakhada,"anfangen, beginnen",A1,Verb,수업은 아홉 시에 시작해요.,Der Unterricht beginnt um neun Uhr.,첫 수업,a1_first_class_1,9,false,to start,Verb,Class starts at nine o'clock.,vocab_a1_0444
전공,jeongong,Hauptfach / Studienfach,A1,Nomen,제 전공은 음악이에요.,Mein Studienfach ist Musik.,첫 수업,a1_first_class_1,10,false,major / field of study,Noun,My major is music.,vocab_b2_0060
사귀다,sagwida,sich anfreunden,A1,Verb,한국 친구를 많이 사귀었어요.,Ich habe viele koreanische Freunde gefunden.,첫 수업,a1_first_class_1,11,true,to make friends,Verb,I made many Korean friends.,vocab_b1_0214
졸업하다,joreophada,den Abschluss machen,A1,Verb,내년에 대학교를 졸업해요.,Nächstes Jahr mache ich meinen Uni-Abschluss.,첫 수업,a1_first_class_1,12,true,to graduate,Verb,I graduate from university next year.,vocab_b1_0242
