id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0212,A1,우표,Briefmarke,stamp,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0213,A1,소포,Paket,parcel,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0214,A1,등기,Einschreiben,registered mail,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0215,A1,우편함,Briefkasten,mailbox,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0216,A1,부치다,aufgeben,to mail,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0217,A1,무게,Gewicht,weight,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0218,A1,주소,Adresse,address,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0219,A1,보내는 사람,Absender,sender,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0220,A1,받는 사람,Empfänger,recipient,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0221,A1,도착 문자,Zustellnachricht,delivery text,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0222,A1,포장지,Packpapier,wrapping paper,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0223,A1,창구,Schalter,counter,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0224,A1,연고,Salbe,ointment,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0225,A1,마스크,Maske,mask,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0226,A1,계산대,Kasse,checkout,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0227,A1,복용 시간,Einnahmezeit,dose time,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0228,A1,일회용 밴드,Pflaster,adhesive bandage,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0229,A1,체온계,Fieberthermometer,thermometer,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0230,A1,가글액,Mundspülung,mouthwash,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0231,A1,비타민제,Vitaminpräparat,vitamin supplement,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
vocab_a1_0232,A1,알레르기,Allergie,allergy,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,draft,
