id,level,ko,de,en,field_notes,상태,jin_memo
pronunciation_a1_0003,A1,제 국적은 독일이에요.,Meine Staatsangehörigkeit ist deutsch.,My nationality is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a1_0004,A1,제 모국어는 독일어예요.,Meine Muttersprache ist Deutsch.,My first language is German.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a1_0005,A1,이 단어 발음을 다시 들려주세요.,Bitte spielen Sie die Aussprache noch einmal ab.,Please play the pronunciation again.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a1_0006,A1,주소를 천천히 적어 주세요.,Bitte schreiben Sie die Adresse langsam auf.,Please write the address down slowly.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a1_0007,A1,카드로 결제할게요.,Ich bezahle mit Karte.,I'll pay by card.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a1_0008,A1,도착 시간은 여섯 시예요.,Die Ankunftszeit ist sechs Uhr.,The arrival time is six o'clock.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0003,A2,토요일 세 시에 만날까요?,Sollen wir uns am Samstag um drei treffen?,Shall we meet at three on Saturday?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0004,A2,비가 오면 일정을 바꿔요.,"Wenn es regnet, ändern wir den Termin.","If it rains, we change the schedule.",rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0005,A2,금요일 저녁으로 약속을 잡았어요.,Wir haben uns für Freitagabend verabredet.,We made plans for Friday evening.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0006,A2,몇 시가 편해요?,Welche Uhrzeit passt dir?,What time works for you?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0007,A2,역 앞을 만날 곳으로 정했어요.,Wir haben den Bahnhofsvorplatz als Treffpunkt gewählt.,We chose the front of the station as our meeting place.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_a2_0008,A2,늦으면 미리 연락해 주세요.,"Bitte melden Sie sich vorher, wenn Sie sich verspäten.",Please contact me in advance if you'll be late.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_b1_0005,B1,변경된 일정을 오늘 안에 알려 주실 수 있을까요?,Könnten Sie mir den geänderten Termin noch heute mitteilen?,Could you let me know the revised schedule today?,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_b1_0006,B1,마감이 늦어지는 사정을 먼저 설명했어요.,"Ich habe zuerst erklärt, warum sich die Abgabe verzögert.",I first explained why the deadline would be missed.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_b1_0007,B1,회의에서 서로 다른 의견을 조율했어요.,In der Besprechung haben wir unterschiedliche Meinungen abgestimmt.,We aligned different opinions in the meeting.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
pronunciation_b1_0008,B1,일정이 바뀌면 미리 알려 주세요.,"Bitte geben Sie vorher Bescheid, wenn sich der Termin ändert.",Please let me know in advance if the schedule changes.,rights: original_clean_room; beyond-humanizer-v2; stable loader contract verified,approved,"Jin full A1-C2 content update and main integration authorization, 2026-08-22"
