korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
자동차,jadongcha,Auto,A1,Nomen,저는 자동차로 회사에 가요.,Ich fahre mit dem Auto zur Arbeit.,Verkehr,a1_transport,5,false,car,Noun,I go to work by car.,vocab_a1_0445
역,yeok,"Bahnhof, Station",A1,Nomen,역 앞에서 만나요.,Wir treffen uns vor dem Bahnhof.,Verkehr,a1_transport,6,false,station,Noun,Let's meet in front of the station.,vocab_a1_0446
공항,gonghang,Flughafen,A1,Nomen,공항까지 버스로 가요.,Zum Flughafen fahre ich mit dem Bus.,Verkehr,a1_transport,7,false,airport,Noun,I take the bus to the airport.,vocab_a1_0447
출발,chulbal,Abfahrt,A1,Nomen,출발 시간이 몇 시예요?,Um wie viel Uhr ist die Abfahrt?,Verkehr,a1_transport,8,false,departure,Noun,What time is the departure?,vocab_a1_0448
도착,dochak,Ankunft,A1,Nomen,서울에 도착 후에 전화해요.,Nach der Ankunft in Seoul rufe ich an.,Verkehr,a1_transport,9,false,arrival,Noun,"After arriving in Seoul, I'll call.",vocab_a1_0449
타다,tada,einsteigen; fahren mit,A1,Verb,버스를 타고 학교에 가요.,Ich fahre mit dem Bus zur Schule.,Verkehr,a1_transport,10,false,"to ride, to take (transport)",Verb,I take the bus to school.,vocab_a1_0450
내리다,naerida,aussteigen,A1,Verb,다음 역에서 내려요.,Ich steige an der nächsten Station aus.,Verkehr,a1_transport,11,false,to get off,Verb,I get off at the next station.,vocab_a1_0451
돈,don,Geld,A1,Nomen,지금 돈이 없어요.,Ich habe gerade kein Geld.,결제와 배달,a1_payment_delivery_1,5,false,money,Noun,I don't have money right now.,vocab_a1_0452
원,won,Won (Währung),A1,Nomen,커피는 사천 원이에요.,Der Kaffee kostet viertausend Won.,결제와 배달,a1_payment_delivery_1,6,false,won (currency),Noun,The coffee is four thousand won.,vocab_a1_0453
번호,beonho,Nummer,A1,Nomen,제 번호는 십오 번이에요.,Meine Nummer ist die Fünfzehn.,결제와 배달,a1_payment_delivery_1,7,false,number,Noun,My number is fifteen.,vocab_a1_0454
기다리다,gidarida,warten,A1,Verb,문 앞에서 기다려요.,Ich warte vor der Tür.,결제와 배달,a1_payment_delivery_1,8,false,to wait,Verb,I'm waiting in front of the door.,vocab_a1_0455
다시,dasi,"noch einmal, wieder",A1,Adverb,다시 한번 말해 주세요.,Bitte sagen Sie es noch einmal.,다시 묻기,a1_repair_language_1,8,false,"again, once more",Adverb,Please say it once more.,vocab_a1_0456
단어,daneo,"Wort, Vokabel",A1,Nomen,이 단어는 무슨 뜻이에요?,Was bedeutet dieses Wort?,다시 묻기,a1_repair_language_1,9,false,"word, vocabulary",Noun,What does this word mean?,vocab_a1_0457
사전,sajeon,Wörterbuch,A1,Nomen,사전에서 단어를 찾아요.,Ich schlage das Wort im Wörterbuch nach.,다시 묻기,a1_repair_language_1,10,false,dictionary,Noun,I look the word up in the dictionary.,vocab_a1_0458
학년,hangnyeon,Schuljahr; Studienjahr,A2,Nomen,저는 지금 대학교 이 학년이에요.,Ich bin jetzt im zweiten Studienjahr.,Bildung,a2_education,8,false,"school year, grade",Noun,I'm in my second year of university now.,vocab_a2_0477
복습,bokseup,Wiederholung (des Gelernten),A2,Nomen,수업 후에 꼭 복습을 해요.,Nach dem Unterricht wiederhole ich den Stoff auf jeden Fall.,Bildung,a2_education,9,false,review (of a lesson),Noun,I always review after class.,vocab_a2_0478
예습,yeseup,Vorbereitung auf den Unterricht,A2,Nomen,내일 수업 예습은 벌써 끝냈어요.,Die Vorbereitung für den Unterricht morgen habe ich schon fertig.,Bildung,a2_education,10,false,preparation (before a lesson),Noun,I've already finished preparing for tomorrow's class.,vocab_a2_0479
국,guk,Suppe,A2,Nomen,국이 좀 식었네요.,Die Suppe ist etwas kalt geworden.,Essen & Trinken,a2_food_1,8,false,soup,Noun,The soup has gotten a bit cold.,vocab_a2_0480
